赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1520448.0,1366.0,2018/03/22 19:30,1562.0,6124.0,3-2,1-0,国际友谊,INT FRL,123_菲律宾,Philippines,168_斐济,Fiji,0.0,0.0,,球半/两球|1.5/2,赢,大,负
1482712.0,1366.0,2017/12/15 09:00,6124.0,6662.0,4-1,1-0,国际友谊,INT FRL,168_斐济,Fiji,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
1483500.0,1366.0,2017/12/12 09:00,6124.0,8033.0,4-0,3-0,国际友谊,INT FRL,168_斐济,Fiji,206_汤加,Tonga,0.0,1.0,,,,,胜
1483039.0,1366.0,2017/12/09 09:00,6661.0,6124.0,1-1,0-1,国际友谊,INT FRL,156_瓦努阿图,Vanuatu,168_斐济,Fiji,0.0,0.0,,,,,平
1482085.0,1366.0,2017/12/06 13:00,2865.0,6124.0,0-0,0-0,国际友谊,INT FRL,151_所罗门群岛,Solomon Islands,168_斐济,Fiji,0.0,0.0,,,,,平
1478060.0,1366.0,2017/11/19 10:00,6124.0,636.0,0-2,0-1,国际友谊,INT FRL,168_斐济,Fiji,88_爱沙尼亚,Estonia,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,负
1455195.0,1366.0,2017/09/02 17:00,890.0,6124.0,0-0,0-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,168_斐济,Fiji,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1328458.0,649.0,2017/06/11 14:00,6662.0,6124.0,2-1,1-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,168_斐济,Fiji,0.0,0.0,,半球|0.5,输,大,负
1328457.0,649.0,2017/06/07 12:00,6124.0,6662.0,2-2,1-2,大洋预选,WCPO,168_斐济,Fiji,154_新喀里多尼亚,New Caledonia,0.0,1.0,,受让平手/半球|-0/-0.5,赢,大,平
1390591.0,1366.0,2017/05/28 11:00,6124.0,2865.0,1-0,0-0,国际友谊,INT FRL,168_斐济,Fiji,151_所罗门群岛,Solomon Islands,0.0,1.0,,,,,胜
1390306.0,1366.0,2017/05/25 15:00,6124.0,2865.0,1-1,1-1,国际友谊,INT FRL,168_斐济,Fiji,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,平
1328456.0,649.0,2017/03/28 14:35,2363.0,6124.0,2-0,1-0,大洋预选,WCPO,120_新西兰,New Zealand,168_斐济,Fiji,0.0,0.0,,两球|2,走,小,负
1328455.0,649.0,2017/03/25 09:00,6124.0,2363.0,0-2,0-0,大洋预选,WCPO,168_斐济,Fiji,120_新西兰,New Zealand,0.0,0.0,,受让球半/两球|-1.5/-2,输,小,负
1256271.0,1366.0,2016/06/26 10:00,6124.0,889.0,1-1,0-1,国际友谊,INT FRL,168_斐济,Fiji,175_马来西亚,Malaysia,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1243603.0,649.0,2016/06/04 14:00,6124.0,6661.0,2-3,0-2,大洋预选,WCPO,168_斐济,Fiji,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,负
1243602.0,649.0,2016/05/31 17:00,2865.0,6124.0,0-1,0-0,大洋预选,WCPO,151_所罗门群岛,Solomon Islands,168_斐济,Fiji,0.0,0.0,,,,,胜
1243599.0,649.0,2016/05/28 14:10,2363.0,6124.0,3-1,2-1,大洋预选,WCPO,120_新西兰,New Zealand,168_斐济,Fiji,0.0,0.0,,,,,负
1197239.0,1366.0,2015/11/10 12:00,6661.0,6124.0,2-1,2-0,国际友谊,INT FRL,156_瓦努阿图,Vanuatu,168_斐济,Fiji,0.0,0.0,,,,,负
1196940.0,1366.0,2015/11/07 12:05,6661.0,6124.0,1-1,1-0,国际友谊,INT FRL,156_瓦努阿图,Vanuatu,168_斐济,Fiji,0.0,0.0,,,,,平
1181185.0,1366.0,2015/08/27 15:00,6124.0,8035.0,6-0,1-0,国际友谊,INT FRL,168_斐济,Fiji,194_美属萨摩亚,American Samoa,1.0,1.0,,,,,胜
1176752.0,1366.0,2015/08/19 15:00,6124.0,8033.0,5-0,3-0,国际友谊,INT FRL,168_斐济,Fiji,206_汤加,Tonga,0.0,0.0,,,,,胜
1141411.0,41.0,2015/06/30 14:00,6124.0,5953.0,2-2,0-2,球会友谊,INT CF,168_斐济,Fiji,220_弱鸡,Wellington Phoenix,0.0,0.0,,受让半球|-0.5,赢,大,平
1137603.0,41.0,2015/06/27 13:30,6124.0,5953.0,1-2,1-1,球会友谊,INT CF,168_斐济,Fiji,220_弱鸡,Wellington Phoenix,0.0,0.0,,受让球半/两球|-1.5/-2,赢,小,负
707725.0,649.0,2012/06/06 09:00,8031.0,6124.0,1-1,0-1,大洋预选,WCPO,158_巴布亚新几内亚,Papua New Guinea,168_斐济,Fiji,0.0,0.0,,,,,平
708377.0,649.0,2012/06/04 12:00,6124.0,2865.0,0-0,0-0,大洋预选,WCPO,168_斐济,Fiji,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,平
707721.0,649.0,2012/06/02 09:00,6124.0,2363.0,0-1,0-1,大洋预选,WCPO,168_斐济,Fiji,120_新西兰,New Zealand,0.0,0.0,,,,,负
571456.0,41.0,2011/07/15 15:00,6124.0,6661.0,1-2,0-2,球会友谊,INT CF,168_斐济,Fiji,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,负
572000.0,41.0,2011/07/13 15:00,6124.0,6661.0,2-0,0-0,球会友谊,INT CF,168_斐济,Fiji,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,胜
203914.0,649.0,2008/11/19 14:00,2363.0,6124.0,0-2,0-0,大洋预选,WCPO,120_新西兰,New Zealand,168_斐济,Fiji,1.0,0.0,,,,,胜
203909.0,649.0,2008/09/10 11:00,6661.0,6124.0,2-1,0-0,大洋预选,WCPO,156_瓦努阿图,Vanuatu,168_斐济,Fiji,1.0,0.0,,,,,负
203911.0,649.0,2008/09/06 11:00,6124.0,6661.0,2-0,1-0,大洋预选,WCPO,168_斐济,Fiji,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,胜
203917.0,649.0,2007/11/21 16:00,6662.0,6124.0,4-0,2-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,168_斐济,Fiji,0.0,0.0,,,,,负
203919.0,649.0,2007/11/17 11:00,6124.0,6662.0,3-3,2-0,大洋预选,WCPO,168_斐济,Fiji,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,平
203912.0,649.0,2007/10/17 12:00,6124.0,2363.0,0-2,0-1,大洋预选,WCPO,168_斐济,Fiji,120_新西兰,New Zealand,0.0,0.0,,,,,负
203921.0,649.0,2007/09/08 13:00,6662.0,6124.0,1-0,0-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,168_斐济,Fiji,0.0,0.0,,,,,负
203923.0,649.0,2007/09/06 13:00,6124.0,6661.0,3-0,1-0,大洋预选,WCPO,168_斐济,Fiji,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,胜
203932.0,649.0,2007/09/04 10:00,6662.0,6124.0,1-1,1-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,168_斐济,Fiji,0.0,0.0,,,,,平
203931.0,649.0,2007/09/02 13:00,8030.0,6124.0,0-4,0-2,大洋预选,WCPO,152_塔希提群岛,Tahiti,168_斐济,Fiji,0.0,0.0,,,,,胜
203927.0,649.0,2007/08/28 13:00,6124.0,8034.0,4-0,2-0,大洋预选,WCPO,168_斐济,Fiji,194_库克,Cook Islands,0.0,0.0,,,,,胜
203925.0,649.0,2007/08/26 13:00,6124.0,8059.0,12-1,5-0,大洋预选,WCPO,168_斐济,Fiji,220_弱鸡,Tuvalu,0.0,0.0,,,,,胜
151808.0,41.0,2007/08/11 11:30,6124.0,2363.0,1-2,0-2,球会友谊,INT CF,168_斐济,Fiji,120_新西兰,New Zealand,0.0,0.0,,,,,负
