赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1527771.0,1366.0,2018/04/02 04:00,8028.0,7293.0,0-0,0-0,国际友谊,INT FRL,139_安提瓜和巴布达,Antigua   Barbuda,168_多米尼克,Dominica,0.0,0.0,,,,,平
1410197.0,1366.0,2017/07/07 06:05,7293.0,1494.0,2-2,1-2,国际友谊,INT FRL,168_多米尼克,Dominica,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,平
1410086.0,1366.0,2017/07/05 08:30,8026.0,7293.0,0-0,0-0,国际友谊,INT FRL,175_圣路西亚,St. Lucia,168_多米尼克,Dominica,0.0,0.0,,,,,平
1406506.0,1366.0,2017/07/01 05:30,7293.0,1992.0,2-1,1-1,国际友谊,INT FRL,168_多米尼克,Dominica,155_巴巴多斯,Barbados,0.0,0.0,,,,,胜
1244341.0,188.0,2016/06/08 07:00,7293.0,16239.0,0-4,0-1,美加杯,CGC CZ,168_多米尼克,Dominica,220_弱鸡,Martinique,0.0,0.0,,,,,负
1244141.0,188.0,2016/06/05 08:00,5691.0,7293.0,2-1,1-1,美加杯,CGC CZ,220_弱鸡,Guadeloupe,168_多米尼克,Dominica,0.0,0.0,,,,,负
1229867.0,188.0,2016/03/30 07:00,7293.0,16239.0,1-4,0-2,美加杯,CGC CZ,168_多米尼克,Dominica,220_弱鸡,Martinique,0.0,0.0,,,,,负
1229866.0,188.0,2016/03/27 04:00,7302.0,7293.0,0-7,0-4,美加杯,CGC CZ,205_英属维津群岛,British Virgin Islands,168_多米尼克,Dominica,0.0,0.0,,,,,胜
1129431.0,653.0,2015/06/17 07:35,795.0,7293.0,4-0,2-0,北美预选,WCPCA,95_加拿大,Canada,168_多米尼克,Dominica,0.0,0.0,,两球/两球半|2/2.5,输,大,负
1129419.0,653.0,2015/06/12 07:00,7293.0,795.0,0-2,0-1,北美预选,WCPCA,168_多米尼克,Dominica,95_加拿大,Canada,0.0,1.0,,受让球半|-1.5,输,小,负
1127139.0,1366.0,2015/05/17 08:00,7293.0,1494.0,0-1,0-1,国际友谊,INT FRL,168_多米尼克,Dominica,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,负
1116589.0,1366.0,2015/05/15 05:30,7296.0,7293.0,1-2,1-1,国际友谊,INT FRL,159_格瑞那达,Grenada,168_多米尼克,Dominica,0.0,0.0,,,,,胜
1127195.0,1366.0,2015/05/13 07:45,8026.0,7293.0,1-1,1-0,国际友谊,INT FRL,175_圣路西亚,St. Lucia,168_多米尼克,Dominica,0.0,0.0,,,,,平
