赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1129664.0,93.0,2016/09/02 23:59,735.0,5291.0,取消,,非洲杯,CAF NC,30_埃及,Egypt,168_乍得,Chad,0.0,0.0,,,,,
1129662.0,93.0,2016/06/03 23:59,5291.0,789.0,取消,,非洲杯,CAF NC,168_乍得,Chad,51_尼日利亚,Nigeria,0.0,0.0,,,,,
1129661.0,93.0,2016/03/28 21:00,4937.0,5291.0,取消,,非洲杯,CAF NC,146_坦桑尼亚,Tanzania,168_乍得,Chad,0.0,0.0,,,,,
1129658.0,93.0,2016/03/23 22:30,5291.0,4937.0,取消,,非洲杯,CAF NC,168_乍得,Chad,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,
1196510.0,651.0,2015/11/18 00:30,735.0,5291.0,4-0,4-0,非洲预选,WCPAF,30_埃及,Egypt,168_乍得,Chad,0.0,0.0,,两球|2,输,大,负
1196536.0,651.0,2015/11/14 22:30,5291.0,735.0,1-0,0-0,非洲预选,WCPAF,168_乍得,Chad,30_埃及,Egypt,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,胜
1130039.0,1052.0,2015/10/24 22:30,788.0,5291.0,0-1,0-0,非国锦标,CAF SC,93_加蓬,Gabon,168_乍得,Chad,0.0,0.0,,,,,胜
1130036.0,1052.0,2015/10/18 22:30,5291.0,788.0,0-2,0-1,非国锦标,CAF SC,168_乍得,Chad,93_加蓬,Gabon,0.0,0.0,,,,,负
1190103.0,651.0,2015/10/13 22:30,5290.0,5291.0,2-1,0-1,非洲预选,WCPAF,98_塞拉利昂,Sierra Leone,168_乍得,Chad,0.0,0.0,,平手/半球|0/0.5,输,大,负
1190110.0,651.0,2015/10/10 22:30,5291.0,5290.0,1-0,0-0,非洲预选,WCPAF,168_乍得,Chad,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,胜
1129656.0,93.0,2015/09/06 22:30,5291.0,735.0,取消,,非洲杯,CAF NC,168_乍得,Chad,30_埃及,Egypt,0.0,0.0,,,,,
1129655.0,93.0,2015/06/13 23:00,789.0,5291.0,取消,,非洲杯,CAF NC,51_尼日利亚,Nigeria,168_乍得,Chad,1.0,0.0,,,,,
1129318.0,1366.0,2015/06/06 23:15,812.0,5291.0,1-2,0-0,国际友谊,INT FRL,66_几内亚,Guinea,168_乍得,Chad,0.0,0.0,,,,,胜
983311.0,93.0,2014/05/31 23:00,5291.0,969.0,3-1,3-0,非洲杯,CAF NC,168_乍得,Chad,124_马拉维,Malawi,0.0,0.0,,,,,胜
983297.0,93.0,2014/05/17 20:30,969.0,5291.0,2-0,1-0,非洲杯,CAF NC,124_马拉维,Malawi,168_乍得,Chad,0.0,0.0,,,,,负
975215.0,1366.0,2014/04/15 23:30,877.0,5291.0,0-0,0-0,国际友谊,INT FRL,138_也门,Yemen,168_乍得,Chad,0.0,0.0,,平手/半球|0/0.5,赢,小,平
676723.0,93.0,2012/06/16 20:30,969.0,5291.0,2-0,1-0,非洲杯,CAF NC,124_马拉维,Malawi,168_乍得,Chad,0.0,0.0,,,,小,负
688766.0,41.0,2012/04/01 01:00,735.0,5291.0,4-0,2-0,球会友谊,INT CF,30_埃及,Egypt,168_乍得,Chad,0.0,0.0,,,,大,负
676709.0,93.0,2012/02/29 22:00,5291.0,969.0,3-2,2-1,非洲杯,CAF NC,168_乍得,Chad,124_马拉维,Malawi,0.0,0.0,,,,大,胜
646758.0,651.0,2011/11/15 21:00,4937.0,5291.0,0-1,0-0,非洲预选,WCPAF,146_坦桑尼亚,Tanzania,168_乍得,Chad,0.0,0.0,,,,,胜
646756.0,651.0,2011/11/11 23:00,5291.0,4937.0,1-2,1-1,非洲预选,WCPAF,168_乍得,Chad,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,负
644898.0,41.0,2011/10/29 21:30,2572.0,5291.0,2-1,1-0,球会友谊,INT CF,220_弱鸡,ES du Sahel,168_乍得,Chad,0.0,0.0,,,,,负
456484.0,93.0,2011/10/08 23:00,5291.0,969.0,2-2,0-1,非洲杯,CAF NC,168_乍得,Chad,124_马拉维,Malawi,0.0,0.0,,,,,平
456480.0,93.0,2011/06/06 01:00,823.0,5291.0,5-0,3-0,非洲杯,CAF NC,23_突尼斯,Tunisia,168_乍得,Chad,0.0,1.0,,,,大,负
456478.0,93.0,2011/03/27 01:00,5291.0,920.0,0-1,0-0,非洲杯,CAF NC,168_乍得,Chad,149_博茨瓦纳,Botswana,0.0,0.0,,,,,负
456482.0,93.0,2010/11/17 23:35,816.0,5291.0,0-0,0-0,非洲杯,CAF NC,127_多哥,Togo,168_乍得,Chad,0.0,0.0,,,,,平
456476.0,93.0,2010/10/09 20:30,969.0,5291.0,6-2,2-1,非洲杯,CAF NC,124_马拉维,Malawi,168_乍得,Chad,0.0,0.0,,,,,负
407033.0,93.0,2010/08/11 22:30,5291.0,823.0,1-3,0-2,非洲杯,CAF NC,168_乍得,Chad,23_突尼斯,Tunisia,0.0,0.0,,,,,负
407032.0,93.0,2010/07/09 21:00,920.0,5291.0,1-0,0-0,非洲杯,CAF NC,149_博茨瓦纳,Botswana,168_乍得,Chad,0.0,0.0,,,,,负
407029.0,93.0,2010/07/01 23:59,5291.0,816.0,2-2,2-2,非洲杯,CAF NC,168_乍得,Chad,127_多哥,Togo,0.0,0.0,,,,,平
205776.0,651.0,2008/10/12 02:00,817.0,5291.0,2-1,1-0,非洲预选,WCPAF,71_马里,Mali,168_乍得,Chad,0.0,0.0,,,,大,负
205774.0,651.0,2008/09/11 05:00,5291.0,792.0,1-3,1-1,非洲预选,WCPAF,168_乍得,Chad,124_苏丹,Sudan,1.0,0.0,,,,大,负
205766.0,651.0,2008/09/07 04:00,792.0,5291.0,1-2,0-1,非洲预选,WCPAF,124_苏丹,Sudan,168_乍得,Chad,0.0,0.0,,,,大,胜
205773.0,651.0,2008/06/22 22:30,806.0,5291.0,2-0,1-0,非洲预选,WCPAF,96_刚果,Congo,168_乍得,Chad,0.0,0.0,,,,小,负
205770.0,651.0,2008/06/14 23:00,5291.0,806.0,2-1,1-1,非洲预选,WCPAF,168_乍得,Chad,96_刚果,Congo,0.0,0.0,,,,大,胜
205769.0,651.0,2008/06/07 23:00,5291.0,817.0,1-2,1-2,非洲预选,WCPAF,168_乍得,Chad,71_马里,Mali,0.0,0.0,,,,大,负
162954.0,93.0,2007/09/09 22:00,5291.0,806.0,1-1,0-1,非洲杯,CAF NC,168_乍得,Chad,96_刚果,Congo,0.0,0.0,,,,,平
134770.0,93.0,2007/06/16 20:00,807.0,5291.0,1-1,0-1,非洲杯,CAF NC,72_赞比亚,Zambia,168_乍得,Chad,0.0,0.0,,,,,平
133261.0,93.0,2007/06/02 21:15,803.0,5291.0,4-0,3-0,非洲杯,CAF NC,78_南非,South Africa,168_乍得,Chad,0.0,0.0,,,,,负
125062.0,93.0,2007/03/24 23:00,5291.0,803.0,0-3,0-2,非洲杯,CAF NC,168_乍得,Chad,78_南非,South Africa,0.0,0.0,,,,,负
182282.0,93.0,2006/09/03 19:00,5291.0,807.0,0-2,0-0,非洲杯,CAF NC,168_乍得,Chad,72_赞比亚,Zambia,0.0,0.0,,,,,负
