赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1547465.0,1366.0,2018/06/04 07:00,1992.0,5092.0,0-0,0-0,国际友谊,INT FRL,155_巴巴多斯,Barbados,171_伯利兹,Belize,0.0,0.0,,,,,平
1365506.0,41.0,2017/03/02 09:30,5092.0,31493.0,2-2,0-1,球会友谊,INT CF,171_伯利兹,Belize,220_弱鸡,BDF FC,0.0,0.0,,,,,平
1362674.0,41.0,2017/02/27 06:00,5092.0,12003.0,1-0,0-0,球会友谊,INT CF,171_伯利兹,Belize,220_弱鸡,Police United FC,0.0,0.0,,,,,胜
1339706.0,424.0,2017/01/22 23:59,5092.0,794.0,0-1,0-0,中美杯,UNCAFNC,171_伯利兹,Belize,67_洪都拉斯,Honduras,0.0,0.0,,受让球半/两球|-1.5/-2,赢,小,负
1339703.0,424.0,2017/01/21 05:00,5091.0,5092.0,3-1,1-0,中美杯,UNCAFNC,115_尼加拉瓜,Nicaragua,171_伯利兹,Belize,0.0,0.0,,半球/一球|0.5/1,输,大,负
1339700.0,424.0,2017/01/18 05:05,796.0,5092.0,3-1,3-1,中美杯,UNCAFNC,90_萨尔瓦多,El Salvador,171_伯利兹,Belize,0.0,0.0,,球半|1.5,输,大,负
1339697.0,424.0,2017/01/16 02:00,5092.0,914.0,0-3,0-1,中美杯,UNCAFNC,171_伯利兹,Belize,27_哥斯达黎加,Costa Rica,0.0,0.0,,受让两球/两球半|-2/-2.5,输,小,负
1338961.0,424.0,2017/01/14 10:05,798.0,5092.0,0-0,0-0,中美杯,UNCAFNC,53_巴拿马,Panama,171_伯利兹,Belize,0.0,0.0,,两球半|2.5,赢,小,平
1335191.0,41.0,2016/12/12 05:00,5092.0,31466.0,1-1,1-0,球会友谊,INT CF,171_伯利兹,Belize,220_弱鸡,Belmopan Bandits SC,0.0,0.0,,,,,平
1327251.0,1366.0,2016/11/03 04:35,794.0,5092.0,5-0,0-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,171_伯利兹,Belize,0.0,0.0,,,,,负
1321876.0,41.0,2016/10/09 06:00,5092.0,794.0,1-2,1-1,球会友谊,INT CF,171_伯利兹,Belize,67_洪都拉斯,Honduras,0.0,0.0,,,,,负
1183613.0,653.0,2015/09/09 09:00,5092.0,795.0,1-1,1-1,北美预选,WCPCA,171_伯利兹,Belize,95_加拿大,Canada,0.0,0.0,,受让球半/两球|-1.5/-2,赢,小,平
1183618.0,653.0,2015/09/05 07:35,795.0,5092.0,3-0,1-0,北美预选,WCPCA,95_加拿大,Canada,171_伯利兹,Belize,0.0,0.0,,球半/两球|1.5/2,输,走,负
1129424.0,653.0,2015/06/15 06:00,5092.0,7538.0,3-0,2-0,北美预选,WCPCA,171_伯利兹,Belize,160_多米尼加共和国,Dominican Republic,0.0,0.0,,平手|0,赢,大,胜
1129418.0,653.0,2015/06/12 04:00,7538.0,5092.0,1-2,0-1,北美预选,WCPCA,160_多米尼加共和国,Dominican Republic,171_伯利兹,Belize,0.0,0.0,,一球|1,赢,大,胜
1110188.0,653.0,2015/03/30 08:00,7306.0,5092.0,1-1,1-1,北美预选,WCPCA,202_开曼群岛,Cayman Islands,171_伯利兹,Belize,0.0,0.0,,,,,平
1110378.0,653.0,2015/03/26 10:00,5092.0,7306.0,0-0,0-0,北美预选,WCPCA,171_伯利兹,Belize,202_开曼群岛,Cayman Islands,0.0,0.0,,,,,平
1053661.0,424.0,2014/09/11 08:10,796.0,5092.0,2-0,0-0,中美杯,UNCAFNC,90_萨尔瓦多,El Salvador,171_伯利兹,Belize,0.0,0.0,,一球/球半|1/1.5,输,小,负
