赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1371534.0,95.0,2018/03/27 19:00,6651.0,1565.0,2-1,2-0,亚洲杯,AFC,148_阿富汗,Afghanistan,172_柬埔寨,Cambodia,0.0,0.0,,球半|1.5,赢,大,负
1521974.0,1366.0,2018/03/21 19:00,880.0,1565.0,0-1,0-0,国际友谊,INT FRL,183_老挝,Laos,172_柬埔寨,Cambodia,0.0,0.0,,,,,胜
1371532.0,95.0,2017/11/14 19:30,1565.0,881.0,0-1,0-1,亚洲杯,AFC,172_柬埔寨,Cambodia,113_约旦,Jordan,0.0,0.0,,受让两球半|-2.5,赢,小,负
1476833.0,1366.0,2017/11/09 19:30,1565.0,1563.0,1-2,0-1,国际友谊,INT FRL,172_柬埔寨,Cambodia,140_缅甸联邦,Myanmar,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1371529.0,95.0,2017/10/10 20:00,883.0,1565.0,5-0,1-0,亚洲杯,AFC,112_越南,Vietnam,172_柬埔寨,Cambodia,0.0,0.0,,两球/两球半|2/2.5,输,大,负
1468711.0,1366.0,2017/10/04 22:30,890.0,1565.0,3-1,2-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,172_柬埔寨,Cambodia,0.0,0.0,,,,,负
1371528.0,95.0,2017/09/05 19:30,1565.0,883.0,1-2,1-1,亚洲杯,AFC,172_柬埔寨,Cambodia,112_越南,Vietnam,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,负
1371526.0,95.0,2017/06/13 19:30,1565.0,6651.0,1-0,0-0,亚洲杯,AFC,172_柬埔寨,Cambodia,148_阿富汗,Afghanistan,0.0,0.0,,受让一球|-1,赢,小,胜
1391060.0,1366.0,2017/06/08 19:45,1565.0,890.0,0-2,0-1,国际友谊,INT FRL,172_柬埔寨,Cambodia,160_印度尼西亚,Indonesia,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,负
1371523.0,95.0,2017/03/28 23:59,881.0,1565.0,7-0,2-0,亚洲杯,AFC,113_约旦,Jordan,172_柬埔寨,Cambodia,0.0,0.0,,四球|4,输,大,负
1371332.0,1366.0,2017/03/22 19:30,1565.0,893.0,2-3,1-1,国际友谊,INT FRL,172_柬埔寨,Cambodia,102_印度,India,0.0,0.0,,受让半球|-0.5,输,大,负
1342597.0,1366.0,2017/01/14 23:00,1565.0,891.0,2-7,2-3,国际友谊,INT FRL,172_柬埔寨,Cambodia,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,,,,负
1328484.0,1124.0,2016/11/26 19:30,883.0,1565.0,2-1,1-0,东南锦,AFF Cup,112_越南,Vietnam,172_柬埔寨,Cambodia,1.0,0.0,,球半|1.5,赢,小,负
1331416.0,1124.0,2016/11/23 19:30,1563.0,1565.0,3-1,2-1,东南锦,AFF Cup,140_缅甸联邦,Myanmar,172_柬埔寨,Cambodia,0.0,0.0,,球半|1.5,输,大,负
1328488.0,1124.0,2016/11/20 16:30,889.0,1565.0,3-2,1-1,东南锦,AFF Cup,175_马来西亚,Malaysia,172_柬埔寨,Cambodia,0.0,0.0,,一球|1,走,大,负
1327482.0,1366.0,2016/11/13 19:45,892.0,1565.0,1-0,0-0,国际友谊,INT FRL,173_新加坡,Singapore,172_柬埔寨,Cambodia,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1323532.0,1124.0,2016/10/21 19:40,1565.0,1564.0,3-2,2-2,东南锦,AFF Cup,172_柬埔寨,Cambodia,191_东帝汶,Timor Leste,0.0,0.0,,两球/两球半|2/2.5,输,大,胜
1324413.0,1124.0,2016/10/18 19:30,1565.0,3627.0,3-0,3-0,东南锦,AFF Cup,172_柬埔寨,Cambodia,190_文莱,Brunei Darussalam,0.0,1.0,,球半|1.5,赢,小,胜
1323165.0,1124.0,2016/10/15 19:30,1565.0,880.0,2-1,1-0,东南锦,AFF Cup,172_柬埔寨,Cambodia,183_老挝,Laos,0.0,0.0,,半球|0.5,赢,走,胜
1322108.0,1366.0,2016/10/09 19:30,1565.0,824.0,4-0,2-0,国际友谊,INT FRL,172_柬埔寨,Cambodia,200_斯里兰卡,Sri Lanka,0.0,0.0,,球半|1.5,赢,大,胜
1320774.0,1366.0,2016/10/06 19:45,1565.0,888.0,0-2,0-2,国际友谊,INT FRL,172_柬埔寨,Cambodia,144_中国香港,Hong Kong,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,负
1305633.0,1366.0,2016/09/01 20:00,888.0,1565.0,4-2,3-1,国际友谊,INT FRL,144_中国香港,Hong Kong,172_柬埔寨,Cambodia,0.0,0.0,,一球/球半|1/1.5,输,大,负
1277114.0,1366.0,2016/07/28 20:30,1565.0,892.0,2-1,2-1,国际友谊,INT FRL,172_柬埔寨,Cambodia,173_新加坡,Singapore,1.0,0.0,,,,,胜
1243720.0,95.0,2016/06/07 20:00,1565.0,5288.0,2-0,1-0,亚洲杯,AFC,172_柬埔寨,Cambodia,134_中国台北,Chinese Taipei,0.0,0.0,,平手|0,赢,小,胜
1243713.0,95.0,2016/06/02 19:00,5288.0,1565.0,2-2,2-2,亚洲杯,AFC,134_中国台北,Chinese Taipei,172_柬埔寨,Cambodia,1.0,1.0,,半球|0.5,赢,大,平
1243493.0,1366.0,2016/05/29 20:00,1565.0,1564.0,2-0,1-0,国际友谊,INT FRL,172_柬埔寨,Cambodia,191_东帝汶,Timor Leste,0.0,0.0,,,,,胜
1124692.0,648.0,2016/03/24 23:59,899.0,1565.0,6-0,2-0,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,172_柬埔寨,Cambodia,0.0,0.0,,四球/四球半|4/4.5,输,大,负
