赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1371558.0,95.0,2018/03/27 19:00,5288.0,892.0,1-0,1-0,亚洲杯,AFC,134_中国台北,Chinese Taipei,173_新加坡,Singapore,0.0,0.0,,半球|0.5,输,小,负
1520452.0,1366.0,2018/03/23 19:30,892.0,882.0,3-2,1-1,国际友谊,INT FRL,173_新加坡,Singapore,150_马尔代夫,Maldives,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1371555.0,95.0,2017/11/14 19:30,892.0,900.0,0-3,0-0,亚洲杯,AFC,173_新加坡,Singapore,122_巴林,Bahrain,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1476832.0,1366.0,2017/11/09 19:30,892.0,897.0,0-1,0-1,国际友谊,INT FRL,173_新加坡,Singapore,84_黎巴嫩,Lebanon,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1371553.0,95.0,2017/10/10 19:30,825.0,892.0,2-1,1-1,亚洲杯,AFC,114_土库曼斯坦,Turkmenistan,173_新加坡,Singapore,0.0,0.0,,半球/一球|0.5/1,输,大,负
1468566.0,1366.0,2017/10/05 23:59,904.0,892.0,3-1,1-0,国际友谊,INT FRL,103_卡塔尔,Qatar,173_新加坡,Singapore,0.0,0.0,,球半|1.5,输,大,负
1371551.0,95.0,2017/09/05 19:30,892.0,825.0,1-1,0-0,亚洲杯,AFC,173_新加坡,Singapore,114_土库曼斯坦,Turkmenistan,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1449134.0,1366.0,2017/08/31 19:30,892.0,888.0,1-1,0-1,国际友谊,INT FRL,173_新加坡,Singapore,144_中国香港,Hong Kong,1.0,0.0,,平手/半球|0/0.5,输,小,平
1392396.0,1366.0,2017/06/13 20:00,892.0,766.0,0-6,0-2,国际友谊,INT FRL,173_新加坡,Singapore,4_阿根廷,Argentina,0.0,0.0,,受让5.25球|-5.25,输,大,负
1371549.0,95.0,2017/06/10 21:00,892.0,5288.0,1-2,1-1,亚洲杯,AFC,173_新加坡,Singapore,134_中国台北,Chinese Taipei,0.0,0.0,,球半|1.5,输,大,负
1391058.0,1366.0,2017/06/06 21:00,892.0,1563.0,1-1,0-0,国际友谊,INT FRL,173_新加坡,Singapore,140_缅甸联邦,Myanmar,0.0,0.0,,,,,平
1371547.0,95.0,2017/03/28 23:59,900.0,892.0,0-0,0-0,亚洲杯,AFC,122_巴林,Bahrain,173_新加坡,Singapore,0.0,0.0,,一球/球半|1/1.5,赢,小,平
1371889.0,1366.0,2017/03/24 00:15,6651.0,892.0,2-1,1-0,国际友谊,INT FRL,148_阿富汗,Afghanistan,173_新加坡,Singapore,0.0,0.0,,平手/半球|0/0.5,输,大,负
1328478.0,1124.0,2016/11/25 20:00,892.0,890.0,1-2,1-0,东南锦,AFF Cup,173_新加坡,Singapore,160_印度尼西亚,Indonesia,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1328480.0,1124.0,2016/11/22 16:30,886.0,892.0,1-0,0-0,东南锦,AFF Cup,129_泰国,Thailand,173_新加坡,Singapore,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1328481.0,1124.0,2016/11/19 20:00,1562.0,892.0,0-0,0-0,东南锦,AFF Cup,123_菲律宾,Philippines,173_新加坡,Singapore,0.0,1.0,,平手/半球|0/0.5,赢,小,平
1327482.0,1366.0,2016/11/13 19:45,892.0,1565.0,1-0,0-0,国际友谊,INT FRL,173_新加坡,Singapore,172_柬埔寨,Cambodia,0.0,0.0,,一球/球半|1/1.5,输,小,胜
1327404.0,1366.0,2016/11/09 20:00,899.0,892.0,2-0,0-0,国际友谊,INT FRL,76_叙利亚,Syrian,173_新加坡,Singapore,0.0,0.0,,一球/球半|1/1.5,输,小,负
1322451.0,1366.0,2016/10/11 20:00,888.0,892.0,2-0,1-0,国际友谊,INT FRL,144_中国香港,Hong Kong,173_新加坡,Singapore,0.0,0.0,,平手/半球|0/0.5,输,小,负
1319016.0,1366.0,2016/10/07 20:30,892.0,889.0,0-0,0-0,国际友谊,INT FRL,173_新加坡,Singapore,175_马来西亚,Malaysia,0.0,0.0,,半球/一球|0.5/1,输,小,平
1306159.0,1366.0,2016/09/02 00:15,900.0,892.0,3-1,1-1,国际友谊,INT FRL,122_巴林,Bahrain,173_新加坡,Singapore,0.0,0.0,,球半|1.5,输,大,负
1277114.0,1366.0,2016/07/28 20:30,1565.0,892.0,2-1,2-1,国际友谊,INT FRL,172_柬埔寨,Cambodia,173_新加坡,Singapore,1.0,0.0,,,,,负
1245032.0,428.0,2016/06/06 19:30,883.0,892.0,0-0,0-0,四国赛,INT FRLW,112_越南,Vietnam,173_新加坡,Singapore,0.0,0.0,"90,0-0;;1,3-0;;1",平手/半球|0/0.5,赢,小,平
1244112.0,1366.0,2016/06/03 19:30,1563.0,892.0,0-1,0-1,国际友谊,INT FRL,140_缅甸联邦,Myanmar,173_新加坡,Singapore,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1124690.0,648.0,2016/03/29 18:30,6651.0,892.0,2-1,1-0,亚洲预选,FIFA WCQL,148_阿富汗,Afghanistan,173_新加坡,Singapore,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1229763.0,1366.0,2016/03/24 19:45,892.0,1563.0,2-1,1-0,国际友谊,INT FRL,173_新加坡,Singapore,140_缅甸联邦,Myanmar,0.0,0.0,,一球|1,走,大,胜
1124694.0,648.0,2015/11/17 20:00,892.0,899.0,1-2,0-1,亚洲预选,FIFA WCQL,173_新加坡,Singapore,76_叙利亚,Syrian,1.0,0.0,,受让一球|-1,走,大,负
1124706.0,648.0,2015/11/12 19:15,892.0,903.0,0-3,0-2,亚洲预选,FIFA WCQL,173_新加坡,Singapore,56_日本,Japan,0.0,0.0,,受让两球半|-2.5,输,小,负
1124698.0,648.0,2015/10/13 20:00,892.0,1565.0,2-1,1-0,亚洲预选,FIFA WCQL,173_新加坡,Singapore,172_柬埔寨,Cambodia,0.0,0.0,,两球半|2.5,输,小,胜
1124700.0,648.0,2015/10/08 20:00,892.0,6651.0,1-0,0-0,亚洲预选,FIFA WCQL,173_新加坡,Singapore,148_阿富汗,Afghanistan,0.0,0.0,,一球/球半|1/1.5,输,小,胜
1192009.0,41.0,2015/10/02 21:45,892.0,899.0,2-1,1-0,球会友谊,INT CF,173_新加坡,Singapore,76_叙利亚,Syrian,0.0,0.0,,,,,胜
1124703.0,648.0,2015/09/03 23:59,899.0,892.0,1-0,0-0,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,173_新加坡,Singapore,0.0,0.0,,球半/两球|1.5/2,赢,小,负
