赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1543729.0,1366.0,2018/05/26 03:00,895.0,735.0,1-1,1-0,国际友谊,INT FRL,174_科威特,Kuwait,30_埃及,Egypt,0.0,0.0,,受让半球|-0.5,赢,走,平
1542174.0,1366.0,2018/05/11 23:59,895.0,879.0,2-0,1-0,国际友谊,INT FRL,174_科威特,Kuwait,75_巴勒斯坦,Palestine,0.0,0.0,,平手/半球|0/0.5,赢,走,胜
1521477.0,1366.0,2018/03/25 23:30,895.0,793.0,1-3,0-2,国际友谊,INT FRL,174_科威特,Kuwait,45_喀麦隆,Cameroon,0.0,0.0,,受让半球|-0.5,输,大,负
1519555.0,1366.0,2018/03/21 23:00,881.0,895.0,1-0,1-0,国际友谊,INT FRL,113_约旦,Jordan,174_科威特,Kuwait,0.0,0.0,,平手/半球|0/0.5,输,小,负
1485910.0,161.0,2017/12/28 23:30,895.0,887.0,0-0,0-0,海湾运,GC,174_科威特,Kuwait,78_阿联酋,United Arab Emirates,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1486654.0,161.0,2017/12/26 01:00,895.0,902.0,0-1,0-0,海湾运,GC,174_科威特,Kuwait,101_阿曼,Oman,0.0,0.0,,平手/半球|0/0.5,输,小,负
1485906.0,161.0,2017/12/22 23:35,895.0,891.0,1-2,0-1,海湾运,GC,174_科威特,Kuwait,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,平手/半球|0/0.5,输,大,负
1485809.0,1366.0,2017/12/18 23:00,900.0,895.0,0-0,0-0,国际友谊,INT FRL,122_巴林,Bahrain,174_科威特,Kuwait,0.0,0.0,,半球|0.5,赢,小,平
1124730.0,648.0,2016/03/29 22:00,898.0,895.0,3-0,0-0,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,174_科威特,Kuwait,0.0,0.0,,,,,负
1124731.0,648.0,2016/03/24 23:30,895.0,880.0,0-3,0-0,亚洲预选,FIFA WCQL,174_科威特,Kuwait,183_老挝,Laos,0.0,0.0,,,,,负
1124734.0,648.0,2015/11/17 20:00,1563.0,895.0,3-0,0-0,亚洲预选,FIFA WCQL,140_缅甸联邦,Myanmar,174_科威特,Kuwait,0.0,0.0,,,,,负
1124737.0,648.0,2015/10/14 00:30,895.0,897.0,0-0,0-0,亚洲预选,FIFA WCQL,174_科威特,Kuwait,84_黎巴嫩,Lebanon,0.0,0.0,,一球|1,输,小,平
1124739.0,648.0,2015/10/08 22:55,895.0,898.0,0-1,0-1,亚洲预选,FIFA WCQL,174_科威特,Kuwait,59_韩国,Korea Republic,0.0,0.0,,受让一球|-1,走,小,负
1124741.0,648.0,2015/09/08 20:00,880.0,895.0,0-2,0-1,亚洲预选,FIFA WCQL,183_老挝,Laos,174_科威特,Kuwait,0.0,0.0,,受让两球半|-2.5,输,小,胜
1124743.0,648.0,2015/09/04 01:00,895.0,1563.0,9-0,3-0,亚洲预选,FIFA WCQL,174_科威特,Kuwait,140_缅甸联邦,Myanmar,0.0,1.0,,两球|2,赢,大,胜
1124748.0,648.0,2015/06/11 22:00,897.0,895.0,0-1,0-0,亚洲预选,FIFA WCQL,84_黎巴嫩,Lebanon,174_科威特,Kuwait,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1129016.0,1366.0,2015/06/05 22:00,881.0,895.0,2-2,2-0,国际友谊,INT FRL,113_约旦,Jordan,174_科威特,Kuwait,0.0,0.0,,平手/半球|0/0.5,赢,大,平
