赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1410197.0,1366.0,2017/07/07 06:05,7293.0,1494.0,2-2,1-2,国际友谊,INT FRL,168_多米尼克,Dominica,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,平
1410122.0,1366.0,2017/07/05 06:00,1494.0,1992.0,4-2,1-2,国际友谊,INT FRL,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,155_巴巴多斯,Barbados,0.0,0.0,,,,,胜
1196393.0,653.0,2016/09/07 08:15,801.0,1494.0,9-3,4-2,北美预选,WCPCA,128_危地马拉,Guatemala,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,三球/三球半|3/3.5,输,大,负
1196392.0,653.0,2016/09/03 03:30,1494.0,797.0,0-6,0-3,北美预选,WCPCA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,25_美国,USA,0.0,0.0,,受让三球/三球半|-3/-3.5,输,大,负
1244350.0,188.0,2016/06/08 03:30,1494.0,821.0,0-1,0-1,美加杯,CGC CZ,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,负
1244139.0,188.0,2016/06/05 03:00,8027.0,1494.0,2-1,0-0,美加杯,CGC CZ,160_苏利南共和国,Suriname,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,负
1196390.0,653.0,2016/03/30 07:30,912.0,1494.0,6-0,1-0,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,两球半/三球|2.5/3,输,大,负
1196387.0,653.0,2016/03/26 03:30,1494.0,912.0,2-3,1-0,北美预选,WCPCA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,受让球半/两球|-1.5/-2,赢,大,负
1196385.0,653.0,2015/11/18 03:30,1494.0,801.0,0-4,0-2,北美预选,WCPCA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,128_危地马拉,Guatemala,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
1196360.0,653.0,2015/11/14 08:10,797.0,1494.0,6-1,3-1,北美预选,WCPCA,25_美国,USA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,三球/三球半|3/3.5,输,大,负
1196270.0,41.0,2015/11/05 05:30,1494.0,8028.0,2-1,0-1,球会友谊,INT CF,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,胜
1183614.0,653.0,2015/09/09 08:00,7300.0,1494.0,2-1,1-0,北美预选,WCPCA,180_阿鲁巴,Aruba,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,受让半球|-0.5,输,大,负
1183621.0,653.0,2015/09/05 03:30,1494.0,7300.0,2-0,0-0,北美预选,WCPCA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,180_阿鲁巴,Aruba,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1181984.0,1366.0,2015/08/29 05:00,1494.0,1992.0,2-2,0-0,国际友谊,INT FRL,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,155_巴巴多斯,Barbados,0.0,0.0,,,,,平
1129425.0,653.0,2015/06/15 07:00,8029.0,1494.0,4-4,1-2,北美预选,WCPCA,164_圭亚那,Guyana,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,平手/半球|0/0.5,赢,大,平
1129414.0,653.0,2015/06/11 03:30,1494.0,8029.0,2-2,0-1,北美预选,WCPCA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,164_圭亚那,Guyana,0.0,0.0,,半球|0.5,输,大,平
1127139.0,1366.0,2015/05/17 08:00,7293.0,1494.0,0-1,0-1,国际友谊,INT FRL,168_多米尼克,Dominica,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,胜
1127530.0,1366.0,2015/05/15 08:00,8026.0,1494.0,1-2,1-0,国际友谊,INT FRL,175_圣路西亚,St. Lucia,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,胜
1127193.0,1366.0,2015/05/13 05:30,7296.0,1494.0,2-3,1-1,国际友谊,INT FRL,159_格瑞那达,Grenada,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,胜
1064650.0,188.0,2014/10/13 04:00,1494.0,16239.0,3-4,1-0,美加杯,CGC CZ,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,220_弱鸡,Martinique,0.0,0.0,,,,,负
1064652.0,188.0,2014/10/11 06:00,17976.0,1494.0,0-1,0-1,美加杯,CGC CZ,84_库拉索,Curacao,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,胜
1064649.0,188.0,2014/10/09 08:30,5691.0,1494.0,3-1,1-0,美加杯,CGC CZ,220_弱鸡,Guadeloupe,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,负
1053723.0,188.0,2014/09/08 07:00,8028.0,1494.0,2-1,0-1,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,负
1053721.0,188.0,2014/09/06 05:10,1494.0,7297.0,4-0,2-0,美加杯,CGC CZ,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,206_安圭拉,Anguilla,0.0,0.0,,,,,胜
1053719.0,188.0,2014/09/04 05:00,7538.0,1494.0,0-1,0-1,美加杯,CGC CZ,160_多米尼加共和国,Dominican Republic,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,胜
981119.0,41.0,2014/05/05 05:00,8026.0,1494.0,0-0,0-0,球会友谊,INT CF,175_圣路西亚,St. Lucia,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,平
980302.0,1366.0,2014/05/03 07:00,7293.0,1494.0,2-3,2-3,国际友谊,INT FRL,168_多米尼克,Dominica,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,胜
980111.0,41.0,2014/05/01 05:00,7296.0,1494.0,0-0,0-0,球会友谊,INT CF,159_格瑞那达,Grenada,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,平
841403.0,41.0,2013/04/26 08:10,1494.0,7296.0,0-1,0-0,球会友谊,INT CF,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,159_格瑞那达,Grenada,0.0,0.0,,,,,负
840756.0,41.0,2013/04/22 08:00,1494.0,8026.0,0-2,0-1,球会友谊,INT CF,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,175_圣路西亚,St. Lucia,0.0,0.0,,,,,负
798943.0,188.0,2012/11/19 06:00,8027.0,1494.0,1-0,1-0,美加杯,CGC CZ,160_苏利南共和国,Suriname,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,负
798941.0,188.0,2012/11/17 06:00,1494.0,1991.0,1-1,1-0,美加杯,CGC CZ,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,181_古巴,cuba,0.0,0.0,,,,,平
798940.0,188.0,2012/11/15 08:00,912.0,1494.0,1-1,1-1,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,平
795770.0,188.0,2012/10/26 06:00,1494.0,17976.0,4-0,0-0,美加杯,CGC CZ,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,84_库拉索,Curacao,0.0,0.0,,,,,胜
795769.0,188.0,2012/10/24 08:30,8026.0,1494.0,1-0,0-0,美加杯,CGC CZ,175_圣路西亚,St. Lucia,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,负
795187.0,188.0,2012/10/22 05:00,8029.0,1494.0,1-2,0-1,美加杯,CGC CZ,164_圭亚那,Guyana,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,胜
689920.0,41.0,2012/04/02 04:00,1494.0,8028.0,1-2,0-1,球会友谊,INT CF,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,负
646975.0,653.0,2011/11/16 03:00,1494.0,5092.0,0-2,0-0,北美预选,WCPCA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,171_伯利兹,Belize,0.0,0.0,,,,,负
646972.0,653.0,2011/11/12 05:30,5092.0,1494.0,1-1,1-1,北美预选,WCPCA,171_伯利兹,Belize,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,1.0,,,,,平
640269.0,653.0,2011/10/16 03:00,7296.0,1494.0,1-1,0-0,北美预选,WCPCA,159_格瑞那达,Grenada,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,平
637925.0,653.0,2011/10/08 03:00,1494.0,801.0,0-3,0-1,北美预选,WCPCA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,128_危地马拉,Guatemala,0.0,0.0,,,,,负
621679.0,653.0,2011/09/19 03:00,1494.0,7296.0,2-1,1-0,北美预选,WCPCA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,159_格瑞那达,Grenada,0.0,0.0,,,,,胜
619699.0,653.0,2011/09/03 10:00,801.0,1494.0,4-0,2-0,北美预选,WCPCA,128_危地马拉,Guatemala,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,1.0,,,,大,负
485763.0,188.0,2010/11/07 04:30,8029.0,1494.0,2-0,0-0,美加杯,CGC CZ,164_圭亚那,Guyana,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,负
485761.0,188.0,2010/11/05 05:00,1494.0,909.0,1-3,0-1,美加杯,CGC CZ,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,87_海地,Haiti,0.0,0.0,,,,,负
485760.0,188.0,2010/11/03 07:30,912.0,1494.0,6-2,2-2,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,负
479401.0,188.0,2010/10/11 08:30,1494.0,1992.0,0-0,0-0,美加杯,CGC CZ,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,155_巴巴多斯,Barbados,0.0,0.0,,,,,平
479399.0,188.0,2010/10/09 08:30,1494.0,821.0,1-1,0-1,美加杯,CGC CZ,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,平
479397.0,188.0,2010/10/07 08:30,1494.0,7304.0,7-0,0-0,美加杯,CGC CZ,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,199_蒙塞拉特岛,Montserrat,0.0,0.0,,,,,胜
185415.0,653.0,2008/06/21 07:40,795.0,1494.0,4-1,2-0,北美预选,WCPCA,95_加拿大,Canada,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,负
177689.0,653.0,2008/06/16 03:00,1494.0,795.0,0-3,0-2,北美预选,WCPCA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,95_加拿大,Canada,0.0,0.0,,,,,负
205892.0,41.0,2008/06/04 08:00,799.0,1494.0,5-1,3-0,球会友谊,INT CF,55_牙买加,Jamaica,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,大,负
9458.0,80.0,2004/11/18 07:05,912.0,1494.0,2-1,0-0,外围赛,Qualifier,80_特立尼达和多巴哥,Trinidad   Tobago,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,负
