赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1410086.0,1366.0,2017/07/05 08:30,8026.0,7293.0,0-0,0-0,国际友谊,INT FRL,175_圣路西亚,St. Lucia,168_多米尼克,Dominica,0.0,0.0,,,,,平
1406594.0,41.0,2017/07/01 08:30,7296.0,8026.0,2-0,1-0,球会友谊,INT CF,159_格瑞那达,Grenada,175_圣路西亚,St. Lucia,0.0,0.0,,,,,负
1127531.0,1366.0,2015/05/17 05:30,8026.0,7296.0,0-2,0-1,国际友谊,INT FRL,175_圣路西亚,St. Lucia,159_格瑞那达,Grenada,1.0,0.0,,,,,负
1127530.0,1366.0,2015/05/15 08:00,8026.0,1494.0,1-2,1-0,国际友谊,INT FRL,175_圣路西亚,St. Lucia,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,负
1127195.0,1366.0,2015/05/13 07:45,8026.0,7293.0,1-1,1-0,国际友谊,INT FRL,175_圣路西亚,St. Lucia,168_多米尼克,Dominica,0.0,0.0,,,,,平
1109710.0,41.0,2015/03/23 08:30,8029.0,8026.0,2-0,1-0,球会友谊,INT CF,164_圭亚那,Guyana,175_圣路西亚,St. Lucia,0.0,0.0,,,,,负
1064640.0,188.0,2014/10/13 04:00,8026.0,7538.0,2-3,0-1,美加杯,CGC CZ,175_圣路西亚,St. Lucia,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,负
1064639.0,188.0,2014/10/11 08:15,912.0,8026.0,2-0,1-0,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,175_圣路西亚,St. Lucia,0.0,0.0,,,,,负
1064636.0,188.0,2014/10/09 06:05,8028.0,8026.0,2-1,0-1,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,175_圣路西亚,St. Lucia,0.0,0.0,,,,,负
1053728.0,188.0,2014/09/08 05:30,8026.0,7293.0,2-1,1-0,美加杯,CGC CZ,175_圣路西亚,St. Lucia,168_多米尼克,Dominica,0.0,0.0,,,,,胜
1053727.0,188.0,2014/09/06 05:30,8029.0,8026.0,0-2,0-1,美加杯,CGC CZ,164_圭亚那,Guyana,175_圣路西亚,St. Lucia,0.0,0.0,,,,,胜
1053725.0,188.0,2014/09/04 08:30,821.0,8026.0,0-0,0-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,175_圣路西亚,St. Lucia,0.0,0.0,,,,,平
981119.0,41.0,2014/05/05 05:00,8026.0,1494.0,0-0,0-0,球会友谊,INT CF,175_圣路西亚,St. Lucia,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,平
980303.0,41.0,2014/05/03 05:00,7296.0,8026.0,0-1,0-0,球会友谊,INT CF,159_格瑞那达,Grenada,175_圣路西亚,St. Lucia,0.0,0.0,,,,,胜
980112.0,1366.0,2014/05/01 07:00,7293.0,8026.0,0-2,0-2,国际友谊,INT FRL,168_多米尼克,Dominica,175_圣路西亚,St. Lucia,0.0,0.0,,,,,胜
963599.0,1366.0,2014/03/06 06:00,8026.0,799.0,0-5,0-3,国际友谊,INT FRL,175_圣路西亚,St. Lucia,55_牙买加,Jamaica,0.0,0.0,,,,,负
939754.0,41.0,2013/12/02 06:15,7293.0,8026.0,1-0,0-0,球会友谊,INT CF,168_多米尼克,Dominica,175_圣路西亚,St. Lucia,0.0,0.0,,,,,负
939740.0,41.0,2013/12/01 06:15,7293.0,8026.0,0-1,0-0,球会友谊,INT CF,168_多米尼克,Dominica,175_圣路西亚,St. Lucia,1.0,0.0,,,,,胜
841038.0,41.0,2013/04/24 08:00,7296.0,8026.0,2-1,0-1,球会友谊,INT CF,159_格瑞那达,Grenada,175_圣路西亚,St. Lucia,0.0,0.0,,,,,负
840756.0,41.0,2013/04/22 08:00,1494.0,8026.0,0-2,0-1,球会友谊,INT CF,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,175_圣路西亚,St. Lucia,0.0,0.0,,,,,胜
795771.0,188.0,2012/10/26 08:30,8026.0,8029.0,0-3,0-3,美加杯,CGC CZ,175_圣路西亚,St. Lucia,164_圭亚那,Guyana,0.0,0.0,,,,,负
795769.0,188.0,2012/10/24 08:30,8026.0,1494.0,1-0,0-0,美加杯,CGC CZ,175_圣路西亚,St. Lucia,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,胜
795188.0,188.0,2012/10/22 07:30,8026.0,17976.0,5-1,2-0,美加杯,CGC CZ,175_圣路西亚,St. Lucia,84_库拉索,Curacao,0.0,0.0,,,,,胜
651619.0,657.0,2011/11/19 21:00,6612.0,8026.0,5-1,0-0,马耳他杯,MAL Cup,220_弱鸡,Pieta Hotspurs,175_圣路西亚,St. Lucia,0.0,0.0,,,,,负
646971.0,653.0,2011/11/15 08:00,7492.0,8026.0,3-0,1-0,北美预选,WCPCA,166_波多黎各,Puerto Rico,175_圣路西亚,St. Lucia,0.0,0.0,,,,小,负
646968.0,653.0,2011/11/12 08:00,8026.0,7492.0,0-4,0-2,北美预选,WCPCA,175_圣路西亚,St. Lucia,166_波多黎各,Puerto Rico,1.0,1.0,,,,,负
640267.0,653.0,2011/10/12 08:00,821.0,8026.0,1-1,0-0,北美预选,WCPCA,110_圣基茨和尼维斯,St. Kitts and Nevis,175_圣路西亚,St. Lucia,0.0,0.0,,,,,平
