赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1527625.0,1366.0,2018/04/01 20:45,889.0,7818.0,7-0,5-0,国际友谊,INT FRL,175_马来西亚,Malaysia,188_不丹,Bhutan,0.0,0.0,,,,,胜
1371522.0,95.0,2018/03/27 23:00,897.0,889.0,2-1,1-0,亚洲杯,AFC,84_黎巴嫩,Lebanon,175_马来西亚,Malaysia,0.0,0.0,,两球|2,赢,走,负
1520449.0,1366.0,2018/03/22 20:45,889.0,5768.0,2-2,1-1,国际友谊,INT FRL,175_马来西亚,Malaysia,189_蒙古,Mongolia,0.0,0.0,,两球|2,输,大,平
1371519.0,95.0,2017/11/13 20:00,889.0,876.0,1-4,0-3,亚洲杯,AFC,175_马来西亚,Malaysia,119_朝鲜,Korea DPR,0.0,0.0,,受让球半/两球|-1.5/-2,输,大,负
1371511.0,95.0,2017/11/10 21:00,876.0,889.0,4-1,2-0,亚洲杯,AFC,119_朝鲜,Korea DPR,175_马来西亚,Malaysia,0.0,0.0,,球半|1.5,输,大,负
1371513.0,95.0,2017/10/10 20:00,888.0,889.0,2-0,1-0,亚洲杯,AFC,144_中国香港,Hong Kong,175_马来西亚,Malaysia,0.0,1.0,,平手/半球|0/0.5,输,小,负
1371517.0,95.0,2017/09/05 20:45,889.0,888.0,1-1,0-0,亚洲杯,AFC,175_马来西亚,Malaysia,144_中国香港,Hong Kong,2.0,0.0,,半球|0.5,输,小,平
1449132.0,1366.0,2017/08/29 17:30,1563.0,889.0,1-0,0-0,国际友谊,INT FRL,140_缅甸联邦,Myanmar,175_马来西亚,Malaysia,0.0,0.0,,,,,负
1449127.0,1366.0,2017/08/22 20:45,889.0,899.0,1-2,0-0,国际友谊,INT FRL,175_马来西亚,Malaysia,76_叙利亚,Syrian,0.0,0.0,,受让半球|-0.5,输,大,负
1371515.0,95.0,2017/06/13 21:45,889.0,897.0,1-2,1-0,亚洲杯,AFC,175_马来西亚,Malaysia,84_黎巴嫩,Lebanon,0.0,0.0,,受让半球|-0.5,输,大,负
1371287.0,1366.0,2017/03/22 19:30,1562.0,889.0,0-0,0-0,国际友谊,INT FRL,123_菲律宾,Philippines,175_马来西亚,Malaysia,0.0,0.0,,半球|0.5,赢,小,平
1328483.0,1124.0,2016/11/26 19:30,1563.0,889.0,1-0,0-0,东南锦,AFF Cup,140_缅甸联邦,Myanmar,175_马来西亚,Malaysia,0.0,0.0,,平手|0,输,小,负
1328486.0,1124.0,2016/11/23 16:30,889.0,883.0,0-1,0-0,东南锦,AFF Cup,175_马来西亚,Malaysia,112_越南,Vietnam,0.0,0.0,,受让一球|-1,走,小,负
1328488.0,1124.0,2016/11/20 16:30,889.0,1565.0,3-2,1-1,东南锦,AFF Cup,175_马来西亚,Malaysia,172_柬埔寨,Cambodia,0.0,0.0,,一球|1,走,大,胜
1329938.0,1366.0,2016/11/14 15:05,889.0,8031.0,2-1,1-1,国际友谊,INT FRL,175_马来西亚,Malaysia,158_巴布亚新几内亚,Papua New Guinea,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
