赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502220.0,1864.0,2018/11/21 03:45,5764.0,758.0,,,欧国联,UEFA  NL,178_科索沃,Kosovo,118_阿塞拜疆,Azerbaijan,0.0,0.0,,,,,
1502218.0,1864.0,2018/11/18 01:00,755.0,5764.0,,,欧国联,UEFA  NL,185_马耳他,Malta,178_科索沃,Kosovo,0.0,0.0,,,,,
1502216.0,1864.0,2018/10/14 23:59,754.0,5764.0,,,欧国联,UEFA  NL,97_法罗群岛,Faroe Islands,178_科索沃,Kosovo,0.0,0.0,,,,,
1502214.0,1864.0,2018/10/12 02:45,5764.0,755.0,,,欧国联,UEFA  NL,178_科索沃,Kosovo,185_马耳他,Malta,0.0,0.0,,,,,
1502212.0,1864.0,2018/09/11 02:45,5764.0,754.0,,,欧国联,UEFA  NL,178_科索沃,Kosovo,97_法罗群岛,Faroe Islands,0.0,0.0,,,,,
1502209.0,1864.0,2018/09/07 23:59,758.0,5764.0,,,欧国联,UEFA  NL,118_阿塞拜疆,Azerbaijan,178_科索沃,Kosovo,0.0,0.0,,,,,
1545725.0,1366.0,2018/05/30 02:00,761.0,5764.0,0-3,0-1,国际友谊,INT FRL,60_阿尔巴尼亚,Albania,178_科索沃,Kosovo,0.0,0.0,,半球|0.5,赢,大,胜
1521978.0,1366.0,2018/03/27 23:59,791.0,5764.0,0-2,0-0,国际友谊,INT FRL,44_布基纳法索,Burkina Faso,178_科索沃,Kosovo,1.0,0.0,,,,,胜
1521862.0,1366.0,2018/03/25 02:00,5764.0,5295.0,1-0,0-0,国际友谊,INT FRL,178_科索沃,Kosovo,109_马达加斯加,Madagascar,0.0,0.0,,,,,胜
1477400.0,1366.0,2017/11/14 02:30,5764.0,631.0,4-3,2-2,国际友谊,INT FRL,178_科索沃,Kosovo,131_拉脱维亚,Latvia,0.0,0.0,,平手|0,赢,大,胜
1311356.0,650.0,2017/10/10 02:45,756.0,5764.0,2-0,1-0,欧洲预选,WCPEU,20_冰岛,Iceland,178_科索沃,Kosovo,0.0,0.0,,两球半|2.5,赢,小,负
1311357.0,650.0,2017/10/07 02:45,5764.0,634.0,0-2,0-0,欧洲预选,WCPEU,178_科索沃,Kosovo,35_乌克兰,Ukraine,0.0,0.0,,受让两球/两球半|-2/-2.5,赢,小,负
1311358.0,650.0,2017/09/06 02:45,5764.0,736.0,0-1,0-0,欧洲预选,WCPEU,178_科索沃,Kosovo,68_芬兰,Finland,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1311359.0,650.0,2017/09/03 20:30,768.0,5764.0,1-0,0-0,欧洲预选,WCPEU,15_克罗地亚,Croatia,178_科索沃,Kosovo,0.0,0.0,,三球半|3.5,赢,小,负
1311360.0,650.0,2017/06/12 02:45,5764.0,762.0,1-4,1-2,欧洲预选,WCPEU,178_科索沃,Kosovo,41_土耳其,Turkey,1.0,0.0,,受让球半/两球|-1.5/-2,输,大,负
1311361.0,650.0,2017/03/25 03:45,5764.0,756.0,1-2,0-2,欧洲预选,WCPEU,178_科索沃,Kosovo,20_冰岛,Iceland,0.0,0.0,,受让一球/球半|-1/-1.5,赢,大,负
1311362.0,650.0,2016/11/13 01:00,762.0,5764.0,2-0,0-0,欧洲预选,WCPEU,41_土耳其,Turkey,178_科索沃,Kosovo,0.0,0.0,,两球/两球半|2/2.5,赢,小,负
1311363.0,650.0,2016/10/09 23:59,634.0,5764.0,3-0,1-0,欧洲预选,WCPEU,35_乌克兰,Ukraine,178_科索沃,Kosovo,0.0,0.0,,球半|1.5,输,大,负
1311364.0,650.0,2016/10/07 02:45,5764.0,768.0,0-6,0-3,欧洲预选,WCPEU,178_科索沃,Kosovo,15_克罗地亚,Croatia,0.0,0.0,,受让一球|-1,输,大,负
1303689.0,650.0,2016/09/06 02:45,736.0,5764.0,1-1,1-0,欧洲预选,WCPEU,68_芬兰,Finland,178_科索沃,Kosovo,0.0,0.0,,一球|1,赢,小,平
1244273.0,1366.0,2016/06/04 02:00,5764.0,754.0,2-0,1-0,国际友谊,INT FRL,178_科索沃,Kosovo,97_法罗群岛,Faroe Islands,1.0,1.0,,半球/一球|0.5/1,赢,小,胜
1197792.0,41.0,2015/11/13 21:10,5764.0,761.0,2-2,0-0,球会友谊,INT CF,178_科索沃,Kosovo,60_阿尔巴尼亚,Albania,0.0,0.0,,,,,平
1111057.0,41.0,2015/03/28 01:30,132.0,5764.0,2-0,1-0,球会友谊,INT CF,220_弱鸡,Werder Bremen,178_科索沃,Kosovo,0.0,0.0,,半球/一球|0.5/1,输,小,负
984635.0,1366.0,2014/05/25 23:00,5764.0,815.0,1-3,1-1,国际友谊,INT FRL,178_科索沃,Kosovo,24_塞内加尔,Senegal,0.0,0.0,,,,,负
983901.0,1366.0,2014/05/21 23:59,5764.0,762.0,1-6,1-2,国际友谊,INT FRL,178_科索沃,Kosovo,41_土耳其,Turkey,0.0,0.0,,受让两球|-2,输,大,负
963587.0,1366.0,2014/03/05 22:00,5764.0,909.0,0-0,0-0,国际友谊,INT FRL,178_科索沃,Kosovo,87_海地,Haiti,0.0,0.0,,,,,平
400123.0,41.0,2010/06/11 01:00,424.0,5764.0,4-4,1-3,球会友谊,INT CF,220_弱鸡,Halmstads,178_科索沃,Kosovo,0.0,0.0,,,,大,平
293977.0,41.0,2009/06/25 01:00,426.0,5764.0,2-1,1-1,球会友谊,INT CF,220_弱鸡,Kalmar,178_科索沃,Kosovo,0.0,0.0,,,,小,负
135398.0,41.0,2007/06/15 22:30,5764.0,891.0,1-0,0-0,球会友谊,INT CF,178_科索沃,Kosovo,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,,,,胜
