赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1523622.0,1366.0,2018/03/24 21:45,802.0,18477.0,3-1,2-0,国际友谊,INT FRL,73_乌干达,Uganda,179_圣多美与普林西比,Sao Tome   Principe,0.0,0.0,,,,,负
1380963.0,1052.0,2017/08/19 22:30,793.0,18477.0,2-0,0-0,非国锦标,CAF SC,45_喀麦隆,Cameroon,179_圣多美与普林西比,Sao Tome   Principe,0.0,0.0,,,,,负
1380958.0,1052.0,2017/08/12 23:00,18477.0,793.0,0-2,0-1,非国锦标,CAF SC,179_圣多美与普林西比,Sao Tome   Principe,45_喀麦隆,Cameroon,0.0,0.0,,,,,负
1371443.0,93.0,2017/03/26 19:30,5295.0,18477.0,3-2,2-1,非洲杯,CAF NC,109_马达加斯加,Madagascar,179_圣多美与普林西比,Sao Tome   Principe,0.0,0.0,,,,,负
1371440.0,93.0,2017/03/22 23:30,18477.0,5295.0,0-1,0-0,非洲杯,CAF NC,179_圣多美与普林西比,Sao Tome   Principe,109_马达加斯加,Madagascar,0.0,0.0,,,,,负
1129653.0,93.0,2016/09/05 03:00,813.0,18477.0,2-0,0-0,非洲杯,CAF NC,39_摩洛哥,Morocco,179_圣多美与普林西比,Sao Tome   Principe,0.0,0.0,,三球半/四球|3.5/4,赢,小,负
1129651.0,93.0,2016/06/04 23:30,18477.0,790.0,1-2,0-0,非洲杯,CAF NC,179_圣多美与普林西比,Sao Tome   Principe,63_佛得角,Cape Verde,0.0,0.0,,,,,负
1129648.0,93.0,2016/03/29 01:00,734.0,18477.0,4-0,0-0,非洲杯,CAF NC,89_利比亚,Libya,179_圣多美与普林西比,Sao Tome   Principe,1.0,0.0,,,,,负
1129647.0,93.0,2016/03/23 23:30,18477.0,734.0,2-1,0-1,非洲杯,CAF NC,179_圣多美与普林西比,Sao Tome   Principe,89_利比亚,Libya,0.0,0.0,,受让一球|-1,赢,大,胜
1190099.0,651.0,2015/10/11 21:00,4637.0,18477.0,3-0,1-0,非洲预选,WCPAF,137_埃塞俄比亚,Ethiopia,179_圣多美与普林西比,Sao Tome   Principe,0.0,0.0,,,,,负
1190117.0,651.0,2015/10/08 23:00,18477.0,4637.0,1-0,0-0,非洲预选,WCPAF,179_圣多美与普林西比,Sao Tome   Principe,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,胜
1129645.0,93.0,2015/09/05 23:30,18477.0,813.0,0-3,0-3,非洲杯,CAF NC,179_圣多美与普林西比,Sao Tome   Principe,39_摩洛哥,Morocco,0.0,0.0,,受让球半/两球|-1.5/-2,输,大,负
1129642.0,93.0,2015/06/14 01:00,790.0,18477.0,7-1,4-0,非洲杯,CAF NC,63_佛得角,Cape Verde,179_圣多美与普林西比,Sao Tome   Principe,0.0,0.0,,两球|2,输,大,负
983313.0,93.0,2014/06/01 23:00,808.0,18477.0,2-0,1-0,非洲杯,CAF NC,81_贝宁,Benin,179_圣多美与普林西比,Sao Tome   Principe,0.0,0.0,,两球/两球半|2/2.5,赢,小,负
983299.0,93.0,2014/05/17 23:00,18477.0,808.0,0-2,0-0,非洲杯,CAF NC,179_圣多美与普林西比,Sao Tome   Principe,81_贝宁,Benin,0.0,0.0,,,,,负
676727.0,93.0,2012/06/17 00:30,5290.0,18477.0,4-2,4-1,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,179_圣多美与普林西比,Sao Tome   Principe,0.0,0.0,,,,大,负
676714.0,93.0,2012/02/29 23:00,18477.0,5290.0,2-1,0-0,非洲杯,CAF NC,179_圣多美与普林西比,Sao Tome   Principe,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,大,胜
666263.0,93.0,2012/01/22 21:00,5296.0,18477.0,0-0,0-0,非洲杯,CAF NC,145_莱索托,Lesotho,179_圣多美与普林西比,Sao Tome   Principe,0.0,0.0,,,,,平
661904.0,93.0,2012/01/15 23:00,18477.0,5296.0,1-0,1-0,非洲杯,CAF NC,179_圣多美与普林西比,Sao Tome   Principe,145_莱索托,Lesotho,0.0,0.0,,,,,胜
646759.0,651.0,2011/11/15 22:30,806.0,18477.0,1-1,0-0,非洲预选,WCPAF,96_刚果,Congo,179_圣多美与普林西比,Sao Tome   Principe,0.0,0.0,,,,,平
646755.0,651.0,2011/11/11 23:00,18477.0,806.0,0-5,0-3,非洲预选,WCPAF,179_圣多美与普林西比,Sao Tome   Principe,96_刚果,Congo,0.0,0.0,,,,,负
