赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1482858.0,75.0,2018/06/27 22:00,819.0,644.0,,,世界杯,World Cup,17_墨西哥,Mexico,18_瑞典,Sweden,0.0,0.0,,,,,
1482856.0,75.0,2018/06/23 23:00,898.0,819.0,1-2,0-1,世界杯,World Cup,59_韩国,Korea Republic,17_墨西哥,Mexico,0.0,0.0,,受让半球|-0.5,赢,大,胜
1482853.0,75.0,2018/06/17 23:00,650.0,819.0,0-1,0-1,世界杯,World Cup,1_德国,Germany,17_墨西哥,Mexico,0.0,0.0,,一球|1,赢,小,胜
1548416.0,1366.0,2018/06/10 02:00,638.0,819.0,2-0,0-0,国际友谊,INT FRL,12_丹麦,Denmark,17_墨西哥,Mexico,0.0,0.0,,平手/半球|0/0.5,输,小,负
1543770.0,1366.0,2018/06/03 08:00,819.0,641.0,1-0,1-0,国际友谊,INT FRL,17_墨西哥,Mexico,32_苏格兰,Scotland,0.0,0.0,,球半|1.5,输,小,胜
1543733.0,1366.0,2018/05/29 09:00,819.0,7384.0,0-0,0-0,国际友谊,INT FRL,17_墨西哥,Mexico,19_威尔士,Wales,0.0,0.0,,一球|1,输,小,平
1521510.0,1366.0,2018/03/28 10:00,819.0,768.0,0-1,0-0,国际友谊,INT FRL,17_墨西哥,Mexico,15_克罗地亚,Croatia,0.0,0.0,,半球|0.5,输,小,负
1521053.0,1366.0,2018/03/24 10:30,819.0,756.0,3-0,1-0,国际友谊,INT FRL,17_墨西哥,Mexico,20_冰岛,Iceland,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1495979.0,1366.0,2018/02/01 10:00,819.0,782.0,1-0,0-0,国际友谊,INT FRL,17_墨西哥,Mexico,38_波黑,Bosnia-Herzegovina,0.0,1.0,,一球|1,走,小,胜
1477401.0,1366.0,2017/11/14 03:45,637.0,819.0,0-1,0-1,国际友谊,INT FRL,7_波兰,Poland,17_墨西哥,Mexico,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1476825.0,1366.0,2017/11/11 03:45,645.0,819.0,3-3,1-1,国际友谊,INT FRL,5_比利时,Belgium,17_墨西哥,Mexico,0.0,0.0,,一球|1,赢,大,平
1327140.0,653.0,2017/10/11 08:00,794.0,819.0,3-2,1-2,北美预选,WCPCA,67_洪都拉斯,Honduras,17_墨西哥,Mexico,0.0,0.0,,平手|0,输,大,负
1327143.0,653.0,2017/10/07 09:40,819.0,912.0,3-1,0-0,北美预选,WCPCA,17_墨西哥,Mexico,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,两球|2,走,大,胜
1327147.0,653.0,2017/09/06 10:05,914.0,819.0,1-1,0-1,北美预选,WCPCA,27_哥斯达黎加,Costa Rica,17_墨西哥,Mexico,0.0,0.0,,平手/半球|0/0.5,赢,走,平
1327149.0,653.0,2017/09/02 09:30,819.0,798.0,1-0,0-0,北美预选,WCPCA,17_墨西哥,Mexico,53_巴拿马,Panama,0.0,0.0,,一球/球半|1/1.5,输,小,胜
1424394.0,232.0,2017/07/24 09:00,819.0,799.0,0-1,0-0,美金杯,CGC,17_墨西哥,Mexico,55_牙买加,Jamaica,0.0,0.0,,一球|1,输,小,负
1420194.0,232.0,2017/07/21 10:30,819.0,794.0,1-0,1-0,美金杯,CGC,17_墨西哥,Mexico,67_洪都拉斯,Honduras,0.0,0.0,,一球|1,走,小,胜
1406493.0,232.0,2017/07/17 08:35,17976.0,819.0,0-2,0-1,美金杯,CGC,84_库拉索,Curacao,17_墨西哥,Mexico,0.0,0.0,,受让两球/两球半|-2/-2.5,输,小,胜
1406491.0,232.0,2017/07/14 10:30,819.0,799.0,0-0,0-0,美金杯,CGC,17_墨西哥,Mexico,55_牙买加,Jamaica,0.0,0.0,,球半|1.5,输,小,平
1406489.0,232.0,2017/07/10 09:30,819.0,796.0,3-1,2-1,美金杯,CGC,17_墨西哥,Mexico,90_萨尔瓦多,El Salvador,0.0,0.0,,两球|2,走,大,胜
1406551.0,88.0,2017/07/02 20:00,765.0,819.0,1-1,0-0,洲际杯,FICC,3_葡萄牙,Portugal,17_墨西哥,Mexico,1.0,1.0,"90,1-1;;1,2-1;;1",平手/半球|0/0.5,赢,小,平
1407339.0,1366.0,2017/07/02 08:30,819.0,776.0,2-1,2-1,国际友谊,INT FRL,17_墨西哥,Mexico,31_巴拉圭,Paraguay,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1404060.0,88.0,2017/06/30 02:00,650.0,819.0,4-1,2-0,洲际杯,FICC,1_德国,Germany,17_墨西哥,Mexico,0.0,0.0,,平手/半球|0/0.5,输,大,负
1398026.0,1366.0,2017/06/29 09:05,819.0,810.0,1-0,1-0,国际友谊,INT FRL,17_墨西哥,Mexico,50_加纳,Ghana,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1361097.0,88.0,2017/06/24 23:00,746.0,819.0,1-2,1-1,洲际杯,FICC,62_俄罗斯,Russia,17_墨西哥,Mexico,1.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1361096.0,88.0,2017/06/22 02:00,819.0,2363.0,2-1,0-1,洲际杯,FICC,17_墨西哥,Mexico,120_新西兰,New Zealand,0.0,0.0,,两球/两球半|2/2.5,输,走,胜
1361094.0,88.0,2017/06/18 23:00,765.0,819.0,2-2,1-1,洲际杯,FICC,3_葡萄牙,Portugal,17_墨西哥,Mexico,0.0,0.0,,半球|0.5,赢,大,平
1327153.0,653.0,2017/06/12 08:30,819.0,797.0,1-1,1-1,北美预选,WCPCA,17_墨西哥,Mexico,25_美国,USA,0.0,0.0,,半球/一球|0.5/1,输,小,平
1327155.0,653.0,2017/06/09 10:00,819.0,794.0,3-0,1-0,北美预选,WCPCA,17_墨西哥,Mexico,67_洪都拉斯,Honduras,0.0,0.0,,球半|1.5,赢,大,胜
1389647.0,1366.0,2017/06/02 08:30,819.0,630.0,3-1,2-0,国际友谊,INT FRL,17_墨西哥,Mexico,32_爱尔兰,Ireland,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1389493.0,1366.0,2017/05/28 07:30,819.0,768.0,1-2,0-2,国际友谊,INT FRL,17_墨西哥,Mexico,15_克罗地亚,Croatia,0.0,1.0,,球半|1.5,输,大,负
1327159.0,653.0,2017/03/29 07:00,912.0,819.0,0-1,0-0,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,17_墨西哥,Mexico,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1327162.0,653.0,2017/03/25 09:50,819.0,914.0,2-0,2-0,北美预选,WCPCA,17_墨西哥,Mexico,27_哥斯达黎加,Costa Rica,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1354403.0,1366.0,2017/02/09 11:10,819.0,756.0,1-0,1-0,国际友谊,INT FRL,17_墨西哥,Mexico,20_冰岛,Iceland,0.0,0.0,,一球/球半|1/1.5,输,小,胜
