赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1229848.0,188.0,2016/03/27 08:00,7300.0,821.0,0-2,0-2,美加杯,CGC CZ,180_阿鲁巴,Aruba,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,负
1229847.0,188.0,2016/03/24 07:30,8028.0,7300.0,2-1,2-1,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,180_阿鲁巴,Aruba,0.0,0.0,,,,,负
1183614.0,653.0,2015/09/09 08:00,7300.0,1494.0,2-1,1-0,北美预选,WCPCA,180_阿鲁巴,Aruba,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,受让半球|-0.5,赢,大,胜
1183621.0,653.0,2015/09/05 03:30,1494.0,7300.0,2-0,0-0,北美预选,WCPCA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,180_阿鲁巴,Aruba,0.0,0.0,,半球/一球|0.5/1,输,小,负
1129427.0,653.0,2015/06/15 07:30,1992.0,7300.0,1-0,0-0,北美预选,WCPCA,155_巴巴多斯,Barbados,180_阿鲁巴,Aruba,0.0,0.0,,半球|0.5,输,小,负
1129417.0,653.0,2015/06/11 08:00,7300.0,1992.0,0-2,0-2,北美预选,WCPCA,180_阿鲁巴,Aruba,155_巴巴多斯,Barbados,0.0,0.0,,平手/半球|0/0.5,输,小,负
1088139.0,1366.0,2015/02/02 05:00,8027.0,7300.0,1-0,0-0,国际友谊,INT FRL,160_苏利南共和国,Suriname,180_阿鲁巴,Aruba,0.0,0.0,,,,,负
1085121.0,41.0,2015/01/31 06:00,17976.0,7300.0,0-0,0-0,球会友谊,INT CF,84_库拉索,Curacao,180_阿鲁巴,Aruba,0.0,0.0,"90,0-0;;;3-5;2",,,,平
984968.0,188.0,2014/06/04 08:10,7300.0,20412.0,0-2,0-0,美加杯,CGC CZ,180_阿鲁巴,Aruba,220_弱鸡,French Guiana,0.0,0.0,,,,,负
984966.0,188.0,2014/06/02 08:30,7300.0,7302.0,7-0,3-0,美加杯,CGC CZ,180_阿鲁巴,Aruba,205_英属维津群岛,British Virgin Islands,1.0,2.0,,,,,胜
984964.0,188.0,2014/05/31 08:30,7300.0,7298.0,1-0,1-0,美加杯,CGC CZ,180_阿鲁巴,Aruba,202_特克斯和凯科斯群岛,Turks Caicos Islands,0.0,0.0,,,,,胜
969950.0,41.0,2014/03/31 08:00,7300.0,5769.0,2-0,1-0,球会友谊,INT CF,180_阿鲁巴,Aruba,192_关岛,Guam Island,0.0,3.0,,,,,胜
969581.0,41.0,2014/03/28 08:00,7300.0,5769.0,2-2,0-0,球会友谊,INT CF,180_阿鲁巴,Aruba,192_关岛,Guam Island,0.0,0.0,,,,,平
938450.0,41.0,2013/11/17 07:00,7300.0,19782.0,1-2,1-0,球会友谊,INT CF,180_阿鲁巴,Aruba,220_弱鸡,Bonaire,0.0,0.0,,,,,负
777680.0,188.0,2012/09/28 08:00,1992.0,7300.0,2-1,1-1,美加杯,CGC CZ,155_巴巴多斯,Barbados,180_阿鲁巴,Aruba,0.0,0.0,,,,,负
777677.0,188.0,2012/09/26 06:00,7293.0,7300.0,3-2,2-1,美加杯,CGC CZ,168_多米尼克,Dominica,180_阿鲁巴,Aruba,0.0,0.0,,,,,负
787640.0,188.0,2012/09/24 06:00,7300.0,7538.0,2-2,2-1,美加杯,CGC CZ,180_阿鲁巴,Aruba,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,平
777675.0,188.0,2012/09/24 06:00,7300.0,7538.0,2-2,2-1,美加杯,CGC CZ,180_阿鲁巴,Aruba,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,平
727943.0,41.0,2012/07/16 07:30,7300.0,8027.0,1-0,1-0,球会友谊,INT CF,180_阿鲁巴,Aruba,160_苏利南共和国,Suriname,0.0,1.0,,,,,胜
724445.0,41.0,2012/07/14 09:15,7300.0,17976.0,3-2,2-0,球会友谊,INT CF,180_阿鲁巴,Aruba,84_库拉索,Curacao,1.0,0.0,,,,,胜
655199.0,41.0,2011/12/02 08:00,8027.0,7300.0,0-0,0-0,球会友谊,INT CF,160_苏利南共和国,Suriname,180_阿鲁巴,Aruba,0.0,0.0,"90,0-0;;;4-5;2",,,,平
558684.0,653.0,2011/07/13 03:30,8026.0,7300.0,4-2,2-1,北美预选,WCPCA,175_圣路西亚,St. Lucia,180_阿鲁巴,Aruba,0.0,0.0,,,,,负
558688.0,653.0,2011/07/09 08:00,7300.0,8026.0,4-2,1-1,北美预选,WCPCA,180_阿鲁巴,Aruba,175_圣路西亚,St. Lucia,0.0,1.0,,,,,胜
185404.0,653.0,2008/03/27 04:15,8028.0,7300.0,1-0,0-0,北美预选,WCPCA,139_安提瓜和巴布达,Antigua   Barbuda,180_阿鲁巴,Aruba,0.0,0.0,,,,,负
177687.0,653.0,2008/02/07 08:00,7300.0,8028.0,0-3,0-3,北美预选,WCPCA,180_阿鲁巴,Aruba,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,负
