赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1524453.0,1366.0,2018/03/26 07:30,5091.0,1991.0,3-3,2-1,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,181_古巴,cuba,0.0,0.0,,,,,平
1523248.0,1366.0,2018/03/23 08:30,5091.0,1991.0,3-1,2-1,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,181_古巴,cuba,0.0,0.0,,,,,负
1318802.0,1366.0,2016/10/08 04:00,1991.0,797.0,0-2,0-0,国际友谊,INT FRL,181_古巴,cuba,25_美国,USA,0.0,0.0,,受让两球/两球半|-2/-2.5,赢,小,负
1229855.0,188.0,2016/03/30 06:30,20412.0,1991.0,3-0,2-0,美加杯,CGC CZ,220_弱鸡,French Guiana,181_古巴,cuba,0.0,0.0,,,,,负
1229853.0,188.0,2016/03/23 04:30,1991.0,5293.0,2-1,1-0,美加杯,CGC CZ,181_古巴,cuba,184_百慕大群岛,Bermuda,0.0,0.0,,,,,胜
1203233.0,1366.0,2016/01/09 09:35,798.0,1991.0,4-0,2-0,国际友谊,INT FRL,53_巴拿马,Panama,181_古巴,cuba,0.0,0.0,,球半/两球|1.5/2,输,大,负
1201854.0,1366.0,2015/12/17 05:05,794.0,1991.0,2-0,1-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,181_古巴,cuba,0.0,0.0,,,,,负
1201545.0,1366.0,2015/12/12 09:00,5091.0,1991.0,1-0,0-0,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,181_古巴,cuba,0.0,0.0,,,,,负
1201435.0,1366.0,2015/12/09 09:00,5091.0,1991.0,5-0,1-0,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,181_古巴,cuba,0.0,0.0,,,,,负
1197902.0,1366.0,2015/11/15 05:00,1991.0,1333.0,1-0,0-0,国际友谊,INT FRL,181_古巴,cuba,220_弱鸡,Santos Laguna,0.0,0.0,,受让球半|-1.5,赢,小,胜
1190527.0,1366.0,2015/09/26 02:00,1991.0,5091.0,1-1,0-0,国际友谊,INT FRL,181_古巴,cuba,115_尼加拉瓜,Nicaragua,0.0,0.0,,,,,平
1190009.0,1366.0,2015/09/24 05:00,1991.0,5091.0,0-1,0-0,国际友谊,INT FRL,181_古巴,cuba,115_尼加拉瓜,Nicaragua,0.0,0.0,,,,,负
1149814.0,232.0,2015/07/19 05:00,797.0,1991.0,6-0,4-0,美金杯,CGC,25_美国,USA,181_古巴,cuba,0.0,0.0,,两球半/三球|2.5/3,输,大,负
1129126.0,232.0,2015/07/16 06:00,1991.0,801.0,1-0,0-0,美金杯,CGC,181_古巴,cuba,128_危地马拉,Guatemala,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,胜
1129125.0,232.0,2015/07/13 06:30,912.0,1991.0,2-0,2-0,美金杯,CGC,80_特立尼达和多巴哥,Trinidad   Tobago,181_古巴,cuba,0.0,0.0,,球半/两球|1.5/2,输,小,负
1129123.0,232.0,2015/07/10 09:45,819.0,1991.0,6-0,4-0,美金杯,CGC,17_墨西哥,Mexico,181_古巴,cuba,0.0,0.0,,两球半|2.5,输,大,负
1129423.0,653.0,2015/06/15 04:00,1991.0,17976.0,1-1,1-1,北美预选,WCPCA,181_古巴,cuba,84_库拉索,Curacao,1.0,0.0,,平手|0,走,小,平
1129416.0,653.0,2015/06/11 08:00,17976.0,1991.0,0-0,0-0,北美预选,WCPCA,84_库拉索,Curacao,181_古巴,cuba,1.0,0.0,,受让半球|-0.5,输,小,平
