赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502232.0,1864.0,2018/11/20 03:45,764.0,748.0,,,欧国联,UEFA  NL,182_列支敦士登,Liechtenstein,90_阿美尼亚,Armenia,0.0,0.0,,,,,
1502230.0,1864.0,2018/11/17 03:45,764.0,770.0,,,欧国联,UEFA  NL,182_列支敦士登,Liechtenstein,73_马其顿,FYR Macedonia,0.0,0.0,,,,,
1502228.0,1864.0,2018/10/17 02:45,5877.0,764.0,,,欧国联,UEFA  NL,220_弱鸡,Gibraltar,182_列支敦士登,Liechtenstein,0.0,0.0,,,,,
1502226.0,1864.0,2018/10/14 02:45,770.0,764.0,,,欧国联,UEFA  NL,73_马其顿,FYR Macedonia,182_列支敦士登,Liechtenstein,0.0,0.0,,,,,
1502224.0,1864.0,2018/09/10 02:45,764.0,5877.0,,,欧国联,UEFA  NL,182_列支敦士登,Liechtenstein,220_弱鸡,Gibraltar,0.0,0.0,,,,,
1502222.0,1864.0,2018/09/07 02:45,748.0,764.0,,,欧国联,UEFA  NL,90_阿美尼亚,Armenia,182_列支敦士登,Liechtenstein,0.0,0.0,,,,,
1521479.0,1366.0,2018/03/25 23:59,754.0,764.0,3-0,1-0,国际友谊,INT FRL,97_法罗群岛,Faroe Islands,182_列支敦士登,Liechtenstein,0.0,0.0,,半球/一球|0.5/1,输,大,负
1521954.0,1366.0,2018/03/22 01:00,894.0,764.0,1-0,1-0,国际友谊,INT FRL,136_安道尔,Andorra,182_列支敦士登,Liechtenstein,0.0,0.0,,受让半球|-0.5,输,小,负
1484484.0,1366.0,2017/12/14 22:30,904.0,764.0,1-2,1-1,国际友谊,INT FRL,103_卡塔尔,Qatar,182_列支敦士登,Liechtenstein,0.0,1.0,,两球|2,赢,小,胜
1198588.0,650.0,2017/10/10 02:45,770.0,764.0,4-0,2-0,欧洲预选,WCPEU,73_马其顿,FYR Macedonia,182_列支敦士登,Liechtenstein,0.0,0.0,,两球/两球半|2/2.5,输,大,负
1198585.0,650.0,2017/10/07 02:45,764.0,760.0,0-1,0-1,欧洲预选,WCPEU,182_列支敦士登,Liechtenstein,99_以色列,Israel,0.0,0.0,,受让两球|-2,赢,小,负
1198582.0,650.0,2017/09/06 02:45,764.0,772.0,0-8,0-4,欧洲预选,WCPEU,182_列支敦士登,Liechtenstein,6_西班牙,Spain,0.0,0.0,,受让四球半/五球|-4.5/-5,输,大,负
1198578.0,650.0,2017/09/02 23:59,761.0,764.0,2-0,0-0,欧洲预选,WCPEU,60_阿尔巴尼亚,Albania,182_列支敦士登,Liechtenstein,0.0,0.0,,两球/两球半|2/2.5,赢,小,负
1198575.0,650.0,2017/06/12 02:45,771.0,764.0,5-0,1-0,欧洲预选,WCPEU,14_意大利,Italy,182_列支敦士登,Liechtenstein,0.0,0.0,,四球半|4.5,输,小,负
1391068.0,1366.0,2017/06/07 23:59,736.0,764.0,1-1,1-0,国际友谊,INT FRL,68_芬兰,Finland,182_列支敦士登,Liechtenstein,0.0,0.0,,两球半/三球|2.5/3,赢,小,平
1198572.0,650.0,2017/03/25 03:45,764.0,770.0,0-3,0-1,欧洲预选,WCPEU,182_列支敦士登,Liechtenstein,73_马其顿,FYR Macedonia,0.0,0.0,,受让一球|-1,输,大,负
1198570.0,650.0,2016/11/13 03:45,764.0,771.0,0-4,0-4,欧洲预选,WCPEU,182_列支敦士登,Liechtenstein,14_意大利,Italy,0.0,0.0,,受让两球半|-2.5,输,大,负
1198566.0,650.0,2016/10/09 23:59,760.0,764.0,2-1,2-0,欧洲预选,WCPEU,99_以色列,Israel,182_列支敦士登,Liechtenstein,0.0,0.0,,两球/两球半|2/2.5,赢,小,负
1198565.0,650.0,2016/10/07 02:45,764.0,761.0,0-2,0-1,欧洲预选,WCPEU,182_列支敦士登,Liechtenstein,60_阿尔巴尼亚,Albania,0.0,0.0,,受让球半/两球|-1.5/-2,输,小,负
1198560.0,650.0,2016/09/06 02:45,772.0,764.0,8-0,1-0,欧洲预选,WCPEU,6_西班牙,Spain,182_列支敦士登,Liechtenstein,0.0,0.0,,四球/四球半|4/4.5,输,大,负
