赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1521976.0,1366.0,2018/03/27 19:00,880.0,3352.0,2-2,2-0,国际友谊,INT FRL,183_老挝,Laos,197_孟加拉国,Bangladesh,0.0,0.0,,,,,平
1521974.0,1366.0,2018/03/21 19:00,880.0,1565.0,0-1,0-0,国际友谊,INT FRL,183_老挝,Laos,172_柬埔寨,Cambodia,0.0,0.0,,,,,负
1481959.0,428.0,2017/12/05 19:00,5288.0,880.0,2-0,2-0,四国赛,INT FRLW,134_中国台北,Chinese Taipei,183_老挝,Laos,0.0,0.0,,半球/一球|0.5/1,输,小,负
1481823.0,428.0,2017/12/03 16:00,880.0,1564.0,2-1,2-0,四国赛,INT FRLW,183_老挝,Laos,191_东帝汶,Timor Leste,0.0,2.0,,一球|1,走,大,胜
1481076.0,428.0,2017/12/01 16:00,880.0,1562.0,1-3,0-1,四国赛,INT FRLW,183_老挝,Laos,123_菲律宾,Philippines,0.0,0.0,,受让两球|-2,走,大,负
1466905.0,1366.0,2017/10/05 20:00,888.0,880.0,4-0,2-0,国际友谊,INT FRL,144_中国香港,Hong Kong,183_老挝,Laos,0.0,0.0,,两球/两球半|2/2.5,输,大,负
1468393.0,41.0,2017/10/02 19:30,3325.0,880.0,3-1,0-0,球会友谊,INT CF,186_中国澳门,Macau of China,183_老挝,Laos,0.0,0.0,,,,,负
1392948.0,1366.0,2017/06/07 21:00,887.0,880.0,4-0,2-0,国际友谊,INT FRL,78_阿联酋,United Arab Emirates,183_老挝,Laos,0.0,0.0,,,,,负
1329982.0,1702.0,2016/11/14 19:30,880.0,3627.0,3-2,1-1,亚足杯,Sub foot cup,183_老挝,Laos,190_文莱,Brunei Darussalam,0.0,0.0,,,,,胜
1329287.0,1702.0,2016/11/12 16:30,6650.0,880.0,1-1,0-1,亚足杯,Sub foot cup,165_尼泊尔,Nepal,183_老挝,Laos,0.0,0.0,"90,1-1;;1,2-2;3-0;1",受让平手/半球|-0/-0.5,输,小,平
1328391.0,1702.0,2016/11/09 19:30,5768.0,880.0,0-3,0-2,亚足杯,Sub foot cup,189_蒙古,Mongolia,183_老挝,Laos,0.0,0.0,,,,,胜
1328294.0,1702.0,2016/11/06 16:30,880.0,3325.0,1-4,1-1,亚足杯,Sub foot cup,183_老挝,Laos,186_中国澳门,Macau of China,0.0,0.0,,半球|0.5,输,大,负
1327252.0,1702.0,2016/11/03 16:30,824.0,880.0,1-2,0-0,亚足杯,Sub foot cup,200_斯里兰卡,Sri Lanka,183_老挝,Laos,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,胜
1323531.0,1124.0,2016/10/21 19:40,880.0,3627.0,4-3,1-1,东南锦,AFF Cup,183_老挝,Laos,190_文莱,Brunei Darussalam,0.0,0.0,,一球/球半|1/1.5,输,大,胜
1323529.0,1124.0,2016/10/18 16:30,1564.0,880.0,1-2,0-1,东南锦,AFF Cup,191_东帝汶,Timor Leste,183_老挝,Laos,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1323165.0,1124.0,2016/10/15 19:30,1565.0,880.0,2-1,1-0,东南锦,AFF Cup,172_柬埔寨,Cambodia,183_老挝,Laos,0.0,0.0,,半球|0.5,输,走,负
1307451.0,95.0,2016/10/11 19:00,880.0,882.0,1-1,0-0,亚洲杯,AFC,183_老挝,Laos,150_马尔代夫,Maldives,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1307448.0,95.0,2016/09/06 23:59,882.0,880.0,4-0,1-0,亚洲杯,AFC,150_马尔代夫,Maldives,183_老挝,Laos,0.0,0.0,,,,,负
1303669.0,1366.0,2016/08/25 00:30,891.0,880.0,4-0,1-0,国际友谊,INT FRL,65_沙特阿拉伯,Saudi Arabia,183_老挝,Laos,0.0,0.0,,,,,负
