赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1524257.0,1366.0,2018/03/26 04:00,1992.0,5293.0,0-0,0-0,国际友谊,INT FRL,155_巴巴多斯,Barbados,184_百慕大群岛,Bermuda,0.0,0.0,,,,,平
1518976.0,1366.0,2018/03/22 07:00,8028.0,5293.0,3-2,1-1,国际友谊,INT FRL,139_安提瓜和巴布达,Antigua   Barbuda,184_百慕大群岛,Bermuda,0.0,0.0,,,,,负
1474510.0,1366.0,2017/10/29 07:00,5293.0,1992.0,2-3,2-0,国际友谊,INT FRL,184_百慕大群岛,Bermuda,155_巴巴多斯,Barbados,0.0,0.0,,,,,负
1393072.0,1366.0,2017/06/11 05:30,7296.0,5293.0,1-2,1-0,国际友谊,INT FRL,159_格瑞那达,Grenada,184_百慕大群岛,Bermuda,0.0,0.0,,,,,胜
1391071.0,1366.0,2017/06/09 04:00,7296.0,5293.0,2-2,1-1,国际友谊,INT FRL,159_格瑞那达,Grenada,184_百慕大群岛,Bermuda,0.0,0.0,,,,,平
1344026.0,1366.0,2017/01/23 03:00,5293.0,795.0,2-4,1-2,国际友谊,INT FRL,184_百慕大群岛,Bermuda,95_加拿大,Canada,0.0,0.0,,,,,负
1244345.0,188.0,2016/06/20 07:00,20412.0,5293.0,3-0,0-0,美加杯,CGC CZ,220_弱鸡,French Guiana,184_百慕大群岛,Bermuda,0.0,0.0,,,,,负
1244346.0,188.0,2016/06/05 08:00,5293.0,7538.0,0-1,0-1,美加杯,CGC CZ,184_百慕大群岛,Bermuda,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,负
1229854.0,188.0,2016/03/27 07:00,5293.0,20412.0,2-1,1-1,美加杯,CGC CZ,184_百慕大群岛,Bermuda,220_弱鸡,French Guiana,0.0,0.0,,,,,胜
1229853.0,188.0,2016/03/23 04:30,1991.0,5293.0,2-1,1-0,美加杯,CGC CZ,181_古巴,cuba,184_百慕大群岛,Bermuda,0.0,0.0,,,,,负
1220007.0,41.0,2016/02/22 08:00,821.0,5293.0,3-0,1-0,球会友谊,INT CF,110_圣基茨和尼维斯,St. Kitts and Nevis,184_百慕大群岛,Bermuda,0.0,0.0,,,,,负
1129428.0,653.0,2015/06/16 06:30,5293.0,801.0,0-1,0-1,北美预选,WCPCA,184_百慕大群岛,Bermuda,128_危地马拉,Guatemala,0.0,0.0,,受让一球|-1,走,小,负
1129422.0,653.0,2015/06/13 10:05,801.0,5293.0,0-0,0-0,北美预选,WCPCA,128_危地马拉,Guatemala,184_百慕大群岛,Bermuda,0.0,0.0,,球半/两球|1.5/2,赢,小,平
1129142.0,1366.0,2015/06/06 06:30,5293.0,7492.0,1-1,1-1,国际友谊,INT FRL,184_百慕大群岛,Bermuda,166_波多黎各,Puerto Rico,0.0,0.0,,,,,平
1110187.0,653.0,2015/03/30 02:00,5293.0,7301.0,3-0,0-0,北美预选,WCPCA,184_百慕大群岛,Bermuda,206_巴哈马,Bahamas,0.0,0.0,,,,,胜
1110377.0,653.0,2015/03/26 07:30,7301.0,5293.0,0-5,0-3,北美预选,WCPCA,206_巴哈马,Bahamas,184_百慕大群岛,Bermuda,1.0,0.0,,,,,胜
1105430.0,41.0,2015/03/09 02:00,5293.0,7296.0,2-0,1-0,球会友谊,INT CF,184_百慕大群岛,Bermuda,159_格瑞那达,Grenada,0.0,0.0,,,,,胜
1104966.0,41.0,2015/03/07 08:30,5293.0,7296.0,2-2,2-1,球会友谊,INT CF,184_百慕大群岛,Bermuda,159_格瑞那达,Grenada,1.0,0.0,,,,,平
777665.0,188.0,2012/09/12 05:00,20449.0,5293.0,0-8,0-2,美加杯,CGC CZ,220_弱鸡,French Saint-Martin,184_百慕大群岛,Bermuda,0.0,0.0,,,,,胜
777664.0,188.0,2012/09/10 07:00,909.0,5293.0,3-1,3-0,美加杯,CGC CZ,87_海地,Haiti,184_百慕大群岛,Bermuda,0.0,0.0,,,,,负
777661.0,188.0,2012/09/08 05:00,5293.0,7492.0,1-2,0-0,美加杯,CGC CZ,184_百慕大群岛,Bermuda,166_波多黎各,Puerto Rico,0.0,0.0,,,,,负
646964.0,653.0,2011/11/15 08:00,1992.0,5293.0,1-2,0-0,北美预选,WCPCA,155_巴巴多斯,Barbados,184_百慕大群岛,Bermuda,0.0,0.0,,,,,胜
647165.0,653.0,2011/11/12 03:00,5293.0,1992.0,2-1,1-1,北美预选,WCPCA,184_百慕大群岛,Bermuda,155_巴巴多斯,Barbados,0.0,1.0,,,,,胜
640265.0,653.0,2011/10/12 07:00,5293.0,8029.0,1-1,0-0,北美预选,WCPCA,184_百慕大群岛,Bermuda,164_圭亚那,Guyana,0.0,0.0,,,,,平
637921.0,653.0,2011/10/08 07:20,5293.0,912.0,2-1,0-0,北美预选,WCPCA,184_百慕大群岛,Bermuda,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,,,,胜
621676.0,653.0,2011/09/07 08:00,8029.0,5293.0,2-1,0-0,北美预选,WCPCA,164_圭亚那,Guyana,184_百慕大群岛,Bermuda,0.0,0.0,,,,,负
619693.0,653.0,2011/09/03 04:00,912.0,5293.0,1-0,1-0,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,184_百慕大群岛,Bermuda,0.0,0.0,,,,,负
207320.0,653.0,2008/06/23 06:30,5293.0,912.0,0-2,0-1,北美预选,WCPCA,184_百慕大群岛,Bermuda,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,,,小,负
207307.0,653.0,2008/06/16 05:30,912.0,5293.0,1-2,1-2,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,184_百慕大群岛,Bermuda,0.0,0.0,,,,小,胜
185414.0,653.0,2008/03/31 08:00,7306.0,5293.0,1-3,0-2,北美预选,WCPCA,202_开曼群岛,Cayman Islands,184_百慕大群岛,Bermuda,0.0,0.0,,,,,胜
177692.0,653.0,2008/02/04 03:00,5293.0,7306.0,1-1,1-0,北美预选,WCPCA,184_百慕大群岛,Bermuda,202_开曼群岛,Cayman Islands,0.0,0.0,,,,,平
142003.0,41.0,2007/07/04 22:00,5877.0,5293.0,2-0,1-0,球会友谊,INT CF,220_弱鸡,Gibraltar,184_百慕大群岛,Bermuda,0.0,0.0,,,,,负
125067.0,41.0,2007/03/26 04:00,5293.0,795.0,0-3,0-0,球会友谊,INT CF,184_百慕大群岛,Bermuda,95_加拿大,Canada,0.0,0.0,,,,,负
