赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502219.0,1864.0,2018/11/21 03:45,755.0,754.0,,,欧国联,UEFA  NL,185_马耳他,Malta,97_法罗群岛,Faroe Islands,0.0,0.0,,,,,
1502218.0,1864.0,2018/11/18 01:00,755.0,5764.0,,,欧国联,UEFA  NL,185_马耳他,Malta,178_科索沃,Kosovo,0.0,0.0,,,,,
1502215.0,1864.0,2018/10/14 23:59,758.0,755.0,,,欧国联,UEFA  NL,118_阿塞拜疆,Azerbaijan,185_马耳他,Malta,0.0,0.0,,,,,
1502214.0,1864.0,2018/10/12 02:45,5764.0,755.0,,,欧国联,UEFA  NL,178_科索沃,Kosovo,185_马耳他,Malta,0.0,0.0,,,,,
1502211.0,1864.0,2018/09/11 02:45,755.0,758.0,,,欧国联,UEFA  NL,185_马耳他,Malta,118_阿塞拜疆,Azerbaijan,0.0,0.0,,,,,
1502210.0,1864.0,2018/09/08 02:45,754.0,755.0,,,欧国联,UEFA  NL,97_法罗群岛,Faroe Islands,185_马耳他,Malta,0.0,0.0,,,,,
1543767.0,1366.0,2018/06/16 02:00,751.0,755.0,推迟,,国际友谊,INT FRL,166_摩尔多瓦,Moldova,185_马耳他,Malta,0.0,0.0,,,,,
1543754.0,1366.0,2018/06/02 01:00,901.0,755.0,1-0,0-0,国际友谊,INT FRL,104_格鲁吉亚,Georgia,185_马耳他,Malta,1.0,0.0,,一球|1,走,小,负
1543281.0,1366.0,2018/05/30 01:00,748.0,755.0,1-1,1-1,国际友谊,INT FRL,90_阿美尼亚,Armenia,185_马耳他,Malta,1.0,0.0,,一球/球半|1/1.5,赢,小,平
1521482.0,1366.0,2018/03/26 23:59,736.0,755.0,5-0,3-0,国际友谊,INT FRL,68_芬兰,Finland,185_马耳他,Malta,0.0,0.0,,两球|2,输,大,负
1518979.0,1366.0,2018/03/23 01:00,755.0,749.0,0-1,0-0,国际友谊,INT FRL,185_马耳他,Malta,84_卢森堡,Luxembourg,0.0,0.0,,平手|0,输,小,负
1477179.0,1366.0,2017/11/12 22:00,755.0,636.0,0-3,0-2,国际友谊,INT FRL,185_马耳他,Malta,88_爱沙尼亚,Estonia,0.0,0.0,,平手|0,输,大,负
1198559.0,650.0,2017/10/08 23:59,752.0,755.0,3-0,1-0,欧洲预选,WCPEU,28_斯洛伐克,Slovakia,185_马耳他,Malta,0.0,0.0,,两球半/三球|2.5/3,输,小,负
1198555.0,650.0,2017/10/06 02:45,755.0,905.0,1-1,1-0,欧洲预选,WCPEU,185_马耳他,Malta,147_立陶宛,Lithuania,0.0,0.0,,受让平手/半球|-0/-0.5,赢,走,平
1198553.0,650.0,2017/09/05 02:45,641.0,755.0,2-0,1-0,欧洲预选,WCPEU,32_苏格兰,Scotland,185_马耳他,Malta,0.0,0.0,,两球半/三球|2.5/3,赢,小,负
1198548.0,650.0,2017/09/02 02:45,755.0,744.0,0-4,0-0,欧洲预选,WCPEU,185_马耳他,Malta,16_英格兰,England,0.0,0.0,,受让两球半/三球|-2.5/-3,输,大,负
1198546.0,650.0,2017/06/10 23:59,632.0,755.0,2-0,1-0,欧洲预选,WCPEU,64_斯洛文尼亚,Slovenia,185_马耳他,Malta,0.0,0.0,,两球/两球半|2/2.5,赢,小,负
1391061.0,1366.0,2017/06/07 01:00,634.0,755.0,0-1,0-1,国际友谊,INT FRL,35_乌克兰,Ukraine,185_马耳他,Malta,0.0,0.0,,两球半|2.5,赢,小,胜
1198544.0,650.0,2017/03/27 02:45,755.0,752.0,1-3,1-2,欧洲预选,WCPEU,185_马耳他,Malta,28_斯洛伐克,Slovakia,1.0,1.0,,受让球半/两球|-1.5/-2,输,大,负
1328253.0,1366.0,2016/11/16 02:00,755.0,756.0,0-2,0-0,国际友谊,INT FRL,185_马耳他,Malta,20_冰岛,Iceland,0.0,0.0,,受让球半/两球|-1.5/-2,输,小,负
1198541.0,650.0,2016/11/12 03:45,755.0,632.0,0-1,0-0,欧洲预选,WCPEU,185_马耳他,Malta,64_斯洛文尼亚,Slovenia,0.0,0.0,,受让球半|-1.5,赢,小,负
1198537.0,650.0,2016/10/12 02:45,905.0,755.0,2-0,0-0,欧洲预选,WCPEU,147_立陶宛,Lithuania,185_马耳他,Malta,0.0,1.0,,一球|1,输,小,负
1198533.0,650.0,2016/10/08 23:59,744.0,755.0,2-0,2-0,欧洲预选,WCPEU,16_英格兰,England,185_马耳他,Malta,0.0,0.0,,四球|4,赢,小,负
1198532.0,650.0,2016/09/05 02:45,755.0,641.0,1-5,1-1,欧洲预选,WCPEU,185_马耳他,Malta,32_苏格兰,Scotland,2.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
1305623.0,1366.0,2016/08/31 23:30,636.0,755.0,1-1,0-0,国际友谊,INT FRL,88_爱沙尼亚,Estonia,185_马耳他,Malta,0.0,0.0,,一球/球半|1/1.5,赢,小,平
1243478.0,1366.0,2016/06/01 02:30,647.0,755.0,2-1,2-0,国际友谊,INT FRL,29_奥地利,Austria,185_马耳他,Malta,0.0,0.0,,两球半|2.5,赢,小,负
1243462.0,1366.0,2016/05/27 23:59,747.0,755.0,6-0,3-0,国际友谊,INT FRL,48_捷克,Czech,185_马耳他,Malta,0.0,0.0,,两球|2,输,大,负
1229357.0,1366.0,2016/03/24 22:00,755.0,751.0,0-0,0-0,国际友谊,INT FRL,185_马耳他,Malta,166_摩尔多瓦,Moldova,0.0,0.0,,平手|0,走,小,平
1196766.0,1366.0,2015/11/11 23:00,881.0,755.0,2-0,1-0,国际友谊,INT FRL,113_约旦,Jordan,185_马耳他,Malta,0.0,0.0,,半球|0.5,输,小,负
975158.0,67.0,2015/10/14 02:45,755.0,768.0,0-1,0-1,欧洲杯,EURO  Cup,185_马耳他,Malta,15_克罗地亚,Croatia,0.0,0.0,,受让两球|-2,赢,小,负
975160.0,67.0,2015/10/10 23:59,640.0,755.0,2-0,1-0,欧洲杯,EURO  Cup,58_挪威,Norway,185_马耳他,Malta,0.0,0.0,,两球|2,走,小,负
975163.0,67.0,2015/09/06 23:59,755.0,758.0,2-2,0-1,欧洲杯,EURO  Cup,185_马耳他,Malta,118_阿塞拜疆,Azerbaijan,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,平
975165.0,67.0,2015/09/04 02:45,771.0,755.0,1-0,0-0,欧洲杯,EURO  Cup,14_意大利,Italy,185_马耳他,Malta,0.0,0.0,,两球半/三球|2.5/3,赢,小,负
975169.0,67.0,2015/06/13 02:45,755.0,769.0,0-1,0-0,欧洲杯,EURO  Cup,185_马耳他,Malta,42_保加利亚,Bulgaria,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,负
1129329.0,1366.0,2015/06/09 02:00,755.0,905.0,2-0,0-0,国际友谊,INT FRL,185_马耳他,Malta,147_立陶宛,Lithuania,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
975172.0,67.0,2015/03/29 01:00,758.0,755.0,2-0,1-0,欧洲杯,EURO  Cup,118_阿塞拜疆,Azerbaijan,185_马耳他,Malta,0.0,0.0,,半球/一球|0.5/1,输,小,负
1109820.0,1366.0,2015/03/26 01:00,901.0,755.0,2-0,0-0,国际友谊,INT FRL,104_格鲁吉亚,Georgia,185_马耳他,Malta,0.0,0.0,,一球/球半|1/1.5,输,小,负
975175.0,67.0,2014/11/17 03:45,769.0,755.0,1-1,1-0,欧洲杯,EURO  Cup,42_保加利亚,Bulgaria,185_马耳他,Malta,0.0,0.0,,两球|2,赢,小,平
975179.0,67.0,2014/10/14 02:45,755.0,771.0,0-1,0-1,欧洲杯,EURO  Cup,185_马耳他,Malta,14_意大利,Italy,1.0,1.0,,受让两球半/三球|-2.5/-3,赢,小,负
