赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1545073.0,1366.0,2018/05/21 20:00,3325.0,20157.0,0-7,0-3,国际友谊,INT FRL,186_中国澳门,Macau of China,220_弱鸡,Sporting CP B,0.0,0.0,,,,,负
1371510.0,95.0,2018/03/27 19:30,1563.0,3325.0,1-0,0-0,亚洲杯,AFC,140_缅甸联邦,Myanmar,186_中国澳门,Macau of China,0.0,0.0,,两球半|2.5,赢,小,负
1523244.0,1366.0,2018/03/22 20:00,3325.0,4638.0,0-1,0-1,国际友谊,INT FRL,186_中国澳门,Macau of China,157_毛里求斯,Mauritius,0.0,0.0,,,,,负
1371507.0,95.0,2017/11/14 19:30,3325.0,885.0,3-4,0-2,亚洲杯,AFC,186_中国澳门,Macau of China,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,受让两球|-2,赢,大,负
1371505.0,95.0,2017/10/11 22:00,893.0,3325.0,4-1,1-1,亚洲杯,AFC,102_印度,India,186_中国澳门,Macau of China,0.0,0.0,,两球半/三球|2.5/3,输,大,负
1468393.0,41.0,2017/10/02 19:30,3325.0,880.0,3-1,0-0,球会友谊,INT CF,186_中国澳门,Macau of China,183_老挝,Laos,0.0,0.0,,,,,胜
1371503.0,95.0,2017/09/05 19:30,3325.0,893.0,0-2,0-0,亚洲杯,AFC,186_中国澳门,Macau of China,102_印度,India,0.0,0.0,,受让球半|-1.5,输,小,负
1455192.0,41.0,2017/09/02 15:00,888.0,3325.0,4-0,4-0,球会友谊,INT CF,144_中国香港,Hong Kong,186_中国澳门,Macau of China,0.0,0.0,,,,,负
1371501.0,95.0,2017/06/13 19:30,3325.0,1563.0,0-4,0-2,亚洲杯,AFC,186_中国澳门,Macau of China,140_缅甸联邦,Myanmar,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
1371499.0,95.0,2017/03/28 21:30,885.0,3325.0,1-0,0-0,亚洲杯,AFC,116_吉尔吉斯斯坦,Kyrgyzstan,186_中国澳门,Macau of China,0.0,0.0,,球半/两球|1.5/2,赢,小,负
1330083.0,1702.0,2016/11/15 19:30,6650.0,3325.0,1-0,1-0,亚足杯,Sub foot cup,165_尼泊尔,Nepal,186_中国澳门,Macau of China,0.0,0.0,,,,,负
1329371.0,1702.0,2016/11/12 19:30,3325.0,3627.0,1-1,0-1,亚足杯,Sub foot cup,186_中国澳门,Macau of China,190_文莱,Brunei Darussalam,0.0,1.0,"90,1-1;;1,1-1;4-3;1",半球/一球|0.5/1,输,小,平
1328392.0,1702.0,2016/11/09 19:30,824.0,3325.0,1-1,1-0,亚足杯,Sub foot cup,200_斯里兰卡,Sri Lanka,186_中国澳门,Macau of China,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,平
