赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1421495.0,1052.0,2017/07/23 23:59,4637.0,6975.0,3-0,0-0,非国锦标,CAF SC,137_埃塞俄比亚,Ethiopia,187_吉布提,Djibouti,0.0,0.0,,,,,负
1414972.0,1052.0,2017/07/15 20:00,6975.0,4637.0,1-5,0-1,非国锦标,CAF SC,187_吉布提,Djibouti,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,负
1371445.0,93.0,2017/03/28 21:30,20868.0,6975.0,6-0,4-0,非洲杯,CAF NC,153_南苏丹,South Sudan,187_吉布提,Djibouti,0.0,0.0,,,,,负
1371441.0,93.0,2017/03/23 00:20,6975.0,20868.0,2-0,0-0,非洲杯,CAF NC,187_吉布提,Djibouti,153_南苏丹,South Sudan,0.0,0.0,,,,,胜
1369462.0,1366.0,2017/03/13 21:00,5294.0,6975.0,1-0,1-0,国际友谊,INT FRL,143_布隆迪,Burundi,187_吉布提,Djibouti,0.0,0.0,,,,,负
1129591.0,93.0,2016/09/05 01:30,816.0,6975.0,5-0,2-0,非洲杯,CAF NC,127_多哥,Togo,187_吉布提,Djibouti,0.0,0.0,,四球/四球半|4/4.5,输,小,负
1129589.0,93.0,2016/06/03 20:30,6975.0,823.0,0-3,0-2,非洲杯,CAF NC,187_吉布提,Djibouti,23_突尼斯,Tunisia,0.0,0.0,,受让三球/三球半|-3/-3.5,赢,小,负
1129587.0,93.0,2016/03/29 23:59,814.0,6975.0,5-0,2-0,非洲杯,CAF NC,133_利比里亚,Liberia,187_吉布提,Djibouti,0.0,0.0,,两球半/三球|2.5/3,输,大,负
1129585.0,93.0,2016/03/24 21:00,6975.0,814.0,0-1,0-0,非洲杯,CAF NC,187_吉布提,Djibouti,133_利比里亚,Liberia,0.0,0.0,,受让两球|-2,赢,小,负
1198911.0,581.0,2015/11/27 21:00,6975.0,792.0,0-4,0-2,中东非杯,CECAFA Cup,187_吉布提,Djibouti,124_苏丹,Sudan,0.0,0.0,,,,,负
1198908.0,581.0,2015/11/25 19:00,969.0,6975.0,3-0,2-0,中东非杯,CECAFA Cup,124_马拉维,Malawi,187_吉布提,Djibouti,1.0,0.0,,两球/两球半|2/2.5,输,小,负
1198906.0,581.0,2015/11/23 19:00,20868.0,6975.0,2-0,1-0,中东非杯,CECAFA Cup,153_南苏丹,South Sudan,187_吉布提,Djibouti,0.0,0.0,,球半/两球|1.5/2,输,小,负
1190101.0,651.0,2015/10/17 22:00,4636.0,6975.0,2-1,2-1,非洲预选,WCPAF,132_斯威士兰,Swaziland,187_吉布提,Djibouti,0.0,0.0,,,,,负
1190112.0,651.0,2015/10/09 21:00,6975.0,4636.0,0-6,0-1,非洲预选,WCPAF,187_吉布提,Djibouti,132_斯威士兰,Swaziland,0.0,0.0,,,,,负
1129583.0,93.0,2015/09/04 21:00,6975.0,816.0,0-2,0-2,非洲杯,CAF NC,187_吉布提,Djibouti,127_多哥,Togo,0.0,0.0,,,,,负
1130044.0,1052.0,2015/07/04 21:00,5294.0,6975.0,2-0,2-0,非国锦标,CAF SC,143_布隆迪,Burundi,187_吉布提,Djibouti,0.0,0.0,,,,,负
1130041.0,1052.0,2015/06/22 02:30,6975.0,5294.0,1-1,0-1,非国锦标,CAF SC,187_吉布提,Djibouti,143_布隆迪,Burundi,0.0,0.0,,,,,平
1129582.0,93.0,2015/06/13 03:30,823.0,6975.0,8-1,4-0,非洲杯,CAF NC,23_突尼斯,Tunisia,187_吉布提,Djibouti,0.0,0.0,,两球半/三球|2.5/3,输,大,负
655204.0,581.0,2011/12/02 19:00,922.0,6975.0,5-2,1-2,中东非杯,CECAFA Cup,116_卢旺达,Rwanda,187_吉布提,Djibouti,0.0,1.0,,,,大,负
654707.0,581.0,2011/11/29 21:00,4937.0,6975.0,3-0,2-0,中东非杯,CECAFA Cup,146_坦桑尼亚,Tanzania,187_吉布提,Djibouti,0.0,0.0,,,,小,负
654283.0,581.0,2011/11/27 19:00,14862.0,6975.0,2-0,1-0,中东非杯,CECAFA Cup,106_津巴布韦,Zimbabwe,187_吉布提,Djibouti,0.0,0.0,,,,,负
646766.0,651.0,2011/11/16 02:00,4494.0,6975.0,4-0,2-0,非洲预选,WCPAF,111_纳米比亚,Namibia,187_吉布提,Djibouti,0.0,0.0,,,,,负
646747.0,651.0,2011/11/11 20:00,6975.0,4494.0,0-4,0-1,非洲预选,WCPAF,187_吉布提,Djibouti,111_纳米比亚,Namibia,0.0,0.0,,,,,负
354537.0,581.0,2009/12/04 21:00,807.0,6975.0,6-0,2-0,中东非杯,CECAFA Cup,72_赞比亚,Zambia,187_吉布提,Djibouti,0.0,0.0,,,,大,负
354536.0,581.0,2009/12/02 21:00,921.0,6975.0,2-0,0-0,中东非杯,CECAFA Cup,105_肯尼亚,Kenya,187_吉布提,Djibouti,0.0,0.0,,,,,负
354534.0,581.0,2009/11/30 21:00,4637.0,6975.0,5-0,0-0,中东非杯,CECAFA Cup,137_埃塞俄比亚,Ethiopia,187_吉布提,Djibouti,0.0,0.0,,,,,负
253644.0,581.0,2009/01/06 19:00,921.0,6975.0,5-1,2-0,中东非杯,CECAFA Cup,105_肯尼亚,Kenya,187_吉布提,Djibouti,0.0,0.0,,,,,负
253641.0,581.0,2009/01/04 21:00,6975.0,792.0,1-1,0-1,中东非杯,CECAFA Cup,187_吉布提,Djibouti,124_苏丹,Sudan,0.0,0.0,,,,,平
253640.0,581.0,2009/01/02 21:00,5294.0,6975.0,4-0,0-0,中东非杯,CECAFA Cup,143_布隆迪,Burundi,187_吉布提,Djibouti,0.0,0.0,,,,,负
253637.0,581.0,2008/12/31 21:00,807.0,6975.0,3-0,2-0,中东非杯,CECAFA Cup,72_赞比亚,Zambia,187_吉布提,Djibouti,0.0,0.0,,,,,负
205804.0,651.0,2008/10/13 02:00,735.0,6975.0,4-0,1-0,非洲预选,WCPAF,30_埃及,Egypt,187_吉布提,Djibouti,0.0,0.0,,,,小,负
205803.0,651.0,2008/09/06 02:00,6975.0,969.0,0-3,0-1,非洲预选,WCPAF,187_吉布提,Djibouti,124_马拉维,Malawi,0.0,0.0,,,,小,负
205800.0,651.0,2008/06/22 22:30,811.0,6975.0,5-1,2-0,非洲预选,WCPAF,43_刚果民主共和国,Democratic Rep Congo,187_吉布提,Djibouti,0.0,0.0,,,,,负
205798.0,651.0,2008/06/13 20:00,6975.0,811.0,0-6,0-3,非洲预选,WCPAF,187_吉布提,Djibouti,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,,,,负
205796.0,651.0,2008/06/06 20:00,6975.0,735.0,0-4,0-1,非洲预选,WCPAF,187_吉布提,Djibouti,30_埃及,Egypt,1.0,0.0,,,,,负
205794.0,651.0,2008/05/31 20:30,969.0,6975.0,8-1,2-1,非洲预选,WCPAF,124_马拉维,Malawi,187_吉布提,Djibouti,0.0,0.0,,,,,负
174634.0,581.0,2007/12/13 21:00,6975.0,922.0,0-9,0-0,中东非杯,CECAFA Cup,187_吉布提,Djibouti,116_卢旺达,Rwanda,0.0,0.0,,,,,负
174613.0,581.0,2007/12/11 21:00,6975.0,5297.0,2-3,0-2,中东非杯,CECAFA Cup,187_吉布提,Djibouti,206_厄立特里亚,Eritrea,0.0,0.0,,,,,负
181555.0,581.0,2007/12/09 23:00,802.0,6975.0,7-0,5-0,中东非杯,CECAFA Cup,73_乌干达,Uganda,187_吉布提,Djibouti,0.0,0.0,,,,,负
171803.0,651.0,2007/11/16 21:00,6975.0,6976.0,1-0,0-0,非洲预选,WCPAF,187_吉布提,Djibouti,206_索马里,Somalia,0.0,0.0,,,,,胜
