赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1527625.0,1366.0,2018/04/01 20:45,889.0,7818.0,7-0,5-0,国际友谊,INT FRL,175_马来西亚,Malaysia,188_不丹,Bhutan,0.0,0.0,,,,,负
1371546.0,95.0,2018/03/27 23:59,882.0,7818.0,7-0,1-0,亚洲杯,AFC,150_马尔代夫,Maldives,188_不丹,Bhutan,0.0,0.0,,,,,负
1371543.0,95.0,2017/11/14 20:00,7818.0,902.0,2-4,0-0,亚洲杯,AFC,188_不丹,Bhutan,101_阿曼,Oman,0.0,0.0,,,,,负
1371542.0,95.0,2017/10/10 22:00,879.0,7818.0,10-0,6-0,亚洲杯,AFC,75_巴勒斯坦,Palestine,188_不丹,Bhutan,0.0,0.0,,四球半/五球|4.5/5,输,大,负
1371539.0,95.0,2017/09/05 20:00,7818.0,879.0,0-2,0-0,亚洲杯,AFC,188_不丹,Bhutan,75_巴勒斯坦,Palestine,0.0,0.0,,受让四球/四球半|-4/-4.5,赢,小,负
1371537.0,95.0,2017/06/13 20:00,7818.0,882.0,0-2,0-1,亚洲杯,AFC,188_不丹,Bhutan,150_马尔代夫,Maldives,0.0,0.0,,受让两球半/三球|-2.5/-3,赢,小,负
1371535.0,95.0,2017/03/28 23:00,902.0,7818.0,14-0,7-0,亚洲杯,AFC,101_阿曼,Oman,188_不丹,Bhutan,0.0,0.0,,四球半|4.5,输,大,负
1307449.0,95.0,2016/10/10 20:00,7818.0,3352.0,3-1,2-0,亚洲杯,AFC,188_不丹,Bhutan,197_孟加拉国,Bangladesh,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1307447.0,95.0,2016/09/06 21:00,3352.0,7818.0,0-0,0-0,亚洲杯,AFC,197_孟加拉国,Bangladesh,188_不丹,Bhutan,0.0,0.0,,两球/两球半|2/2.5,赢,小,平
1291818.0,41.0,2016/08/13 18:00,7818.0,893.0,0-3,0-3,球会友谊,INT CF,188_不丹,Bhutan,102_印度,India,0.0,0.0,,,,,负
1124649.0,648.0,2016/03/29 23:59,882.0,7818.0,4-2,1-1,亚洲预选,FIFA WCQL,150_马尔代夫,Maldives,188_不丹,Bhutan,0.0,0.0,,两球半|2.5,赢,大,负
1202526.0,307.0,2015/12/28 18:00,7818.0,3352.0,0-3,0-2,黄金杯,SAFF,188_不丹,Bhutan,197_孟加拉国,Bangladesh,1.0,0.0,,受让球半|-1.5,输,走,负
1202524.0,307.0,2015/12/26 21:00,6651.0,7818.0,3-0,2-0,黄金杯,SAFF,148_阿富汗,Afghanistan,188_不丹,Bhutan,0.0,0.0,,三球/三球半|3/3.5,赢,小,负
1202523.0,307.0,2015/12/24 18:00,882.0,7818.0,3-1,2-1,黄金杯,SAFF,150_马尔代夫,Maldives,188_不丹,Bhutan,0.0,0.0,,两球|2,走,大,负
1124653.0,648.0,2015/11/17 20:00,7818.0,904.0,0-3,0-2,亚洲预选,FIFA WCQL,188_不丹,Bhutan,103_卡塔尔,Qatar,0.0,0.0,,受让7.25球|-7.25,赢,小,负
1124655.0,648.0,2015/11/12 19:35,896.0,7818.0,12-0,7-0,亚洲预选,FIFA WCQL,70_中国,China,188_不丹,Bhutan,0.0,0.0,,7.5球|7.5,输,大,负
1124658.0,648.0,2015/10/13 20:00,7818.0,888.0,0-1,0-0,亚洲预选,FIFA WCQL,188_不丹,Bhutan,144_中国香港,Hong Kong,0.0,0.0,,受让5.75球|-5.75,赢,小,负
1124660.0,648.0,2015/10/08 20:00,7818.0,882.0,3-4,0-3,亚洲预选,FIFA WCQL,188_不丹,Bhutan,150_马尔代夫,Maldives,0.0,0.0,,受让两球/两球半|-2/-2.5,赢,大,负
1124664.0,648.0,2015/09/03 23:59,904.0,7818.0,15-0,8-0,亚洲预选,FIFA WCQL,103_卡塔尔,Qatar,188_不丹,Bhutan,0.0,0.0,,6.25球|6.25,输,大,负
1177204.0,41.0,2015/08/22 19:30,1565.0,7818.0,2-0,0-0,球会友谊,INT CF,172_柬埔寨,Cambodia,188_不丹,Bhutan,0.0,0.0,,,,,负
1124665.0,648.0,2015/06/16 20:00,7818.0,896.0,0-6,0-1,亚洲预选,FIFA WCQL,188_不丹,Bhutan,70_中国,China,0.0,0.0,,受让三球/三球半|-3/-3.5,输,大,负
1124668.0,648.0,2015/06/11 20:00,888.0,7818.0,7-0,4-0,亚洲预选,FIFA WCQL,144_中国香港,Hong Kong,188_不丹,Bhutan,0.0,0.0,,三球/三球半|3/3.5,输,大,负
1107459.0,648.0,2015/03/17 18:00,7818.0,824.0,2-1,1-1,亚洲预选,FIFA WCQL,188_不丹,Bhutan,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,胜
1106072.0,648.0,2015/03/12 17:30,824.0,7818.0,0-1,0-0,亚洲预选,FIFA WCQL,200_斯里兰卡,Sri Lanka,188_不丹,Bhutan,0.0,0.0,,两球半/三球|2.5/3,赢,小,胜
916287.0,307.0,2013/09/06 17:45,824.0,7818.0,5-2,3-1,黄金杯,SAFF,200_斯里兰卡,Sri Lanka,188_不丹,Bhutan,0.0,0.0,,,,,负
916285.0,307.0,2013/09/04 20:45,7818.0,882.0,2-8,2-2,黄金杯,SAFF,188_不丹,Bhutan,150_马尔代夫,Maldives,1.0,0.0,,受让5.25球|-5.25,输,大,负
916282.0,307.0,2013/09/02 17:45,6651.0,7818.0,3-0,1-0,黄金杯,SAFF,148_阿富汗,Afghanistan,188_不丹,Bhutan,0.0,0.0,,四球半/五球|4.5/5,赢,小,负
798919.0,41.0,2012/11/14 19:00,886.0,7818.0,5-0,4-0,球会友谊,INT CF,129_泰国,Thailand,188_不丹,Bhutan,0.0,0.0,,,,小,负
655395.0,307.0,2011/12/07 17:30,6651.0,7818.0,8-1,5-1,黄金杯,SAFF,148_阿富汗,Afghanistan,188_不丹,Bhutan,0.0,1.0,,,,大,负
655394.0,307.0,2011/12/05 20:30,893.0,7818.0,5-0,2-0,黄金杯,SAFF,102_印度,India,188_不丹,Bhutan,0.0,0.0,,,,大,负
655392.0,307.0,2011/12/03 20:30,824.0,7818.0,3-0,2-0,黄金杯,SAFF,200_斯里兰卡,Sri Lanka,188_不丹,Bhutan,0.0,0.0,,,,小,负
516033.0,251.0,2011/03/25 17:30,6651.0,7818.0,2-0,0-0,亚挑杯,AFC CC,148_阿富汗,Afghanistan,188_不丹,Bhutan,0.0,0.0,,,,小,负
516028.0,251.0,2011/03/23 17:30,7818.0,6651.0,0-3,0-2,亚挑杯,AFC CC,188_不丹,Bhutan,148_阿富汗,Afghanistan,0.0,0.0,,,,大,负
529829.0,41.0,2011/03/19 17:20,6650.0,7818.0,2-1,1-0,球会友谊,INT CF,165_尼泊尔,Nepal,188_不丹,Bhutan,0.0,0.0,,,,,负
365842.0,41.0,2010/02/03 17:30,6650.0,7818.0,2-0,1-0,球会友谊,INT CF,165_尼泊尔,Nepal,188_不丹,Bhutan,0.0,0.0,,,,小,负
355138.0,307.0,2009/12/08 17:00,3353.0,7818.0,7-0,5-0,黄金杯,SAFF,201_巴基斯坦,Pakistan,188_不丹,Bhutan,0.0,0.0,,,,大,负
355136.0,307.0,2009/12/06 17:00,824.0,7818.0,6-0,3-0,黄金杯,SAFF,200_斯里兰卡,Sri Lanka,188_不丹,Bhutan,0.0,0.0,,,,大,负
355134.0,307.0,2009/12/04 20:00,3352.0,7818.0,4-1,2-1,黄金杯,SAFF,197_孟加拉国,Bangladesh,188_不丹,Bhutan,0.0,0.0,,,,,负
