赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1521485.0,1366.0,2018/03/27 18:00,5768.0,4638.0,0-2,0-2,国际友谊,INT FRL,189_蒙古,Mongolia,157_毛里求斯,Mauritius,0.0,0.0,,,,,负
1520449.0,1366.0,2018/03/22 20:45,889.0,5768.0,2-2,1-1,国际友谊,INT FRL,175_马来西亚,Malaysia,189_蒙古,Mongolia,0.0,0.0,,两球|2,赢,大,平
1481979.0,1366.0,2017/12/04 22:35,5768.0,890.0,2-3,1-3,国际友谊,INT FRL,189_蒙古,Mongolia,160_印度尼西亚,Indonesia,0.0,0.0,,,,,负
1481568.0,1366.0,2017/12/02 17:00,885.0,5768.0,3-0,1-0,国际友谊,INT FRL,116_吉尔吉斯斯坦,Kyrgyzstan,189_蒙古,Mongolia,0.0,0.0,,,,,负
1466904.0,1366.0,2017/10/05 19:00,5288.0,5768.0,4-2,1-1,国际友谊,INT FRL,134_中国台北,Chinese Taipei,189_蒙古,Mongolia,0.0,0.0,,一球/球半|1/1.5,输,大,负
1328391.0,1702.0,2016/11/09 19:30,5768.0,880.0,0-3,0-2,亚足杯,Sub foot cup,189_蒙古,Mongolia,183_老挝,Laos,0.0,0.0,,,,,负
1328295.0,1702.0,2016/11/06 19:30,5768.0,824.0,2-0,0-0,亚足杯,Sub foot cup,189_蒙古,Mongolia,200_斯里兰卡,Sri Lanka,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1327253.0,1702.0,2016/11/03 19:30,3325.0,5768.0,2-1,1-1,亚足杯,Sub foot cup,186_中国澳门,Macau of China,189_蒙古,Mongolia,0.0,0.0,,平手/半球|0/0.5,输,小,负
1258090.0,53.0,2016/07/04 12:30,10002.0,5768.0,0-8,0-4,东亚杯,EASTC,220_弱鸡,Northern Mariana Island,189_蒙古,Mongolia,0.0,0.0,,,,,胜
1258089.0,53.0,2016/07/02 15:00,5768.0,5288.0,0-2,0-0,东亚杯,EASTC,189_蒙古,Mongolia,134_中国台北,Chinese Taipei,0.0,0.0,,,,,负
1257448.0,53.0,2016/06/30 12:30,3325.0,5768.0,2-2,2-1,东亚杯,EASTC,186_中国澳门,Macau of China,189_蒙古,Mongolia,0.0,0.0,,,,,平
1107456.0,648.0,2015/03/17 16:00,5768.0,1564.0,0-1,0-1,亚洲预选,FIFA WCQL,189_蒙古,Mongolia,191_东帝汶,Timor Leste,0.0,0.0,,,,,负
1106074.0,648.0,2015/03/12 15:00,1564.0,5768.0,4-1,2-0,亚洲预选,FIFA WCQL,191_东帝汶,Timor Leste,189_蒙古,Mongolia,0.0,0.0,,,,,负
1013989.0,53.0,2014/07/25 13:00,3325.0,5768.0,3-2,1-0,东亚杯,EASTC,186_中国澳门,Macau of China,189_蒙古,Mongolia,0.0,0.0,,,,,负
1013988.0,53.0,2014/07/23 15:30,5769.0,5768.0,2-0,1-0,东亚杯,EASTC,192_关岛,Guam Island,189_蒙古,Mongolia,0.0,0.0,,,,,负
1013985.0,53.0,2014/07/21 13:00,5768.0,10002.0,4-0,2-0,东亚杯,EASTC,189_蒙古,Mongolia,220_弱鸡,Northern Mariana Island,0.0,0.0,,,,,胜
824287.0,251.0,2013/03/06 17:00,824.0,5768.0,3-0,0-0,亚挑杯,AFC CC,200_斯里兰卡,Sri Lanka,189_蒙古,Mongolia,0.0,0.0,,,,大,负
824285.0,251.0,2013/03/04 17:00,5768.0,6651.0,0-1,0-0,亚挑杯,AFC CC,189_蒙古,Mongolia,148_阿富汗,Afghanistan,0.0,0.0,,,,小,负
824170.0,251.0,2013/03/02 20:00,880.0,5768.0,1-1,1-1,亚挑杯,AFC CC,183_老挝,Laos,189_蒙古,Mongolia,0.0,0.0,,,,小,平
567920.0,648.0,2011/07/03 17:00,1563.0,5768.0,2-0,0-0,亚洲预选,FIFA WCQL,140_缅甸联邦,Myanmar,189_蒙古,Mongolia,0.0,0.0,,,,小,负
565521.0,648.0,2011/06/29 18:30,5768.0,1563.0,1-0,0-0,亚洲预选,FIFA WCQL,189_蒙古,Mongolia,140_缅甸联邦,Myanmar,0.0,0.0,,,,小,胜
516032.0,251.0,2011/03/15 13:00,5768.0,1562.0,2-1,2-1,亚挑杯,AFC CC,189_蒙古,Mongolia,123_菲律宾,Philippines,0.0,0.0,,,,,胜
516030.0,251.0,2011/02/09 19:00,1562.0,5768.0,2-0,1-0,亚挑杯,AFC CC,123_菲律宾,Philippines,189_蒙古,Mongolia,0.0,0.0,,,,,负
274521.0,251.0,2009/04/14 15:00,5768.0,3325.0,3-1,0-1,亚挑杯,AFC CC,189_蒙古,Mongolia,186_中国澳门,Macau of China,0.0,0.0,,,,,胜
274520.0,251.0,2009/04/07 20:00,3325.0,5768.0,2-0,0-0,亚挑杯,AFC CC,186_中国澳门,Macau of China,189_蒙古,Mongolia,0.0,0.0,,,,,负
269775.0,53.0,2009/03/15 11:30,10002.0,5768.0,1-4,0-0,东亚杯,EASTC,220_弱鸡,Northern Mariana Island,189_蒙古,Mongolia,0.0,0.0,,,,,胜
269773.0,53.0,2009/03/13 11:30,3325.0,5768.0,1-2,0-0,东亚杯,EASTC,186_中国澳门,Macau of China,189_蒙古,Mongolia,0.0,0.0,,,,,胜
269772.0,53.0,2009/03/11 14:00,5769.0,5768.0,1-0,0-0,东亚杯,EASTC,192_关岛,Guam Island,189_蒙古,Mongolia,0.0,0.0,,,,,负
167892.0,648.0,2007/10/28 15:00,876.0,5768.0,5-1,3-1,亚洲预选,FIFA WCQL,119_朝鲜,Korea DPR,189_蒙古,Mongolia,0.0,0.0,,,,,负
166658.0,648.0,2007/10/21 13:00,5768.0,876.0,1-4,0-3,亚洲预选,FIFA WCQL,189_蒙古,Mongolia,119_朝鲜,Korea DPR,0.0,0.0,,,,,负
