赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1481569.0,1366.0,2017/12/02 22:30,890.0,3627.0,4-0,2-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,190_文莱,Brunei Darussalam,0.0,0.0,,,,,负
1329982.0,1702.0,2016/11/14 19:30,880.0,3627.0,3-2,1-1,亚足杯,Sub foot cup,183_老挝,Laos,190_文莱,Brunei Darussalam,0.0,0.0,,,,,负
1329371.0,1702.0,2016/11/12 19:30,3325.0,3627.0,1-1,0-1,亚足杯,Sub foot cup,186_中国澳门,Macau of China,190_文莱,Brunei Darussalam,0.0,1.0,"90,1-1;;1,1-1;4-3;1",半球/一球|0.5/1,赢,小,平
1328390.0,1702.0,2016/11/08 19:30,6650.0,3627.0,3-0,1-0,亚足杯,Sub foot cup,165_尼泊尔,Nepal,190_文莱,Brunei Darussalam,0.0,0.0,,平手/半球|0/0.5,输,大,负
1327312.0,1366.0,2016/11/02 19:30,3627.0,1564.0,4-0,0-0,国际友谊,INT FRL,190_文莱,Brunei Darussalam,191_东帝汶,Timor Leste,0.0,1.0,,平手/半球|0/0.5,赢,大,胜
1323531.0,1124.0,2016/10/21 19:40,880.0,3627.0,4-3,1-1,东南锦,AFF Cup,183_老挝,Laos,190_文莱,Brunei Darussalam,0.0,0.0,,一球/球半|1/1.5,赢,大,负
1324413.0,1124.0,2016/10/18 19:30,1565.0,3627.0,3-0,3-0,东南锦,AFF Cup,172_柬埔寨,Cambodia,190_文莱,Brunei Darussalam,0.0,1.0,,球半|1.5,输,小,负
1323164.0,1124.0,2016/10/15 16:30,3627.0,1564.0,2-1,2-1,东南锦,AFF Cup,190_文莱,Brunei Darussalam,191_东帝汶,Timor Leste,0.0,0.0,,受让半球|-0.5,赢,大,胜
1321789.0,1366.0,2016/10/08 17:15,19558.0,3627.0,1-0,1-0,国际友谊,INT FRL,220_弱鸡,Malaysia U22,190_文莱,Brunei Darussalam,0.0,0.0,,一球|1,走,小,负
1321247.0,1366.0,2016/10/06 20:45,19558.0,3627.0,2-0,0-0,国际友谊,INT FRL,220_弱鸡,Malaysia U22,190_文莱,Brunei Darussalam,0.0,0.0,,一球/球半|1/1.5,输,小,负
1196616.0,1366.0,2015/11/03 19:30,1565.0,3627.0,6-1,0-0,国际友谊,INT FRL,172_柬埔寨,Cambodia,190_文莱,Brunei Darussalam,0.0,0.0,,,,,负
1129294.0,1366.0,2015/06/06 17:30,892.0,3627.0,5-1,3-1,国际友谊,INT FRL,173_新加坡,Singapore,190_文莱,Brunei Darussalam,0.0,0.0,,一球|1,输,大,负
1107461.0,648.0,2015/03/17 20:15,3627.0,5288.0,0-2,0-1,亚洲预选,FIFA WCQL,190_文莱,Brunei Darussalam,134_中国台北,Chinese Taipei,0.0,0.0,,,,,负
1106069.0,648.0,2015/03/12 19:00,5288.0,3627.0,0-1,0-1,亚洲预选,FIFA WCQL,134_中国台北,Chinese Taipei,190_文莱,Brunei Darussalam,0.0,0.0,,,,,胜
1065664.0,1124.0,2014/10/20 18:00,1565.0,3627.0,1-0,0-0,东南锦,AFF Cup,172_柬埔寨,Cambodia,190_文莱,Brunei Darussalam,0.0,0.0,,半球/一球|0.5/1,输,小,负
1065661.0,1124.0,2014/10/16 19:30,3627.0,1563.0,1-3,0-0,东南锦,AFF Cup,190_文莱,Brunei Darussalam,140_缅甸联邦,Myanmar,0.0,0.0,,受让两球/两球半|-2/-2.5,赢,大,负
1065658.0,1124.0,2014/10/14 16:30,880.0,3627.0,4-2,2-1,东南锦,AFF Cup,183_老挝,Laos,190_文莱,Brunei Darussalam,0.0,0.0,,球半|1.5,输,大,负
1065656.0,1124.0,2014/10/12 16:30,1564.0,3627.0,4-2,1-2,东南锦,AFF Cup,191_东帝汶,Timor Leste,190_文莱,Brunei Darussalam,0.0,0.0,,,,,负
824297.0,251.0,2013/03/26 16:30,1565.0,3627.0,3-0,0-0,亚挑杯,AFC CC,172_柬埔寨,Cambodia,190_文莱,Brunei Darussalam,0.0,0.0,,,,,负
824295.0,251.0,2013/03/24 16:30,3627.0,825.0,0-3,0-0,亚挑杯,AFC CC,190_文莱,Brunei Darussalam,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,,负
824294.0,251.0,2013/03/22 19:30,1562.0,3627.0,3-0,0-0,亚挑杯,AFC CC,123_菲律宾,Philippines,190_文莱,Brunei Darussalam,0.0,0.0,,,,,负
791680.0,1124.0,2012/10/13 19:30,3627.0,1564.0,2-1,1-0,东南锦,AFF Cup,190_文莱,Brunei Darussalam,191_东帝汶,Timor Leste,0.0,0.0,,,,走,胜
791677.0,1124.0,2012/10/11 16:30,3627.0,880.0,1-3,1-1,东南锦,AFF Cup,190_文莱,Brunei Darussalam,183_老挝,Laos,0.0,0.0,,,,大,负
791675.0,1124.0,2012/10/09 16:30,1565.0,3627.0,2-3,1-0,东南锦,AFF Cup,172_柬埔寨,Cambodia,190_文莱,Brunei Darussalam,0.0,0.0,,,,大,胜
791672.0,1124.0,2012/10/05 19:30,1563.0,3627.0,1-0,0-0,东南锦,AFF Cup,140_缅甸联邦,Myanmar,190_文莱,Brunei Darussalam,0.0,0.0,,,,小,负
789202.0,41.0,2012/09/26 20:30,3627.0,890.0,0-5,0-2,球会友谊,INT CF,190_文莱,Brunei Darussalam,160_印度尼西亚,Indonesia,0.0,0.0,,,,,负
274543.0,251.0,2009/04/08 21:00,5288.0,3627.0,5-0,3-0,亚挑杯,AFC CC,134_中国台北,Chinese Taipei,190_文莱,Brunei Darussalam,0.0,0.0,,,,,负
274540.0,251.0,2009/04/06 20:00,3627.0,3353.0,0-6,0-2,亚挑杯,AFC CC,190_文莱,Brunei Darussalam,201_巴基斯坦,Pakistan,0.0,0.0,,,,,负
274538.0,251.0,2009/04/04 20:00,824.0,3627.0,5-1,0-0,亚挑杯,AFC CC,200_斯里兰卡,Sri Lanka,190_文莱,Brunei Darussalam,0.0,0.0,,,,,负
247540.0,1124.0,2008/10/25 15:00,1565.0,3627.0,2-1,1-1,东南锦,AFF Cup,172_柬埔寨,Cambodia,190_文莱,Brunei Darussalam,0.0,0.0,,,,,负
247211.0,1124.0,2008/10/23 15:00,880.0,3627.0,3-2,1-1,东南锦,AFF Cup,183_老挝,Laos,190_文莱,Brunei Darussalam,0.0,0.0,,,,,负
247102.0,1124.0,2008/10/21 17:00,1564.0,3627.0,1-4,0-2,东南锦,AFF Cup,191_东帝汶,Timor Leste,190_文莱,Brunei Darussalam,0.0,0.0,,,,,胜
246934.0,1124.0,2008/10/19 17:00,1562.0,3627.0,1-1,1-1,东南锦,AFF Cup,123_菲律宾,Philippines,190_文莱,Brunei Darussalam,0.0,0.0,,,,,平
199820.0,251.0,2008/05/17 15:30,3627.0,884.0,0-4,0-0,亚挑杯,AFC CC,190_文莱,Brunei Darussalam,126_塔吉克斯坦,Tajikistan,0.0,0.0,,,,,负
