赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1481960.0,428.0,2017/12/05 16:00,1564.0,1562.0,1-0,0-0,四国赛,INT FRLW,191_东帝汶,Timor Leste,123_菲律宾,Philippines,0.0,0.0,,受让球半/两球|-1.5/-2,赢,小,胜
1481077.0,428.0,2017/12/04 19:00,5288.0,1564.0,3-1,1-0,四国赛,INT FRLW,134_中国台北,Chinese Taipei,191_东帝汶,Timor Leste,0.0,0.0,,球半|1.5,输,大,负
1481823.0,428.0,2017/12/03 16:00,880.0,1564.0,2-1,2-0,四国赛,INT FRLW,183_老挝,Laos,191_东帝汶,Timor Leste,0.0,2.0,,一球|1,走,大,负
1327913.0,1702.0,2016/11/05 19:30,1564.0,6650.0,0-0,0-0,亚足杯,Sub foot cup,191_东帝汶,Timor Leste,165_尼泊尔,Nepal,0.0,0.0,,受让一球|-1,赢,小,平
1327312.0,1366.0,2016/11/02 19:30,3627.0,1564.0,4-0,0-0,国际友谊,INT FRL,190_文莱,Brunei Darussalam,191_东帝汶,Timor Leste,0.0,1.0,,平手/半球|0/0.5,输,大,负
1323532.0,1124.0,2016/10/21 19:40,1565.0,1564.0,3-2,2-2,东南锦,AFF Cup,172_柬埔寨,Cambodia,191_东帝汶,Timor Leste,0.0,0.0,,两球/两球半|2/2.5,赢,大,负
1323529.0,1124.0,2016/10/18 16:30,1564.0,880.0,1-2,0-1,东南锦,AFF Cup,191_东帝汶,Timor Leste,183_老挝,Laos,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1323164.0,1124.0,2016/10/15 16:30,3627.0,1564.0,2-1,2-1,东南锦,AFF Cup,190_文莱,Brunei Darussalam,191_东帝汶,Timor Leste,0.0,0.0,,受让半球|-0.5,输,大,负
1307450.0,95.0,2016/10/11 19:00,5288.0,1564.0,2-1,1-0,亚洲杯,AFC,134_中国台北,Chinese Taipei,191_东帝汶,Timor Leste,0.0,0.0,,半球/一球|0.5/1,输,走,负
1307446.0,95.0,2016/10/08 19:00,1564.0,5288.0,1-2,1-2,亚洲杯,AFC,191_东帝汶,Timor Leste,134_中国台北,Chinese Taipei,0.0,0.0,,受让平手/半球|-0/-0.5,输,走,负
1243718.0,95.0,2016/06/06 22:00,1564.0,889.0,0-3,0-1,亚洲杯,AFC,191_东帝汶,Timor Leste,175_马来西亚,Malaysia,0.0,0.0,,受让球半/两球|-1.5/-2,输,走,负
1243715.0,95.0,2016/06/02 20:45,889.0,1564.0,3-0,2-0,亚洲杯,AFC,175_马来西亚,Malaysia,191_东帝汶,Timor Leste,0.0,0.0,,一球|1,输,大,负
1243493.0,1366.0,2016/05/29 20:00,1565.0,1564.0,2-0,1-0,国际友谊,INT FRL,172_柬埔寨,Cambodia,191_东帝汶,Timor Leste,0.0,0.0,,,,,负
1124598.0,648.0,2016/03/29 22:00,879.0,1564.0,7-0,4-0,亚洲预选,FIFA WCQL,75_巴勒斯坦,Palestine,191_东帝汶,Timor Leste,0.0,0.0,,两球/两球半|2/2.5,输,大,负
1124602.0,648.0,2015/11/17 15:00,1564.0,891.0,0-10,0-4,亚洲预选,FIFA WCQL,191_东帝汶,Timor Leste,65_沙特阿拉伯,Saudi Arabia,1.0,0.0,,受让三球半/四球|-3.5/-4,输,大,负
1124603.0,648.0,2015/11/12 22:15,887.0,1564.0,8-0,3-0,亚洲预选,FIFA WCQL,78_阿联酋,United Arab Emirates,191_东帝汶,Timor Leste,0.0,0.0,,5.25球|5.25,输,大,负
1124605.0,648.0,2015/10/13 15:00,1564.0,889.0,0-1,0-1,亚洲预选,FIFA WCQL,191_东帝汶,Timor Leste,175_马来西亚,Malaysia,0.0,0.0,,平手|0,输,小,负
1124607.0,648.0,2015/10/08 15:00,1564.0,879.0,1-1,0-0,亚洲预选,FIFA WCQL,191_东帝汶,Timor Leste,75_巴勒斯坦,Palestine,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,平
1124611.0,648.0,2015/09/04 01:40,891.0,1564.0,7-0,5-0,亚洲预选,FIFA WCQL,65_沙特阿拉伯,Saudi Arabia,191_东帝汶,Timor Leste,0.0,0.0,,三球半/四球|3.5/4,输,大,负
1124613.0,648.0,2015/06/16 16:00,1564.0,887.0,0-1,0-0,亚洲预选,FIFA WCQL,191_东帝汶,Timor Leste,78_阿联酋,United Arab Emirates,0.0,0.0,,受让三球/三球半|-3/-3.5,赢,小,负
1124616.0,648.0,2015/06/11 20:45,889.0,1564.0,1-1,1-0,亚洲预选,FIFA WCQL,175_马来西亚,Malaysia,191_东帝汶,Timor Leste,0.0,0.0,,两球/两球半|2/2.5,赢,小,平
1107456.0,648.0,2015/03/17 16:00,5768.0,1564.0,0-1,0-1,亚洲预选,FIFA WCQL,189_蒙古,Mongolia,191_东帝汶,Timor Leste,0.0,0.0,,,,,胜
1106074.0,648.0,2015/03/12 15:00,1564.0,5768.0,4-1,2-0,亚洲预选,FIFA WCQL,191_东帝汶,Timor Leste,189_蒙古,Mongolia,0.0,0.0,,,,,胜
1069703.0,1366.0,2014/11/11 18:00,890.0,1564.0,4-0,3-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,191_东帝汶,Timor Leste,0.0,0.0,,,,,负
1065663.0,1124.0,2014/10/18 19:30,880.0,1564.0,2-0,1-0,东南锦,AFF Cup,183_老挝,Laos,191_东帝汶,Timor Leste,0.0,0.0,,一球/球半|1/1.5,输,小,负
1065660.0,1124.0,2014/10/16 16:30,1564.0,1565.0,2-3,1-0,东南锦,AFF Cup,191_东帝汶,Timor Leste,172_柬埔寨,Cambodia,0.0,0.0,,半球/一球|0.5/1,输,大,负
1065659.0,1124.0,2014/10/14 19:30,1563.0,1564.0,0-0,0-0,东南锦,AFF Cup,140_缅甸联邦,Myanmar,191_东帝汶,Timor Leste,0.0,0.0,,一球/球半|1/1.5,赢,小,平
1065656.0,1124.0,2014/10/12 16:30,1564.0,3627.0,4-2,1-2,东南锦,AFF Cup,191_东帝汶,Timor Leste,190_文莱,Brunei Darussalam,0.0,0.0,,,,,胜
798914.0,41.0,2012/11/14 16:30,890.0,1564.0,1-0,0-0,球会友谊,INT CF,160_印度尼西亚,Indonesia,191_东帝汶,Timor Leste,0.0,0.0,,,,小,负
791680.0,1124.0,2012/10/13 19:30,3627.0,1564.0,2-1,1-0,东南锦,AFF Cup,190_文莱,Brunei Darussalam,191_东帝汶,Timor Leste,0.0,0.0,,,,走,负
791676.0,1124.0,2012/10/09 19:30,1564.0,880.0,3-1,1-0,东南锦,AFF Cup,191_东帝汶,Timor Leste,183_老挝,Laos,0.0,0.0,,,,大,胜
791673.0,1124.0,2012/10/07 16:30,1563.0,1564.0,2-1,1-0,东南锦,AFF Cup,140_缅甸联邦,Myanmar,191_东帝汶,Timor Leste,0.0,0.0,,,,走,负
791671.0,1124.0,2012/10/05 16:30,1565.0,1564.0,1-5,0-2,东南锦,AFF Cup,172_柬埔寨,Cambodia,191_东帝汶,Timor Leste,0.0,0.0,,,,大,胜
567918.0,648.0,2011/07/02 17:45,1564.0,6650.0,0-5,0-1,亚洲预选,FIFA WCQL,191_东帝汶,Timor Leste,165_尼泊尔,Nepal,0.0,0.0,,,,大,负
565523.0,648.0,2011/06/29 17:45,6650.0,1564.0,2-1,1-0,亚洲预选,FIFA WCQL,165_尼泊尔,Nepal,191_东帝汶,Timor Leste,0.0,0.0,,,,小,负
496830.0,41.0,2010/11/21 19:50,890.0,1564.0,6-0,3-0,球会友谊,INT CF,160_印度尼西亚,Indonesia,191_东帝汶,Timor Leste,0.0,0.0,,,,,负
485732.0,41.0,2010/10/26 19:30,880.0,1564.0,6-1,2-1,球会友谊,INT CF,183_老挝,Laos,191_东帝汶,Timor Leste,0.0,0.0,,,,大,负
484579.0,41.0,2010/10/24 17:00,1565.0,1564.0,4-2,3-1,球会友谊,INT CF,172_柬埔寨,Cambodia,191_东帝汶,Timor Leste,0.0,0.0,,,,大,负
484109.0,41.0,2010/10/22 17:00,1564.0,1562.0,0-5,0-4,球会友谊,INT CF,191_东帝汶,Timor Leste,123_菲律宾,Philippines,0.0,0.0,,,,大,负
247541.0,1124.0,2008/10/25 17:00,880.0,1564.0,2-1,1-0,东南锦,AFF Cup,183_老挝,Laos,191_东帝汶,Timor Leste,0.0,0.0,,,,,负
247102.0,1124.0,2008/10/21 17:00,1564.0,3627.0,1-4,0-2,东南锦,AFF Cup,191_东帝汶,Timor Leste,190_文莱,Brunei Darussalam,0.0,0.0,,,,,负
247539.0,1124.0,2008/10/19 15:00,1565.0,1564.0,2-2,1-0,东南锦,AFF Cup,172_柬埔寨,Cambodia,191_东帝汶,Timor Leste,0.0,0.0,,,,,平
247537.0,1124.0,2008/10/17 15:00,1562.0,1564.0,1-0,0-0,东南锦,AFF Cup,123_菲律宾,Philippines,191_东帝汶,Timor Leste,0.0,0.0,,,,,负
167891.0,648.0,2007/10/28 15:00,888.0,1564.0,8-1,2-0,亚洲预选,FIFA WCQL,144_中国香港,Hong Kong,191_东帝汶,Timor Leste,0.0,0.0,,,,大,负
166034.0,648.0,2007/10/21 15:30,1564.0,888.0,2-3,0-0,亚洲预选,FIFA WCQL,191_东帝汶,Timor Leste,144_中国香港,Hong Kong,0.0,0.0,,,,,负
10565.0,1124.0,2004/12/16 18:00,1563.0,1564.0,3-1,2-1,东南锦,AFF Cup,140_缅甸联邦,Myanmar,191_东帝汶,Timor Leste,0.0,0.0,,,,,负
10570.0,1124.0,2004/12/14 18:00,1562.0,1564.0,2-1,0-0,东南锦,AFF Cup,123_菲律宾,Philippines,191_东帝汶,Timor Leste,0.0,0.0,,,,,负
10575.0,1124.0,2004/12/12 18:00,1564.0,886.0,0-8,0-2,东南锦,AFF Cup,191_东帝汶,Timor Leste,129_泰国,Thailand,0.0,0.0,,,,,负
10548.0,1124.0,2004/12/08 20:45,1564.0,889.0,0-5,0-1,东南锦,AFF Cup,191_东帝汶,Timor Leste,175_马来西亚,Malaysia,0.0,0.0,,,,,负
