赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393579.0,93.0,2018/11/13 23:00,789.0,5289.0,,,非洲杯,CAF NC,51_尼日利亚,Nigeria,192_塞舌尔,Seychelles,0.0,0.0,,,,,
1393577.0,93.0,2018/10/16 23:00,5289.0,734.0,,,非洲杯,CAF NC,192_塞舌尔,Seychelles,89_利比亚,Libya,0.0,0.0,,,,,
1393575.0,93.0,2018/09/11 23:00,5289.0,803.0,,,非洲杯,CAF NC,192_塞舌尔,Seychelles,78_南非,South Africa,0.0,0.0,,,,,
1393571.0,93.0,2018/09/07 23:00,5289.0,789.0,,,非洲杯,CAF NC,192_塞舌尔,Seychelles,51_尼日利亚,Nigeria,0.0,0.0,,,,,
1393573.0,93.0,2018/09/03 23:00,803.0,5289.0,,,非洲杯,CAF NC,78_南非,South Africa,192_塞舌尔,Seychelles,0.0,0.0,,,,,
1545772.0,1311.0,2018/05/31 23:30,5292.0,5289.0,2-1,1-0,南非洲杯,SACC,108_莫桑比克,Mozambique,192_塞舌尔,Seychelles,0.0,0.0,,一球|1,走,大,负
1545770.0,1311.0,2018/05/30 01:30,5289.0,5295.0,1-1,1-1,南非洲杯,SACC,192_塞舌尔,Seychelles,109_马达加斯加,Madagascar,0.0,1.0,,受让半球|-0.5,赢,小,平
1545768.0,1311.0,2018/05/27 22:30,6675.0,5289.0,1-1,0-0,南非洲杯,SACC,130_科摩罗,Comoros,192_塞舌尔,Seychelles,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1525321.0,1366.0,2018/03/27 18:00,5289.0,4636.0,0-0,0-0,国际友谊,INT FRL,192_塞舌尔,Seychelles,132_斯威士兰,Swaziland,0.0,0.0,,,,,平
1404277.0,1311.0,2017/06/30 23:00,14862.0,5289.0,6-0,2-0,南非洲杯,SACC,106_津巴布韦,Zimbabwe,192_塞舌尔,Seychelles,0.0,0.0,,球半/两球|1.5/2,输,大,负
1404216.0,1311.0,2017/06/29 01:30,5289.0,5292.0,1-2,0-0,南非洲杯,SACC,192_塞舌尔,Seychelles,108_莫桑比克,Mozambique,0.0,0.0,,平手|0,输,大,负
1402592.0,1311.0,2017/06/27 01:30,5295.0,5289.0,2-0,1-0,南非洲杯,SACC,109_马达加斯加,Madagascar,192_塞舌尔,Seychelles,0.0,0.0,,半球/一球|0.5/1,输,小,负
1392568.0,93.0,2017/06/10 04:00,734.0,5289.0,5-1,3-0,非洲杯,CAF NC,89_利比亚,Libya,192_塞舌尔,Seychelles,0.0,0.0,,球半/两球|1.5/2,输,大,负
1380942.0,1052.0,2017/04/29 18:00,5289.0,4638.0,1-1,0-1,非国锦标,CAF SC,192_塞舌尔,Seychelles,157_毛里求斯,Mauritius,0.0,0.0,,,,,平
1380667.0,1052.0,2017/04/22 20:00,4638.0,5289.0,2-1,1-0,非国锦标,CAF SC,157_毛里求斯,Mauritius,192_塞舌尔,Seychelles,0.0,0.0,,,,,负
1129695.0,93.0,2016/09/03 21:10,4637.0,5289.0,2-1,1-1,非洲杯,CAF NC,137_埃塞俄比亚,Ethiopia,192_塞舌尔,Seychelles,0.0,0.0,,球半|1.5,赢,大,负
1247580.0,1366.0,2016/06/15 23:59,14862.0,5289.0,5-0,2-0,国际友谊,INT FRL,106_津巴布韦,Zimbabwe,192_塞舌尔,Seychelles,0.0,0.0,,,,,负
1245975.0,1366.0,2016/06/13 23:59,4636.0,5289.0,4-0,2-0,国际友谊,INT FRL,132_斯威士兰,Swaziland,192_塞舌尔,Seychelles,0.0,0.0,,,,,负
1245823.0,41.0,2016/06/12 00:30,5289.0,5295.0,0-1,0-1,球会友谊,INT CF,192_塞舌尔,Seychelles,109_马达加斯加,Madagascar,0.0,0.0,,,,,负
1129693.0,93.0,2016/06/02 22:00,5289.0,18406.0,0-2,0-1,非洲杯,CAF NC,192_塞舌尔,Seychelles,57_阿尔及利亚,Algeria,0.0,0.0,,受让球半/两球|-1.5/-2,输,小,负
1129691.0,93.0,2016/03/29 21:00,5296.0,5289.0,2-1,1-1,非洲杯,CAF NC,145_莱索托,Lesotho,192_塞舌尔,Seychelles,0.0,0.0,,半球|0.5,输,大,负
1129689.0,93.0,2016/03/26 20:30,5289.0,5296.0,2-0,1-0,非洲杯,CAF NC,192_塞舌尔,Seychelles,145_莱索托,Lesotho,0.0,0.0,,平手|0,赢,走,胜
1190096.0,651.0,2015/10/13 21:00,5294.0,5289.0,2-0,0-0,非洲预选,WCPAF,143_布隆迪,Burundi,192_塞舌尔,Seychelles,0.0,0.0,,球半|1.5,输,小,负
1190116.0,651.0,2015/10/07 20:30,5289.0,5294.0,0-1,0-1,非洲预选,WCPAF,192_塞舌尔,Seychelles,143_布隆迪,Burundi,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1129687.0,93.0,2015/09/05 21:00,5289.0,4637.0,1-1,1-0,非洲杯,CAF NC,192_塞舌尔,Seychelles,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,平
1166785.0,41.0,2015/08/02 23:59,882.0,5289.0,4-1,0-0,球会友谊,INT CF,150_马尔代夫,Maldives,192_塞舌尔,Seychelles,0.0,0.0,,,,,负
1130054.0,1052.0,2015/07/04 20:30,5289.0,5292.0,0-4,0-4,非国锦标,CAF SC,192_塞舌尔,Seychelles,108_莫桑比克,Mozambique,0.0,0.0,,,,,负
1130048.0,1052.0,2015/06/20 21:00,5292.0,5289.0,5-1,3-0,非国锦标,CAF SC,108_莫桑比克,Mozambique,192_塞舌尔,Seychelles,0.0,0.0,,,,,负
1129684.0,93.0,2015/06/14 03:30,18406.0,5289.0,4-0,2-0,非洲杯,CAF NC,57_阿尔及利亚,Algeria,192_塞舌尔,Seychelles,0.0,0.0,,两球/两球半|2/2.5,输,大,负
1128036.0,1311.0,2015/05/21 23:00,5289.0,4638.0,0-1,0-0,南非洲杯,SACC,192_塞舌尔,Seychelles,157_毛里求斯,Mauritius,1.0,0.0,,平手/半球|0/0.5,输,小,负
1127979.0,1311.0,2015/05/19 23:00,5289.0,14862.0,0-1,0-0,南非洲杯,SACC,192_塞舌尔,Seychelles,106_津巴布韦,Zimbabwe,0.0,0.0,,,,,负
1127474.0,1311.0,2015/05/17 21:00,4494.0,5289.0,0-0,0-0,南非洲杯,SACC,111_纳米比亚,Namibia,192_塞舌尔,Seychelles,0.0,0.0,,,,,平
1111771.0,1366.0,2015/03/29 20:30,5289.0,14879.0,0-2,0-0,国际友谊,INT FRL,192_塞舌尔,Seychelles,220_弱鸡,Kenya U23,0.0,0.0,,,,,负
1111354.0,1366.0,2015/03/28 20:30,5289.0,921.0,0-2,0-0,国际友谊,INT FRL,192_塞舌尔,Seychelles,105_肯尼亚,Kenya,0.0,0.0,,,,,负
1050572.0,1366.0,2014/08/28 21:30,5289.0,824.0,3-0,1-0,国际友谊,INT FRL,192_塞舌尔,Seychelles,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,胜
1048734.0,1366.0,2014/08/26 21:40,5289.0,824.0,1-2,1-0,国际友谊,INT FRL,192_塞舌尔,Seychelles,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,负
1008063.0,93.0,2014/08/02 20:30,5289.0,5290.0,0-3,0-0,非洲杯,CAF NC,192_塞舌尔,Seychelles,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,负
1008052.0,93.0,2014/07/20 00:15,5290.0,5289.0,2-0,0-0,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,192_塞舌尔,Seychelles,0.0,0.0,,两球|2,走,小,负
