赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1183452.0,649.0,2015/09/04 10:30,8035.0,8034.0,2-0,0-0,大洋预选,WCPO,194_美属萨摩亚,American Samoa,194_库克,Cook Islands,1.0,0.0,,,,,胜
1183451.0,649.0,2015/09/02 10:30,8033.0,8035.0,1-2,0-0,大洋预选,WCPO,206_汤加,Tonga,194_美属萨摩亚,American Samoa,0.0,0.0,,,,,胜
1183449.0,649.0,2015/08/31 10:30,8032.0,8035.0,3-2,3-1,大洋预选,WCPO,194_萨摩亚,Samoa,194_美属萨摩亚,American Samoa,1.0,0.0,,,,,负
1181185.0,1366.0,2015/08/27 15:00,6124.0,8035.0,6-0,1-0,国际友谊,INT FRL,168_斐济,Fiji,194_美属萨摩亚,American Samoa,1.0,1.0,,,,,负
653679.0,649.0,2011/11/27 11:30,8032.0,8035.0,1-0,0-0,大洋预选,WCPO,194_萨摩亚,Samoa,194_美属萨摩亚,American Samoa,0.0,0.0,,,,,负
653677.0,649.0,2011/11/25 09:00,8035.0,8034.0,1-1,1-0,大洋预选,WCPO,194_美属萨摩亚,American Samoa,194_库克,Cook Islands,0.0,0.0,,,,,平
653675.0,649.0,2011/11/23 09:00,8035.0,8033.0,2-1,1-0,大洋预选,WCPO,194_美属萨摩亚,American Samoa,206_汤加,Tonga,0.0,0.0,,,,,胜
203942.0,649.0,2007/09/02 07:30,8033.0,8035.0,4-0,1-0,大洋预选,WCPO,206_汤加,Tonga,194_美属萨摩亚,American Samoa,0.0,0.0,,,,,负
203940.0,649.0,2007/08/30 10:00,8035.0,6661.0,0-15,0-5,大洋预选,WCPO,194_美属萨摩亚,American Samoa,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,负
203939.0,649.0,2007/08/28 15:30,8032.0,8035.0,7-0,3-0,大洋预选,WCPO,194_萨摩亚,Samoa,194_美属萨摩亚,American Samoa,0.0,0.0,,,,,负
203936.0,649.0,2007/08/26 10:00,2865.0,8035.0,12-1,5-0,大洋预选,WCPO,151_所罗门群岛,Solomon Islands,194_美属萨摩亚,American Samoa,0.0,0.0,,,,,负
