赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1183452.0,649.0,2015/09/04 10:30,8035.0,8034.0,2-0,0-0,大洋预选,WCPO,194_美属萨摩亚,American Samoa,194_库克,Cook Islands,1.0,0.0,,,,,负
1183450.0,649.0,2015/09/02 08:00,8034.0,8032.0,1-0,1-0,大洋预选,WCPO,194_库克,Cook Islands,194_萨摩亚,Samoa,0.0,0.0,,,,,胜
1183448.0,649.0,2015/08/31 08:00,8033.0,8034.0,0-3,0-1,大洋预选,WCPO,206_汤加,Tonga,194_库克,Cook Islands,0.0,0.0,,,,,胜
653680.0,649.0,2011/11/27 09:00,8033.0,8034.0,2-1,1-1,大洋预选,WCPO,206_汤加,Tonga,194_库克,Cook Islands,0.0,0.0,,,,,负
653677.0,649.0,2011/11/25 09:00,8035.0,8034.0,1-1,1-0,大洋预选,WCPO,194_美属萨摩亚,American Samoa,194_库克,Cook Islands,0.0,0.0,,,,,平
653676.0,649.0,2011/11/23 11:30,8034.0,8032.0,2-3,1-2,大洋预选,WCPO,194_库克,Cook Islands,194_萨摩亚,Samoa,0.0,0.0,,,,,负
203933.0,649.0,2007/09/04 10:00,8034.0,8030.0,0-1,0-0,大洋预选,WCPO,194_库克,Cook Islands,152_塔希提群岛,Tahiti,0.0,0.0,,,,,负
203930.0,649.0,2007/09/02 07:30,8034.0,8059.0,4-1,1-0,大洋预选,WCPO,194_库克,Cook Islands,220_弱鸡,Tuvalu,0.0,0.0,,,,,胜
203929.0,649.0,2007/08/30 13:00,6662.0,8034.0,3-0,1-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,194_库克,Cook Islands,0.0,0.0,,,,,负
203927.0,649.0,2007/08/28 13:00,6124.0,8034.0,4-0,2-0,大洋预选,WCPO,168_斐济,Fiji,194_库克,Cook Islands,0.0,0.0,,,,,负
