赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1243609.0,649.0,2016/06/05 14:10,8031.0,8032.0,8-0,2-0,大洋预选,WCPO,158_巴布亚新几内亚,Papua New Guinea,194_萨摩亚,Samoa,0.0,1.0,,,,,负
1243608.0,649.0,2016/06/01 17:00,6662.0,8032.0,7-0,4-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,194_萨摩亚,Samoa,0.0,0.0,,,,,负
1243606.0,649.0,2016/05/29 17:00,8030.0,8032.0,4-0,4-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,194_萨摩亚,Samoa,0.0,0.0,,,,,负
1183453.0,649.0,2015/09/04 08:00,8033.0,8032.0,0-3,0-2,大洋预选,WCPO,206_汤加,Tonga,194_萨摩亚,Samoa,0.0,0.0,,,,,胜
1183450.0,649.0,2015/09/02 08:00,8034.0,8032.0,1-0,1-0,大洋预选,WCPO,194_库克,Cook Islands,194_萨摩亚,Samoa,0.0,0.0,,,,,负
1183449.0,649.0,2015/08/31 10:30,8032.0,8035.0,3-2,3-1,大洋预选,WCPO,194_萨摩亚,Samoa,194_美属萨摩亚,American Samoa,1.0,0.0,,,,,胜
707731.0,649.0,2012/06/05 09:00,6662.0,8032.0,9-0,6-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,194_萨摩亚,Samoa,0.0,0.0,,,,,负
707729.0,649.0,2012/06/03 09:00,6661.0,8032.0,5-0,2-0,大洋预选,WCPO,156_瓦努阿图,Vanuatu,194_萨摩亚,Samoa,0.0,0.0,,,,,负
707727.0,649.0,2012/06/01 09:00,8032.0,8030.0,1-10,0-4,大洋预选,WCPO,194_萨摩亚,Samoa,152_塔希提群岛,Tahiti,0.0,0.0,,,,,负
653679.0,649.0,2011/11/27 11:30,8032.0,8035.0,1-0,0-0,大洋预选,WCPO,194_萨摩亚,Samoa,194_美属萨摩亚,American Samoa,0.0,0.0,,,,,胜
653678.0,649.0,2011/11/25 11:30,8032.0,8033.0,1-1,1-0,大洋预选,WCPO,194_萨摩亚,Samoa,206_汤加,Tonga,0.0,0.0,,,,,平
653676.0,649.0,2011/11/23 11:30,8034.0,8032.0,2-3,1-2,大洋预选,WCPO,194_库克,Cook Islands,194_萨摩亚,Samoa,0.0,0.0,,,,,胜
203945.0,649.0,2007/09/04 07:30,8032.0,2865.0,0-3,0-2,大洋预选,WCPO,194_萨摩亚,Samoa,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,负
203941.0,649.0,2007/08/30 15:30,8032.0,8033.0,2-1,1-0,大洋预选,WCPO,194_萨摩亚,Samoa,206_汤加,Tonga,0.0,0.0,,,,,胜
203939.0,649.0,2007/08/28 15:30,8032.0,8035.0,7-0,3-0,大洋预选,WCPO,194_萨摩亚,Samoa,194_美属萨摩亚,American Samoa,0.0,0.0,,,,,胜
203937.0,649.0,2007/08/26 15:30,8032.0,6661.0,0-4,0-2,大洋预选,WCPO,194_萨摩亚,Samoa,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,负
