赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1521976.0,1366.0,2018/03/27 19:00,880.0,3352.0,2-2,2-0,国际友谊,INT FRL,183_老挝,Laos,197_孟加拉国,Bangladesh,0.0,0.0,,,,,平
1523980.0,1366.0,2018/03/23 17:30,9960.0,3352.0,3-4,1-3,国际友谊,INT FRL,220_弱鸡,Bangkok Glass,197_孟加拉国,Bangladesh,0.0,0.0,,,,,胜
1307449.0,95.0,2016/10/10 20:00,7818.0,3352.0,3-1,2-0,亚洲杯,AFC,188_不丹,Bhutan,197_孟加拉国,Bangladesh,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1307447.0,95.0,2016/09/06 21:00,3352.0,7818.0,0-0,0-0,亚洲杯,AFC,197_孟加拉国,Bangladesh,188_不丹,Bhutan,0.0,0.0,,两球/两球半|2/2.5,输,小,平
1306168.0,1366.0,2016/09/01 23:59,882.0,3352.0,5-0,0-0,国际友谊,INT FRL,150_马尔代夫,Maldives,197_孟加拉国,Bangladesh,0.0,0.0,,,,,负
1243719.0,95.0,2016/06/07 18:30,3352.0,884.0,0-1,0-1,亚洲杯,AFC,197_孟加拉国,Bangladesh,126_塔吉克斯坦,Tajikistan,0.0,0.0,,受让球半|-1.5,赢,小,负
1243716.0,95.0,2016/06/02 23:00,884.0,3352.0,5-0,3-0,亚洲杯,AFC,126_塔吉克斯坦,Tajikistan,197_孟加拉国,Bangladesh,0.0,0.0,,,,,负
1124619.0,648.0,2016/03/24 20:30,881.0,3352.0,8-0,5-0,亚洲预选,FIFA WCQL,113_约旦,Jordan,197_孟加拉国,Bangladesh,0.0,0.0,,三球/三球半|3/3.5,输,大,负
1228340.0,1366.0,2016/03/18 23:00,887.0,3352.0,6-1,1-1,国际友谊,INT FRL,78_阿联酋,United Arab Emirates,197_孟加拉国,Bangladesh,0.0,0.0,,两球半/三球|2.5/3,输,大,负
1206127.0,1366.0,2016/01/18 19:30,3352.0,900.0,0-1,0-1,国际友谊,INT FRL,197_孟加拉国,Bangladesh,122_巴林,Bahrain,0.0,0.0,,,,,负
1205227.0,1366.0,2016/01/15 20:30,3352.0,6650.0,0-0,0-0,国际友谊,INT FRL,197_孟加拉国,Bangladesh,165_尼泊尔,Nepal,0.0,0.0,,半球|0.5,输,小,平
1205265.0,41.0,2016/01/13 20:30,3352.0,7212.0,1-1,0-0,球会友谊,INT CF,197_孟加拉国,Bangladesh,220_弱鸡,Felda United,0.0,0.0,,半球/一球|0.5/1,输,小,平
1204687.0,1366.0,2016/01/08 16:55,3352.0,824.0,4-2,3-1,国际友谊,INT FRL,197_孟加拉国,Bangladesh,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,胜
1202526.0,307.0,2015/12/28 18:00,7818.0,3352.0,0-3,0-2,黄金杯,SAFF,188_不丹,Bhutan,197_孟加拉国,Bangladesh,1.0,0.0,,受让球半|-1.5,赢,走,胜
1202525.0,307.0,2015/12/26 18:00,882.0,3352.0,3-1,1-0,黄金杯,SAFF,150_马尔代夫,Maldives,197_孟加拉国,Bangladesh,0.0,0.0,,一球/球半|1/1.5,输,大,负
