赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1244344.0,188.0,2016/06/08 08:00,17976.0,7295.0,7-0,4-0,美加杯,CGC CZ,84_库拉索,Curacao,198_美属维津群岛,US Virgin Islands,0.0,0.0,,,,,负
1244343.0,188.0,2016/06/05 04:15,7295.0,8029.0,0-7,0-4,美加杯,CGC CZ,198_美属维津群岛,US Virgin Islands,164_圭亚那,Guyana,0.0,0.0,,,,,负
1229852.0,188.0,2016/03/30 04:15,7295.0,7296.0,1-2,0-1,美加杯,CGC CZ,198_美属维津群岛,US Virgin Islands,159_格瑞那达,Grenada,0.0,0.0,,,,,负
1229851.0,188.0,2016/03/27 08:00,26522.0,7295.0,1-2,0-0,美加杯,CGC CZ,220_弱鸡,Sint Maarten,198_美属维津群岛,US Virgin Islands,0.0,0.0,,,,,胜
1110379.0,653.0,2015/03/27 03:30,7295.0,1992.0,0-4,0-2,北美预选,WCPCA,198_美属维津群岛,US Virgin Islands,155_巴巴多斯,Barbados,0.0,0.0,,,,,负
1109724.0,653.0,2015/03/23 07:00,1992.0,7295.0,0-1,0-1,北美预选,WCPCA,155_巴巴多斯,Barbados,198_美属维津群岛,US Virgin Islands,1.0,0.0,,,,,胜
984956.0,188.0,2014/06/02 07:00,19782.0,7295.0,2-1,2-0,美加杯,CGC CZ,220_弱鸡,Bonaire,198_美属维津群岛,US Virgin Islands,0.0,0.0,,,,,负
984945.0,188.0,2014/05/31 07:00,7304.0,7295.0,1-0,0-0,美加杯,CGC CZ,199_蒙塞拉特岛,Montserrat,198_美属维津群岛,US Virgin Islands,0.0,0.0,,,,,负
646979.0,653.0,2011/11/16 08:00,17976.0,7295.0,6-1,2-0,北美预选,WCPCA,84_库拉索,Curacao,198_美属维津群岛,US Virgin Islands,1.0,0.0,,,,,负
646978.0,653.0,2011/11/12 04:15,7295.0,17976.0,0-3,0-3,北美预选,WCPCA,198_美属维津群岛,US Virgin Islands,84_库拉索,Curacao,0.0,0.0,,,,,负
640901.0,653.0,2011/10/12 07:00,8028.0,7295.0,10-0,5-0,北美预选,WCPCA,139_安提瓜和巴布达,Antigua   Barbuda,198_美属维津群岛,US Virgin Islands,0.0,0.0,,,,,负
637927.0,653.0,2011/10/08 04:00,7295.0,909.0,0-7,0-2,北美预选,WCPCA,198_美属维津群岛,US Virgin Islands,87_海地,Haiti,0.0,0.0,,,,,负
621680.0,653.0,2011/09/07 03:30,7295.0,8028.0,1-8,0-2,北美预选,WCPCA,198_美属维津群岛,US Virgin Islands,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,负
619701.0,653.0,2011/09/03 04:00,909.0,7295.0,6-0,3-0,北美预选,WCPCA,87_海地,Haiti,198_美属维津群岛,US Virgin Islands,0.0,0.0,,,,,负
558686.0,653.0,2011/07/11 03:00,7302.0,7295.0,1-2,1-1,北美预选,WCPCA,205_英属维津群岛,British Virgin Islands,198_美属维津群岛,US Virgin Islands,0.0,0.0,,,,,胜
558682.0,653.0,2011/07/04 04:00,7295.0,7302.0,2-0,1-0,北美预选,WCPCA,198_美属维津群岛,US Virgin Islands,205_英属维津群岛,British Virgin Islands,0.0,1.0,,,,,胜
479925.0,175.0,2010/10/11 05:00,9975.0,7295.0,7-0,2-0,美青杯,CNCF U20Q,220_弱鸡,Grenada U20,198_美属维津群岛,US Virgin Islands,0.0,0.0,,,,,负
479923.0,175.0,2010/10/09 05:00,7295.0,5053.0,0-13,0-5,美青杯,CNCF U20Q,198_美属维津群岛,US Virgin Islands,220_弱鸡,Jamaica U20,0.0,0.0,,,,,负
479870.0,175.0,2010/10/07 07:00,9976.0,7295.0,5-1,2-1,美青杯,CNCF U20Q,220_弱鸡,Guyana U23,198_美属维津群岛,US Virgin Islands,0.0,0.0,,,,,负
185403.0,653.0,2008/03/27 03:00,7296.0,7295.0,10-0,5-0,北美预选,WCPCA,159_格瑞那达,Grenada,198_美属维津群岛,US Virgin Islands,0.0,0.0,,,,,负
