赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1110190.0,653.0,2015/04/01 07:00,7304.0,17976.0,2-2,0-1,北美预选,WCPCA,199_蒙塞拉特岛,Montserrat,84_库拉索,Curacao,0.0,0.0,,,,,平
1110382.0,653.0,2015/03/28 08:00,17976.0,7304.0,2-1,2-1,北美预选,WCPCA,84_库拉索,Curacao,199_蒙塞拉特岛,Montserrat,0.0,0.0,,,,,负
984957.0,188.0,2014/06/04 07:00,7304.0,19782.0,0-0,0-0,美加杯,CGC CZ,199_蒙塞拉特岛,Montserrat,220_弱鸡,Bonaire,0.0,0.0,,,,,平
984945.0,188.0,2014/05/31 07:00,7304.0,7295.0,1-0,0-0,美加杯,CGC CZ,199_蒙塞拉特岛,Montserrat,198_美属维津群岛,US Virgin Islands,0.0,0.0,,,,,胜
777673.0,188.0,2012/09/10 07:00,7302.0,7304.0,0-7,0-0,美加杯,CGC CZ,205_英属维津群岛,British Virgin Islands,199_蒙塞拉特岛,Montserrat,0.0,0.0,,,,,胜
777672.0,188.0,2012/09/08 08:00,16239.0,7304.0,5-0,3-0,美加杯,CGC CZ,220_弱鸡,Martinique,199_蒙塞拉特岛,Montserrat,0.0,0.0,,,,,负
777669.0,188.0,2012/09/06 06:00,7304.0,8027.0,1-7,0-2,美加杯,CGC CZ,199_蒙塞拉特岛,Montserrat,160_苏利南共和国,Suriname,0.0,0.0,,,,,负
558680.0,653.0,2011/06/20 04:00,5092.0,7304.0,3-1,1-0,北美预选,WCPCA,171_伯利兹,Belize,199_蒙塞拉特岛,Montserrat,0.0,0.0,,,,,负
558679.0,653.0,2011/06/16 06:00,7304.0,5092.0,2-5,1-1,北美预选,WCPCA,199_蒙塞拉特岛,Montserrat,171_伯利兹,Belize,0.0,0.0,,,,,负
479400.0,188.0,2010/10/11 06:00,821.0,7304.0,3-0,3-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,199_蒙塞拉特岛,Montserrat,0.0,0.0,,,,,负
479398.0,188.0,2010/10/09 06:00,1992.0,7304.0,5-0,2-0,美加杯,CGC CZ,155_巴巴多斯,Barbados,199_蒙塞拉特岛,Montserrat,0.0,0.0,,,,,负
479397.0,188.0,2010/10/07 08:30,1494.0,7304.0,7-0,0-0,美加杯,CGC CZ,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,199_蒙塞拉特岛,Montserrat,0.0,0.0,,,,,负
