赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502141.0,1864.0,2018/11/17 03:45,7384.0,638.0,,,欧国联,UEFA  NL,19_威尔士,Wales,12_丹麦,Denmark,0.0,0.0,,,,,
1502140.0,1864.0,2018/10/17 02:45,630.0,7384.0,,,欧国联,UEFA  NL,32_爱尔兰,Ireland,19_威尔士,Wales,0.0,0.0,,,,,
1502138.0,1864.0,2018/09/09 23:59,638.0,7384.0,,,欧国联,UEFA  NL,12_丹麦,Denmark,19_威尔士,Wales,0.0,0.0,,,,,
1502137.0,1864.0,2018/09/07 02:45,7384.0,630.0,,,欧国联,UEFA  NL,19_威尔士,Wales,32_爱尔兰,Ireland,0.0,0.0,,,,,
1543733.0,1366.0,2018/05/29 09:00,819.0,7384.0,0-0,0-0,国际友谊,INT FRL,17_墨西哥,Mexico,19_威尔士,Wales,0.0,0.0,,一球|1,赢,小,平
1524408.0,1726.0,2018/03/26 19:35,7384.0,767.0,0-1,0-0,中国杯,China Cup,19_威尔士,Wales,22_乌拉圭,Uruguay,0.0,0.0,,受让半球|-0.5,输,小,负
1518978.0,1726.0,2018/03/22 19:35,896.0,7384.0,0-6,0-4,中国杯,China Cup,70_中国,China,19_威尔士,Wales,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1477411.0,1366.0,2017/11/15 03:45,7384.0,798.0,1-1,0-0,国际友谊,INT FRL,19_威尔士,Wales,53_巴拿马,Panama,0.0,0.0,,半球/一球|0.5/1,输,小,平
1476828.0,1366.0,2017/11/11 04:00,649.0,7384.0,2-0,1-0,国际友谊,INT FRL,9_法国,France,19_威尔士,Wales,0.0,0.0,,一球/球半|1/1.5,输,小,负
1198499.0,650.0,2017/10/10 02:45,7384.0,630.0,0-1,0-0,欧洲预选,WCPEU,19_威尔士,Wales,32_爱尔兰,Ireland,0.0,0.0,,平手/半球|0/0.5,输,小,负
1198494.0,650.0,2017/10/06 23:59,901.0,7384.0,0-1,0-0,欧洲预选,WCPEU,104_格鲁吉亚,Georgia,19_威尔士,Wales,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1198491.0,650.0,2017/09/06 02:45,751.0,7384.0,0-2,0-0,欧洲预选,WCPEU,166_摩尔多瓦,Moldova,19_威尔士,Wales,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,胜
1198490.0,650.0,2017/09/03 02:45,7384.0,647.0,1-0,0-0,欧洲预选,WCPEU,19_威尔士,Wales,29_奥地利,Austria,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1198487.0,650.0,2017/06/12 02:45,642.0,7384.0,1-1,0-1,欧洲预选,WCPEU,37_塞尔维亚,Serbia,19_威尔士,Wales,0.0,0.0,,半球|0.5,赢,小,平
1198483.0,650.0,2017/03/25 03:45,630.0,7384.0,0-0,0-0,欧洲预选,WCPEU,32_爱尔兰,Ireland,19_威尔士,Wales,0.0,1.0,,平手/半球|0/0.5,赢,小,平
1198481.0,650.0,2016/11/13 03:45,7384.0,642.0,1-1,1-0,欧洲预选,WCPEU,19_威尔士,Wales,37_塞尔维亚,Serbia,0.0,0.0,,平手/半球|0/0.5,输,小,平
1198476.0,650.0,2016/10/09 23:59,7384.0,901.0,1-1,1-0,欧洲预选,WCPEU,19_威尔士,Wales,104_格鲁吉亚,Georgia,0.0,0.0,,球半|1.5,输,小,平
1198475.0,650.0,2016/10/07 02:45,647.0,7384.0,2-2,1-2,欧洲预选,WCPEU,29_奥地利,Austria,19_威尔士,Wales,0.0,0.0,,平手/半球|0/0.5,赢,大,平
1198471.0,650.0,2016/09/06 02:45,7384.0,751.0,4-0,2-0,欧洲预选,WCPEU,19_威尔士,Wales,166_摩尔多瓦,Moldova,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1259383.0,67.0,2016/07/07 03:00,765.0,7384.0,2-0,0-0,欧洲杯,EURO  Cup,3_葡萄牙,Portugal,19_威尔士,Wales,0.0,0.0,,半球|0.5,输,走,负
1256477.0,67.0,2016/07/02 03:00,7384.0,645.0,3-1,1-1,欧洲杯,EURO  Cup,19_威尔士,Wales,5_比利时,Belgium,0.0,0.0,,受让半球|-0.5,赢,大,胜
1252621.0,67.0,2016/06/25 23:59,7384.0,759.0,1-0,0-0,欧洲杯,EURO  Cup,19_威尔士,Wales,25_北爱尔兰,Northern Ireland,0.0,0.0,,半球|0.5,赢,小,胜
1201927.0,67.0,2016/06/21 03:00,746.0,7384.0,0-3,0-2,欧洲杯,EURO  Cup,62_俄罗斯,Russia,19_威尔士,Wales,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1201928.0,67.0,2016/06/16 21:00,744.0,7384.0,2-1,0-1,欧洲杯,EURO  Cup,16_英格兰,England,19_威尔士,Wales,0.0,0.0,,半球/一球|0.5/1,输,大,负
1201868.0,67.0,2016/06/11 23:59,7384.0,752.0,2-1,1-0,欧洲杯,EURO  Cup,19_威尔士,Wales,28_斯洛伐克,Slovakia,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1244114.0,1366.0,2016/06/05 22:00,644.0,7384.0,3-0,1-0,国际友谊,INT FRL,18_瑞典,Sweden,19_威尔士,Wales,0.0,0.0,,半球|0.5,输,大,负
1229368.0,1366.0,2016/03/29 02:00,634.0,7384.0,1-0,1-0,国际友谊,INT FRL,35_乌克兰,Ukraine,19_威尔士,Wales,0.0,0.0,,半球/一球|0.5/1,输,小,负
1229367.0,1366.0,2016/03/25 03:45,7384.0,759.0,1-1,0-0,国际友谊,INT FRL,19_威尔士,Wales,25_北爱尔兰,Northern Ireland,0.0,0.0,,半球|0.5,输,小,平
