赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1328392.0,1702.0,2016/11/09 19:30,824.0,3325.0,1-1,1-0,亚足杯,Sub foot cup,200_斯里兰卡,Sri Lanka,186_中国澳门,Macau of China,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,平
1328295.0,1702.0,2016/11/06 19:30,5768.0,824.0,2-0,0-0,亚足杯,Sub foot cup,189_蒙古,Mongolia,200_斯里兰卡,Sri Lanka,0.0,0.0,,平手/半球|0/0.5,输,小,负
1327252.0,1702.0,2016/11/03 16:30,824.0,880.0,1-2,0-0,亚足杯,Sub foot cup,200_斯里兰卡,Sri Lanka,183_老挝,Laos,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,负
1322108.0,1366.0,2016/10/09 19:30,1565.0,824.0,4-0,2-0,国际友谊,INT FRL,172_柬埔寨,Cambodia,200_斯里兰卡,Sri Lanka,0.0,0.0,,球半|1.5,输,大,负
1205217.0,41.0,2016/01/15 17:00,10790.0,824.0,1-2,0-1,球会友谊,INT CF,220_弱鸡,Malaysia XI,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,胜
1205180.0,41.0,2016/01/13 17:00,6650.0,824.0,1-0,1-0,球会友谊,INT CF,165_尼泊尔,Nepal,200_斯里兰卡,Sri Lanka,0.0,0.0,,平手/半球|0/0.5,输,小,负
1204687.0,1366.0,2016/01/08 16:55,3352.0,824.0,4-2,3-1,国际友谊,INT FRL,197_孟加拉国,Bangladesh,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,负
1203833.0,307.0,2015/12/31 21:00,6651.0,824.0,5-0,1-0,黄金杯,SAFF,148_阿富汗,Afghanistan,200_斯里兰卡,Sri Lanka,0.0,0.0,,两球半/三球|2.5/3,输,大,负
1202518.0,307.0,2015/12/25 21:00,893.0,824.0,2-0,0-0,黄金杯,SAFF,102_印度,India,200_斯里兰卡,Sri Lanka,0.0,0.0,,两球/两球半|2/2.5,赢,小,负
1202517.0,307.0,2015/12/23 21:00,6650.0,824.0,0-1,0-0,黄金杯,SAFF,165_尼泊尔,Nepal,200_斯里兰卡,Sri Lanka,0.0,0.0,,半球|0.5,赢,小,胜
1107459.0,648.0,2015/03/17 18:00,7818.0,824.0,2-1,1-1,亚洲预选,FIFA WCQL,188_不丹,Bhutan,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,负
1106072.0,648.0,2015/03/12 17:30,824.0,7818.0,0-1,0-0,亚洲预选,FIFA WCQL,200_斯里兰卡,Sri Lanka,188_不丹,Bhutan,0.0,0.0,,两球半/三球|2.5/3,输,小,负
1088538.0,1366.0,2015/02/02 19:00,3352.0,824.0,1-0,1-0,国际友谊,INT FRL,197_孟加拉国,Bangladesh,200_斯里兰卡,Sri Lanka,0.0,0.0,,半球|0.5,输,小,负
1086776.0,1366.0,2015/01/31 19:00,5228.0,824.0,2-0,1-0,国际友谊,INT FRL,220_弱鸡,Malaysia U21,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,负
1067559.0,1366.0,2014/10/27 17:00,3352.0,824.0,1-0,0-0,国际友谊,INT FRL,197_孟加拉国,Bangladesh,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,负
1067354.0,1366.0,2014/10/24 17:30,3352.0,824.0,1-1,1-1,国际友谊,INT FRL,197_孟加拉国,Bangladesh,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,平
1050572.0,1366.0,2014/08/28 21:30,5289.0,824.0,3-0,1-0,国际友谊,INT FRL,192_塞舌尔,Seychelles,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,负
1048734.0,1366.0,2014/08/26 21:40,5289.0,824.0,1-2,1-0,国际友谊,INT FRL,192_塞舌尔,Seychelles,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,胜
983324.0,41.0,2014/05/17 22:00,824.0,881.0,0-4,0-2,球会友谊,INT CF,200_斯里兰卡,Sri Lanka,113_约旦,Jordan,0.0,0.0,,,,,负
982853.0,41.0,2014/05/15 01:30,879.0,824.0,3-0,1-0,球会友谊,INT CF,75_巴勒斯坦,Palestine,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,负
916287.0,307.0,2013/09/06 17:45,824.0,7818.0,5-2,3-1,黄金杯,SAFF,200_斯里兰卡,Sri Lanka,188_不丹,Bhutan,0.0,0.0,,,,,胜
916284.0,307.0,2013/09/04 17:45,824.0,6651.0,1-3,1-0,黄金杯,SAFF,200_斯里兰卡,Sri Lanka,148_阿富汗,Afghanistan,0.0,0.0,,受让三球半/四球|-3.5/-4,赢,小,负
916283.0,307.0,2013/09/02 20:45,882.0,824.0,10-0,3-0,黄金杯,SAFF,150_马尔代夫,Maldives,200_斯里兰卡,Sri Lanka,0.0,1.0,,一球|1,输,大,负
824287.0,251.0,2013/03/06 17:00,824.0,5768.0,3-0,0-0,亚挑杯,AFC CC,200_斯里兰卡,Sri Lanka,189_蒙古,Mongolia,0.0,0.0,,,,大,胜
824691.0,251.0,2013/03/04 20:00,880.0,824.0,4-2,1-0,亚挑杯,AFC CC,183_老挝,Laos,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,大,负
824168.0,251.0,2013/03/02 17:00,6651.0,824.0,1-0,1-0,亚挑杯,AFC CC,148_阿富汗,Afghanistan,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,小,负
823319.0,41.0,2013/02/26 17:00,5179.0,824.0,3-1,1-0,球会友谊,INT CF,220_弱鸡,Super Power Samut Prakan F.C.,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,负
706059.0,41.0,2012/05/20 22:00,824.0,1710.0,0-1,0-0,球会友谊,INT CF,200_斯里兰卡,Sri Lanka,220_弱鸡,Tunisia U20,0.0,0.0,,,,,负
705874.0,41.0,2012/05/18 23:59,879.0,824.0,2-2,1-0,球会友谊,INT CF,75_巴勒斯坦,Palestine,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,平
699085.0,41.0,2012/04/30 20:45,3122.0,824.0,2-0,0-0,球会友谊,INT CF,220_弱鸡,Selangor,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,小,负
697315.0,41.0,2012/04/28 20:45,889.0,824.0,6-0,2-0,球会友谊,INT CF,175_马来西亚,Malaysia,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,大,负
