赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1107458.0,648.0,2015/03/23 23:30,3353.0,877.0,0-0,0-0,亚洲预选,FIFA WCQL,201_巴基斯坦,Pakistan,138_也门,Yemen,0.0,0.0,,受让一球|-1,赢,小,平
1106071.0,648.0,2015/03/12 23:30,877.0,3353.0,3-1,1-0,亚洲预选,FIFA WCQL,138_也门,Yemen,201_巴基斯坦,Pakistan,0.0,0.0,,一球|1,输,大,负
1104525.0,1366.0,2015/03/05 19:00,5198.0,3353.0,2-0,0-0,国际友谊,INT FRL,220_弱鸡,Thailand U23,201_巴基斯坦,Pakistan,0.0,0.0,,,,,负
1090680.0,1366.0,2015/02/06 18:00,3353.0,6651.0,2-1,1-0,国际友谊,INT FRL,201_巴基斯坦,Pakistan,148_阿富汗,Afghanistan,0.0,0.0,,,,,胜
1065649.0,1366.0,2014/10/12 18:00,3353.0,879.0,0-2,0-0,国际友谊,INT FRL,201_巴基斯坦,Pakistan,75_巴勒斯坦,Palestine,0.0,0.0,,受让一球|-1,输,小,负
988048.0,1366.0,2014/06/21 17:30,890.0,3353.0,4-0,2-0,国际友谊,INT FRL,160_印度尼西亚,Indonesia,201_巴基斯坦,Pakistan,0.0,1.0,,一球/球半|1/1.5,输,大,负
983323.0,1366.0,2014/05/18 01:00,879.0,3353.0,3-0,1-0,国际友谊,INT FRL,75_巴勒斯坦,Palestine,201_巴基斯坦,Pakistan,0.0,0.0,,,,,负
982854.0,41.0,2014/05/14 22:00,881.0,3353.0,1-0,1-0,球会友谊,INT CF,113_约旦,Jordan,201_巴基斯坦,Pakistan,0.0,0.0,,,,,负
957960.0,41.0,2014/02/19 23:00,897.0,3353.0,3-1,2-1,球会友谊,INT CF,84_黎巴嫩,Lebanon,201_巴基斯坦,Pakistan,0.0,0.0,,球半|1.5,输,大,负
931651.0,41.0,2013/10/15 19:00,1562.0,3353.0,3-1,1-1,球会友谊,INT CF,123_菲律宾,Philippines,201_巴基斯坦,Pakistan,0.0,0.0,,半球|0.5,输,大,负
931613.0,41.0,2013/10/13 16:00,5288.0,3353.0,0-1,0-1,球会友谊,INT CF,134_中国台北,Chinese Taipei,201_巴基斯坦,Pakistan,0.0,0.0,,平手|0,赢,小,胜
916281.0,307.0,2013/09/05 17:45,3353.0,3352.0,2-1,1-1,黄金杯,SAFF,201_巴基斯坦,Pakistan,197_孟加拉国,Bangladesh,0.0,0.0,,平手|0,赢,大,胜
916279.0,307.0,2013/09/03 20:45,6650.0,3353.0,1-1,0-1,黄金杯,SAFF,165_尼泊尔,Nepal,201_巴基斯坦,Pakistan,0.0,0.0,,半球|0.5,赢,小,平
916277.0,307.0,2013/09/01 20:45,893.0,3353.0,1-0,1-0,黄金杯,SAFF,102_印度,India,201_巴基斯坦,Pakistan,0.0,0.0,,半球/一球|0.5/1,输,小,负
906959.0,41.0,2013/08/20 19:30,6651.0,3353.0,3-0,1-0,球会友谊,INT CF,148_阿富汗,Afghanistan,201_巴基斯坦,Pakistan,0.0,0.0,,,,,负
902059.0,41.0,2013/08/13 19:00,3352.0,3353.0,0-0,0-0,球会友谊,INT CF,197_孟加拉国,Bangladesh,201_巴基斯坦,Pakistan,0.0,0.0,,,,,平
824283.0,251.0,2013/03/21 14:00,3353.0,3325.0,2-0,1-0,亚挑杯,AFC CC,201_巴基斯坦,Pakistan,186_中国澳门,Macau of China,1.0,0.0,,,,小,胜
830500.0,251.0,2013/03/19 18:00,885.0,3353.0,1-0,1-0,亚挑杯,AFC CC,116_吉尔吉斯斯坦,Kyrgyzstan,201_巴基斯坦,Pakistan,0.0,0.0,,,,小,负
824279.0,251.0,2013/03/17 14:00,884.0,3353.0,1-0,0-0,亚挑杯,AFC CC,126_塔吉克斯坦,Tajikistan,201_巴基斯坦,Pakistan,0.0,0.0,,,,小,负
820688.0,41.0,2013/02/14 23:59,882.0,3353.0,3-0,0-0,球会友谊,INT CF,150_马尔代夫,Maldives,201_巴基斯坦,Pakistan,0.0,0.0,,,,,负
818035.0,41.0,2013/02/12 23:59,882.0,3353.0,1-1,0-0,球会友谊,INT CF,150_马尔代夫,Maldives,201_巴基斯坦,Pakistan,0.0,0.0,,,,,平
818804.0,41.0,2013/02/09 16:45,6650.0,3353.0,0-1,0-0,球会友谊,INT CF,165_尼泊尔,Nepal,201_巴基斯坦,Pakistan,0.0,0.0,,,,,胜
817043.0,41.0,2013/02/06 16:50,6650.0,3353.0,0-1,0-0,球会友谊,INT CF,165_尼泊尔,Nepal,201_巴基斯坦,Pakistan,0.0,0.0,,,,,胜
801962.0,41.0,2012/11/19 19:45,892.0,3353.0,4-0,2-0,球会友谊,INT CF,173_新加坡,Singapore,201_巴基斯坦,Pakistan,0.0,0.0,,,,大,负
799045.0,41.0,2012/11/16 19:45,5144.0,3353.0,1-0,1-0,球会友谊,INT CF,220_弱鸡,Singapore U23,201_巴基斯坦,Pakistan,0.0,1.0,,,,小,负
655146.0,307.0,2011/12/06 17:30,6650.0,3353.0,1-1,1-0,黄金杯,SAFF,165_尼泊尔,Nepal,201_巴基斯坦,Pakistan,0.0,0.0,,,,走,平
655145.0,307.0,2011/12/04 20:30,882.0,3353.0,0-0,0-0,黄金杯,SAFF,150_马尔代夫,Maldives,201_巴基斯坦,Pakistan,0.0,0.0,,,,小,平
655142.0,307.0,2011/12/02 17:30,3352.0,3353.0,0-0,0-0,黄金杯,SAFF,197_孟加拉国,Bangladesh,201_巴基斯坦,Pakistan,0.0,0.0,,,,小,平
567925.0,648.0,2011/07/03 23:30,3353.0,3352.0,0-0,0-0,亚洲预选,FIFA WCQL,201_巴基斯坦,Pakistan,197_孟加拉国,Bangladesh,0.0,0.0,,,,小,平
565522.0,648.0,2011/06/29 20:00,3352.0,3353.0,3-0,2-0,亚洲预选,FIFA WCQL,197_孟加拉国,Bangladesh,201_巴基斯坦,Pakistan,0.0,0.0,,,,大,负
531510.0,251.0,2011/03/25 19:30,5288.0,3353.0,0-2,0-1,亚挑杯,AFC CC,134_中国台北,Chinese Taipei,201_巴基斯坦,Pakistan,0.0,0.0,,,,小,胜
531509.0,251.0,2011/03/23 16:00,3353.0,893.0,1-3,1-0,亚挑杯,AFC CC,201_巴基斯坦,Pakistan,102_印度,India,0.0,0.0,,,,大,负
531507.0,251.0,2011/03/21 16:00,825.0,3353.0,3-0,1-0,亚挑杯,AFC CC,114_土库曼斯坦,Turkmenistan,201_巴基斯坦,Pakistan,0.0,0.0,,,,大,负
522003.0,41.0,2011/03/01 22:00,3353.0,879.0,1-2,0-0,球会友谊,INT CF,201_巴基斯坦,Pakistan,75_巴勒斯坦,Palestine,0.0,0.0,,,,,负
355138.0,307.0,2009/12/08 17:00,3353.0,7818.0,7-0,5-0,黄金杯,SAFF,201_巴基斯坦,Pakistan,188_不丹,Bhutan,0.0,0.0,,,,大,胜
355135.0,307.0,2009/12/06 20:00,3352.0,3353.0,0-0,0-0,黄金杯,SAFF,197_孟加拉国,Bangladesh,201_巴基斯坦,Pakistan,0.0,0.0,,,,小,平
355133.0,307.0,2009/12/04 17:00,824.0,3353.0,1-0,1-0,黄金杯,SAFF,200_斯里兰卡,Sri Lanka,201_巴基斯坦,Pakistan,2.0,0.0,,,,,负
304189.0,41.0,2009/07/18 19:15,886.0,3353.0,4-0,3-0,球会友谊,INT CF,129_泰国,Thailand,201_巴基斯坦,Pakistan,0.0,0.0,,,,大,负
304058.0,41.0,2009/07/14 18:00,886.0,3353.0,2-0,2-0,球会友谊,INT CF,129_泰国,Thailand,201_巴基斯坦,Pakistan,0.0,0.0,,,,小,负
274542.0,251.0,2009/04/08 20:00,824.0,3353.0,2-2,1-0,亚挑杯,AFC CC,200_斯里兰卡,Sri Lanka,201_巴基斯坦,Pakistan,0.0,0.0,,,,,平
274540.0,251.0,2009/04/06 20:00,3627.0,3353.0,0-6,0-2,亚挑杯,AFC CC,190_文莱,Brunei Darussalam,201_巴基斯坦,Pakistan,0.0,0.0,,,,,胜
274539.0,251.0,2009/04/04 22:30,3353.0,5288.0,1-1,0-0,亚挑杯,AFC CC,201_巴基斯坦,Pakistan,134_中国台北,Chinese Taipei,0.0,0.0,,,,,平
199592.0,307.0,2008/06/07 19:00,3353.0,6650.0,1-4,0-2,黄金杯,SAFF,201_巴基斯坦,Pakistan,165_尼泊尔,Nepal,0.0,0.0,,,,,负
199589.0,307.0,2008/06/05 19:00,3353.0,893.0,1-2,0-2,黄金杯,SAFF,201_巴基斯坦,Pakistan,102_印度,India,0.0,0.0,,,,,负
199588.0,307.0,2008/06/03 23:59,882.0,3353.0,3-0,1-0,黄金杯,SAFF,150_马尔代夫,Maldives,201_巴基斯坦,Pakistan,0.0,0.0,,,,,负
199814.0,251.0,2008/04/06 16:00,5769.0,3353.0,2-9,0-4,亚挑杯,AFC CC,192_关岛,Guam Island,201_巴基斯坦,Pakistan,0.0,0.0,,,,,胜
199812.0,251.0,2008/04/04 16:00,3353.0,824.0,1-7,1-4,亚挑杯,AFC CC,201_巴基斯坦,Pakistan,200_斯里兰卡,Sri Lanka,0.0,0.0,,,,,负
