赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1523247.0,1366.0,2018/03/23 07:00,7538.0,7298.0,4-0,3-0,国际友谊,INT FRL,160_多米尼加共和国,Dominican Republic,202_特克斯和凯科斯群岛,Turks Caicos Islands,0.0,0.0,,,,,负
1110380.0,653.0,2015/03/27 07:00,7298.0,821.0,2-6,2-3,北美预选,WCPCA,202_特克斯和凯科斯群岛,Turks Caicos Islands,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,,,,负
1110160.0,653.0,2015/03/24 08:00,821.0,7298.0,6-2,3-1,北美预选,WCPCA,110_圣基茨和尼维斯,St. Kitts and Nevis,202_特克斯和凯科斯群岛,Turks Caicos Islands,1.0,0.0,,,,,负
984967.0,188.0,2014/06/04 06:00,7302.0,7298.0,0-2,0-1,美加杯,CGC CZ,205_英属维津群岛,British Virgin Islands,202_特克斯和凯科斯群岛,Turks Caicos Islands,1.0,0.0,,,,,胜
984965.0,188.0,2014/06/02 06:30,7298.0,20412.0,0-6,0-1,美加杯,CGC CZ,202_特克斯和凯科斯群岛,Turks Caicos Islands,220_弱鸡,French Guiana,0.0,0.0,,,,,负
984964.0,188.0,2014/05/31 08:30,7300.0,7298.0,1-0,1-0,美加杯,CGC CZ,180_阿鲁巴,Aruba,202_特克斯和凯科斯群岛,Turks Caicos Islands,0.0,0.0,,,,,负
558685.0,653.0,2011/07/10 04:00,7301.0,7298.0,6-0,2-0,北美预选,WCPCA,206_巴哈马,Bahamas,202_特克斯和凯科斯群岛,Turks Caicos Islands,0.0,0.0,,,,,负
558681.0,653.0,2011/07/03 05:00,7298.0,7301.0,0-4,0-2,北美预选,WCPCA,202_特克斯和凯科斯群岛,Turks Caicos Islands,206_巴哈马,Bahamas,0.0,0.0,,,,,负
185407.0,653.0,2008/03/27 03:00,8026.0,7298.0,2-0,1-0,北美预选,WCPCA,175_圣路西亚,St. Lucia,202_特克斯和凯科斯群岛,Turks Caicos Islands,0.0,0.0,,,,,负
177686.0,653.0,2008/02/07 08:45,7298.0,8026.0,2-1,1-0,北美预选,WCPCA,202_特克斯和凯科斯群岛,Turks Caicos Islands,175_圣路西亚,St. Lucia,0.0,0.0,,,,,胜
