赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1127341.0,1366.0,2015/05/14 04:00,7538.0,7306.0,6-0,3-0,国际友谊,INT FRL,160_多米尼加共和国,Dominican Republic,202_开曼群岛,Cayman Islands,0.0,0.0,,,,,负
1110188.0,653.0,2015/03/30 08:00,7306.0,5092.0,1-1,1-1,北美预选,WCPCA,202_开曼群岛,Cayman Islands,171_伯利兹,Belize,0.0,0.0,,,,,平
1110378.0,653.0,2015/03/26 10:00,5092.0,7306.0,0-0,0-0,北美预选,WCPCA,171_伯利兹,Belize,202_开曼群岛,Cayman Islands,0.0,0.0,,,,,平
646960.0,653.0,2011/11/15 08:30,7306.0,7538.0,1-1,0-1,北美预选,WCPCA,202_开曼群岛,Cayman Islands,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,平
646959.0,653.0,2011/11/12 03:00,7538.0,7306.0,4-0,2-0,北美预选,WCPCA,160_多米尼加共和国,Dominican Republic,202_开曼群岛,Cayman Islands,0.0,0.0,,,,,负
640263.0,653.0,2011/10/12 11:00,796.0,7306.0,4-0,3-0,北美预选,WCPCA,90_萨尔瓦多,El Salvador,202_开曼群岛,Cayman Islands,0.0,0.0,,,,小,负
637919.0,653.0,2011/10/08 08:30,7306.0,8027.0,0-1,0-0,北美预选,WCPCA,202_开曼群岛,Cayman Islands,160_苏利南共和国,Suriname,0.0,0.0,,,,,负
621674.0,653.0,2011/09/07 08:30,7306.0,796.0,1-4,0-0,北美预选,WCPCA,202_开曼群岛,Cayman Islands,90_萨尔瓦多,El Salvador,0.0,0.0,,,,,负
619691.0,653.0,2011/09/03 05:00,8027.0,7306.0,1-0,1-0,北美预选,WCPCA,160_苏利南共和国,Suriname,202_开曼群岛,Cayman Islands,0.0,0.0,,,,,负
479394.0,188.0,2010/10/07 09:15,7492.0,7306.0,2-0,1-0,美加杯,CGC CZ,166_波多黎各,Puerto Rico,202_开曼群岛,Cayman Islands,0.0,1.0,,,,,负
479391.0,188.0,2010/10/05 06:00,7306.0,7297.0,4-1,1-1,美加杯,CGC CZ,202_开曼群岛,Cayman Islands,206_安圭拉,Anguilla,0.0,0.0,,,,,胜
479389.0,188.0,2010/10/03 07:00,15353.0,7306.0,1-1,0-1,美加杯,CGC CZ,220_弱鸡,Saint-Martin,202_开曼群岛,Cayman Islands,1.0,1.0,,,,,平
185414.0,653.0,2008/03/31 08:00,7306.0,5293.0,1-3,0-2,北美预选,WCPCA,202_开曼群岛,Cayman Islands,184_百慕大群岛,Bermuda,0.0,0.0,,,,,负
177692.0,653.0,2008/02/04 03:00,5293.0,7306.0,1-1,1-0,北美预选,WCPCA,184_百慕大群岛,Bermuda,202_开曼群岛,Cayman Islands,0.0,0.0,,,,,平
