赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502207.0,1864.0,2018/11/19 01:00,907.0,750.0,,,欧国联,UEFA  NL,204_圣马力诺,San Marino,93_白俄罗斯,Belarus,0.0,0.0,,,,,
1502206.0,1864.0,2018/11/16 03:45,907.0,751.0,,,欧国联,UEFA  NL,204_圣马力诺,San Marino,166_摩尔多瓦,Moldova,0.0,0.0,,,,,
1502203.0,1864.0,2018/10/16 02:45,749.0,907.0,,,欧国联,UEFA  NL,84_卢森堡,Luxembourg,204_圣马力诺,San Marino,0.0,0.0,,,,,
1502201.0,1864.0,2018/10/13 02:45,751.0,907.0,,,欧国联,UEFA  NL,166_摩尔多瓦,Moldova,204_圣马力诺,San Marino,0.0,0.0,,,,,
1502200.0,1864.0,2018/09/12 02:45,907.0,749.0,,,欧国联,UEFA  NL,204_圣马力诺,San Marino,84_卢森堡,Luxembourg,0.0,0.0,,,,,
1502197.0,1864.0,2018/09/08 23:59,750.0,907.0,,,欧国联,UEFA  NL,93_白俄罗斯,Belarus,204_圣马力诺,San Marino,0.0,0.0,,,,,
1198469.0,650.0,2017/10/09 02:45,747.0,907.0,5-0,3-0,欧洲预选,WCPEU,48_捷克,Czech,204_圣马力诺,San Marino,0.0,0.0,,5.5球|5.5,赢,小,负
1198465.0,650.0,2017/10/06 02:45,907.0,640.0,0-8,0-4,欧洲预选,WCPEU,204_圣马力诺,San Marino,58_挪威,Norway,0.0,0.0,,受让三球|-3,输,大,负
1198461.0,650.0,2017/09/04 23:59,758.0,907.0,5-1,2-0,欧洲预选,WCPEU,118_阿塞拜疆,Azerbaijan,204_圣马力诺,San Marino,0.0,0.0,,两球半|2.5,输,大,负
1198460.0,650.0,2017/09/02 02:45,907.0,759.0,0-3,0-0,欧洲预选,WCPEU,204_圣马力诺,San Marino,25_北爱尔兰,Northern Ireland,0.0,0.0,,受让两球半|-2.5,输,小,负
1198457.0,650.0,2017/06/11 02:45,650.0,907.0,7-0,4-0,欧洲预选,WCPEU,1_德国,Germany,204_圣马力诺,San Marino,0.0,0.0,,7.25球|7.25,赢,小,负
1391412.0,1366.0,2017/06/01 03:30,771.0,907.0,8-0,4-0,国际友谊,INT FRL,14_意大利,Italy,204_圣马力诺,San Marino,0.0,0.0,,四球/四球半|4/4.5,输,大,负
1198453.0,650.0,2017/03/26 23:59,907.0,747.0,0-6,0-5,欧洲预选,WCPEU,204_圣马力诺,San Marino,48_捷克,Czech,0.0,0.0,,受让三球半/四球|-3.5/-4,输,大,负
1370055.0,1366.0,2017/03/20 01:00,907.0,751.0,0-2,0-1,国际友谊,INT FRL,204_圣马力诺,San Marino,166_摩尔多瓦,Moldova,0.0,0.0,,受让球半/两球|-1.5/-2,输,小,负
1360849.0,1366.0,2017/02/23 01:30,907.0,894.0,0-2,0-1,国际友谊,INT FRL,204_圣马力诺,San Marino,136_安道尔,Andorra,0.0,0.0,,受让半球|-0.5,输,小,负
1198451.0,650.0,2016/11/12 03:45,907.0,650.0,0-8,0-3,欧洲预选,WCPEU,204_圣马力诺,San Marino,1_德国,Germany,0.0,0.0,,受让6.25球|-6.25,输,大,负
1198446.0,650.0,2016/10/12 02:45,640.0,907.0,4-1,1-0,欧洲预选,WCPEU,58_挪威,Norway,204_圣马力诺,San Marino,0.0,0.0,,四球|4,赢,大,负
1198444.0,650.0,2016/10/09 02:45,759.0,907.0,4-0,1-0,欧洲预选,WCPEU,25_北爱尔兰,Northern Ireland,204_圣马力诺,San Marino,0.0,1.0,,三球半|3.5,输,小,负
1198440.0,650.0,2016/09/04 23:59,907.0,758.0,0-1,0-1,欧洲预选,WCPEU,204_圣马力诺,San Marino,118_阿塞拜疆,Azerbaijan,1.0,0.0,,受让两球|-2,赢,小,负
1244108.0,1366.0,2016/06/05 02:15,768.0,907.0,10-0,6-0,国际友谊,INT FRL,15_克罗地亚,Croatia,204_圣马力诺,San Marino,0.0,0.0,,五球|5,输,大,负
975033.0,67.0,2015/10/13 02:45,907.0,632.0,0-2,0-0,欧洲杯,EURO  Cup,204_圣马力诺,San Marino,64_斯洛文尼亚,Slovenia,0.0,0.0,,受让三球|-3,赢,小,负
975035.0,67.0,2015/10/10 02:45,648.0,907.0,7-0,1-0,欧洲杯,EURO  Cup,8_瑞士,Switzerland,204_圣马力诺,San Marino,0.0,0.0,,5.25球|5.25,输,大,负
