赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1229866.0,188.0,2016/03/27 04:00,7302.0,7293.0,0-7,0-4,美加杯,CGC CZ,205_英属维津群岛,British Virgin Islands,168_多米尼克,Dominica,0.0,0.0,,,,,负
1229865.0,188.0,2016/03/24 08:00,16239.0,7302.0,3-0,1-0,美加杯,CGC CZ,220_弱鸡,Martinique,205_英属维津群岛,British Virgin Islands,0.0,0.0,,,,,负
1110189.0,653.0,2015/03/30 05:00,7293.0,7302.0,0-0,0-0,北美预选,WCPCA,168_多米尼克,Dominica,205_英属维津群岛,British Virgin Islands,0.0,0.0,,,,,平
1110381.0,653.0,2015/03/27 07:00,7302.0,7293.0,2-3,1-1,北美预选,WCPCA,205_英属维津群岛,British Virgin Islands,168_多米尼克,Dominica,0.0,0.0,,,,,负
1109751.0,1366.0,2015/03/23 06:00,8028.0,7302.0,1-0,1-0,国际友谊,INT FRL,139_安提瓜和巴布达,Antigua   Barbuda,205_英属维津群岛,British Virgin Islands,0.0,0.0,,,,,负
984967.0,188.0,2014/06/04 06:00,7302.0,7298.0,0-2,0-1,美加杯,CGC CZ,205_英属维津群岛,British Virgin Islands,202_特克斯和凯科斯群岛,Turks Caicos Islands,1.0,0.0,,,,,负
984966.0,188.0,2014/06/02 08:30,7300.0,7302.0,7-0,3-0,美加杯,CGC CZ,180_阿鲁巴,Aruba,205_英属维津群岛,British Virgin Islands,1.0,2.0,,,,,负
984944.0,188.0,2014/05/31 06:00,20412.0,7302.0,6-0,1-0,美加杯,CGC CZ,220_弱鸡,French Guiana,205_英属维津群岛,British Virgin Islands,0.0,0.0,,,,,负
777673.0,188.0,2012/09/10 07:00,7302.0,7304.0,0-7,0-0,美加杯,CGC CZ,205_英属维津群岛,British Virgin Islands,199_蒙塞拉特岛,Montserrat,0.0,0.0,,,,,负
777671.0,188.0,2012/09/08 06:00,7302.0,8027.0,0-4,0-0,美加杯,CGC CZ,205_英属维津群岛,British Virgin Islands,160_苏利南共和国,Suriname,0.0,0.0,,,,,负
777670.0,188.0,2012/09/06 08:00,16239.0,7302.0,16-0,5-0,美加杯,CGC CZ,220_弱鸡,Martinique,205_英属维津群岛,British Virgin Islands,0.0,0.0,,,,,负
558686.0,653.0,2011/07/11 03:00,7302.0,7295.0,1-2,1-1,北美预选,WCPCA,205_英属维津群岛,British Virgin Islands,198_美属维津群岛,US Virgin Islands,0.0,0.0,,,,,负
558682.0,653.0,2011/07/04 04:00,7295.0,7302.0,2-0,1-0,北美预选,WCPCA,198_美属维津群岛,US Virgin Islands,205_英属维津群岛,British Virgin Islands,0.0,1.0,,,,,负
479414.0,188.0,2010/10/16 04:00,7302.0,7293.0,0-10,0-3,美加杯,CGC CZ,205_英属维津群岛,British Virgin Islands,168_多米尼克,Dominica,0.0,0.0,,,,,负
479413.0,188.0,2010/10/14 22:00,7538.0,7302.0,17-0,4-0,美加杯,CGC CZ,160_多米尼加共和国,Dominican Republic,205_英属维津群岛,British Virgin Islands,0.0,0.0,,,,,负
185413.0,653.0,2008/03/31 04:00,7302.0,7301.0,0-2,0-1,北美预选,WCPCA,205_英属维津群岛,British Virgin Islands,206_巴哈马,Bahamas,0.0,0.0,,,,,负
185406.0,653.0,2008/03/27 04:00,7301.0,7302.0,1-1,0-0,北美预选,WCPCA,206_巴哈马,Bahamas,205_英属维津群岛,British Virgin Islands,0.0,0.0,,,,,平
