赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1229860.0,188.0,2016/03/27 05:00,7492.0,7297.0,4-0,2-0,美加杯,CGC CZ,166_波多黎各,Puerto Rico,206_安圭拉,Anguilla,0.0,0.0,,,,,负
1229859.0,188.0,2016/03/23 07:00,8029.0,7297.0,7-0,5-0,美加杯,CGC CZ,164_圭亚那,Guyana,206_安圭拉,Anguilla,0.0,0.0,,,,,负
1110383.0,653.0,2015/03/30 05:00,7297.0,5091.0,0-3,0-2,北美预选,WCPCA,206_安圭拉,Anguilla,115_尼加拉瓜,Nicaragua,0.0,0.0,,,,,负
1110159.0,653.0,2015/03/24 08:00,5091.0,7297.0,5-0,4-0,北美预选,WCPCA,115_尼加拉瓜,Nicaragua,206_安圭拉,Anguilla,0.0,0.0,,,,,负
1053722.0,188.0,2014/09/08 05:00,7297.0,7538.0,0-10,0-4,美加杯,CGC CZ,206_安圭拉,Anguilla,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,负
1053721.0,188.0,2014/09/06 05:10,1494.0,7297.0,4-0,2-0,美加杯,CGC CZ,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,206_安圭拉,Anguilla,0.0,0.0,,,,,负
1053718.0,188.0,2014/09/04 07:00,8028.0,7297.0,6-0,3-0,美加杯,CGC CZ,139_安提瓜和巴布达,Antigua   Barbuda,206_安圭拉,Anguilla,0.0,0.0,,,,,负
794274.0,188.0,2012/10/15 06:00,7297.0,912.0,0-10,0-7,美加杯,CGC CZ,206_安圭拉,Anguilla,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,,,,负
777684.0,188.0,2012/10/11 08:00,821.0,7297.0,2-0,2-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,206_安圭拉,Anguilla,0.0,0.0,,,,,负
558687.0,653.0,2011/07/11 03:30,7538.0,7297.0,4-0,3-0,北美预选,WCPCA,160_多米尼加共和国,Dominican Republic,206_安圭拉,Anguilla,0.0,0.0,,,,,负
558683.0,653.0,2011/07/09 03:30,7297.0,7538.0,0-2,0-2,北美预选,WCPCA,206_安圭拉,Anguilla,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,负
479393.0,188.0,2010/10/07 07:20,7297.0,15353.0,2-1,2-1,美加杯,CGC CZ,206_安圭拉,Anguilla,220_弱鸡,Saint-Martin,0.0,0.0,,,,,胜
479391.0,188.0,2010/10/05 06:00,7306.0,7297.0,4-1,1-1,美加杯,CGC CZ,202_开曼群岛,Cayman Islands,206_安圭拉,Anguilla,0.0,0.0,,,,,负
479390.0,188.0,2010/10/03 09:15,7492.0,7297.0,3-1,2-0,美加杯,CGC CZ,166_波多黎各,Puerto Rico,206_安圭拉,Anguilla,0.0,0.0,,,,,负
185412.0,653.0,2008/03/27 08:00,7297.0,796.0,0-4,0-4,北美预选,WCPCA,206_安圭拉,Anguilla,90_萨尔瓦多,El Salvador,0.0,0.0,,,,,负
177685.0,653.0,2008/02/07 09:30,796.0,7297.0,12-0,4-0,北美预选,WCPCA,90_萨尔瓦多,El Salvador,206_安圭拉,Anguilla,0.0,0.0,,,,,负
