赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1190100.0,651.0,2015/10/14 02:00,920.0,5297.0,3-1,2-1,非洲预选,WCPAF,149_博茨瓦纳,Botswana,206_厄立特里亚,Eritrea,0.0,0.0,,球半|1.5,输,大,负
1190118.0,651.0,2015/10/10 21:00,5297.0,920.0,0-2,0-1,非洲预选,WCPAF,206_厄立特里亚,Eritrea,149_博茨瓦纳,Botswana,0.0,0.0,,,,,负
973620.0,93.0,2014/04/19 18:00,20868.0,5297.0,3-0,0-0,非洲杯,CAF NC,153_南苏丹,South Sudan,206_厄立特里亚,Eritrea,0.0,0.0,,,,,负
973619.0,93.0,2014/04/12 18:00,5297.0,20868.0,0-3,0-0,非洲杯,CAF NC,206_厄立特里亚,Eritrea,153_南苏丹,South Sudan,0.0,0.0,,,,,负
939370.0,581.0,2013/12/05 19:00,922.0,5297.0,1-0,0-0,中东非杯,CECAFA Cup,116_卢旺达,Rwanda,206_厄立特里亚,Eritrea,0.0,0.0,,一球/球半|1/1.5,赢,小,负
939369.0,581.0,2013/12/02 21:00,5297.0,802.0,0-3,0-3,中东非杯,CECAFA Cup,206_厄立特里亚,Eritrea,73_乌干达,Uganda,0.0,0.0,,受让球半/两球|-1.5/-2,输,大,负
939366.0,581.0,2013/11/29 19:00,792.0,5297.0,3-0,3-0,中东非杯,CECAFA Cup,124_苏丹,Sudan,206_厄立特里亚,Eritrea,0.0,0.0,,一球|1,输,大,负
803558.0,1052.0,2013/01/05 20:00,4637.0,5297.0,3-0,0-0,非国锦标,CAF SC,137_埃塞俄比亚,Ethiopia,206_厄立特里亚,Eritrea,0.0,0.0,,,,,负
803553.0,1052.0,2012/12/15 20:00,5297.0,4637.0,0-3,0-0,非国锦标,CAF SC,206_厄立特里亚,Eritrea,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,负
802963.0,581.0,2012/12/01 21:00,5297.0,922.0,0-2,0-1,中东非杯,CECAFA Cup,206_厄立特里亚,Eritrea,116_卢旺达,Rwanda,0.0,0.0,,,,,负
