赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1380941.0,1052.0,2017/04/30 21:00,20868.0,6976.0,2-0,0-0,非国锦标,CAF SC,153_南苏丹,South Sudan,206_索马里,Somalia,0.0,0.0,,,,,负
1380668.0,1052.0,2017/04/22 18:00,6976.0,20868.0,1-2,0-1,非国锦标,CAF SC,206_索马里,Somalia,153_南苏丹,South Sudan,0.0,0.0,,,,,负
1198898.0,581.0,2015/11/27 18:30,922.0,6976.0,3-0,1-0,中东非杯,CECAFA Cup,116_卢旺达,Rwanda,206_索马里,Somalia,0.0,0.0,,,,,负
1198897.0,581.0,2015/11/25 20:35,4637.0,6976.0,2-0,1-0,中东非杯,CECAFA Cup,137_埃塞俄比亚,Ethiopia,206_索马里,Somalia,0.0,0.0,,两球/两球半|2/2.5,赢,小,负
1198895.0,581.0,2015/11/22 19:00,6976.0,4937.0,0-4,0-2,中东非杯,CECAFA Cup,206_索马里,Somalia,146_坦桑尼亚,Tanzania,0.0,0.0,,受让两球/两球半|-2/-2.5,输,大,负
1190098.0,651.0,2015/10/13 23:00,5302.0,6976.0,4-0,3-0,非洲预选,WCPAF,106_尼日尔,Niger,206_索马里,Somalia,0.0,0.0,,两球|2,输,大,负
1190109.0,651.0,2015/10/09 20:30,6976.0,5302.0,0-2,0-0,非洲预选,WCPAF,206_索马里,Somalia,106_尼日尔,Niger,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,负
939365.0,581.0,2013/12/04 21:00,6976.0,807.0,0-4,0-2,中东非杯,CECAFA Cup,206_索马里,Somalia,72_赞比亚,Zambia,0.0,0.0,,受让两球/两球半|-2/-2.5,输,大,负
939362.0,581.0,2013/12/01 19:00,6976.0,4937.0,0-1,0-0,中东非杯,CECAFA Cup,206_索马里,Somalia,146_坦桑尼亚,Tanzania,0.0,0.0,,受让两球/两球半|-2/-2.5,赢,小,负
939360.0,581.0,2013/11/28 19:00,5294.0,6976.0,2-0,1-0,中东非杯,CECAFA Cup,143_布隆迪,Burundi,206_索马里,Somalia,0.0,0.0,,两球/两球半|2/2.5,赢,小,负
802957.0,581.0,2012/12/01 19:00,6976.0,4937.0,0-7,0-5,中东非杯,CECAFA Cup,206_索马里,Somalia,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,负
802954.0,581.0,2012/11/28 21:00,6976.0,792.0,0-1,0-0,中东非杯,CECAFA Cup,206_索马里,Somalia,124_苏丹,Sudan,0.0,0.0,,,,小,负
802952.0,581.0,2012/11/25 21:00,5294.0,6976.0,5-1,2-0,中东非杯,CECAFA Cup,143_布隆迪,Burundi,206_索马里,Somalia,0.0,0.0,,,,大,负
654978.0,581.0,2011/12/01 19:00,6976.0,7183.0,0-3,0-1,中东非杯,CECAFA Cup,206_索马里,Somalia,220_弱鸡,Zanzibar,0.0,0.0,,,,,负
654277.0,581.0,2011/11/28 21:15,6976.0,802.0,0-4,0-0,中东非杯,CECAFA Cup,206_索马里,Somalia,73_乌干达,Uganda,0.0,0.0,,,,,负
654255.0,581.0,2011/11/25 19:00,5294.0,6976.0,4-1,2-0,中东非杯,CECAFA Cup,143_布隆迪,Burundi,206_索马里,Somalia,0.0,0.0,,,,,负
646765.0,651.0,2011/11/16 21:00,4637.0,6976.0,5-0,1-0,非洲预选,WCPAF,137_埃塞俄比亚,Ethiopia,206_索马里,Somalia,0.0,0.0,,,,,负
646751.0,651.0,2011/11/12 20:45,6976.0,4637.0,0-0,0-0,非洲预选,WCPAF,206_索马里,Somalia,137_埃塞俄比亚,Ethiopia,0.0,1.0,,,,,平
499339.0,581.0,2010/12/03 19:00,6976.0,4937.0,0-3,0-3,中东非杯,CECAFA Cup,206_索马里,Somalia,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,负
499175.0,581.0,2010/12/03 19:00,6976.0,807.0,0-6,0-0,中东非杯,CECAFA Cup,206_索马里,Somalia,72_赞比亚,Zambia,0.0,0.0,,,,,负
499337.0,581.0,2010/11/28 19:00,5294.0,6976.0,2-0,2-0,中东非杯,CECAFA Cup,143_布隆迪,Burundi,206_索马里,Somalia,0.0,0.0,,,,,负
354543.0,581.0,2009/12/05 19:00,5297.0,6976.0,1-2,0-0,中东非杯,CECAFA Cup,206_厄立特里亚,Eritrea,206_索马里,Somalia,0.0,0.0,,,,,胜
354542.0,581.0,2009/12/03 21:10,14862.0,6976.0,2-0,1-0,中东非杯,CECAFA Cup,106_津巴布韦,Zimbabwe,206_索马里,Somalia,0.0,0.0,,,,小,负
354539.0,581.0,2009/11/29 21:00,6976.0,922.0,0-1,0-0,中东非杯,CECAFA Cup,206_索马里,Somalia,116_卢旺达,Rwanda,0.0,0.0,,,,,负
253634.0,581.0,2009/01/07 21:00,802.0,6976.0,4-0,0-0,中东非杯,CECAFA Cup,73_乌干达,Uganda,206_索马里,Somalia,0.0,0.0,,,,,负
253631.0,581.0,2009/01/05 21:00,922.0,6976.0,3-0,0-0,中东非杯,CECAFA Cup,116_卢旺达,Rwanda,206_索马里,Somalia,0.0,0.0,,,,,负
253630.0,581.0,2009/01/03 21:00,6976.0,4937.0,1-0,1-0,中东非杯,CECAFA Cup,206_索马里,Somalia,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,胜
253627.0,581.0,2009/01/01 22:00,7183.0,6976.0,2-0,0-0,中东非杯,CECAFA Cup,220_弱鸡,Zanzibar,206_索马里,Somalia,0.0,0.0,,,,,负
174632.0,581.0,2007/12/14 21:00,921.0,6976.0,2-0,1-0,中东非杯,CECAFA Cup,105_肯尼亚,Kenya,206_索马里,Somalia,0.0,0.0,,,,,负
174631.0,581.0,2007/12/12 21:00,4937.0,6976.0,1-0,0-0,中东非杯,CECAFA Cup,146_坦桑尼亚,Tanzania,206_索马里,Somalia,0.0,0.0,,,,,负
181553.0,581.0,2007/12/10 21:00,6976.0,5294.0,0-3,0-1,中东非杯,CECAFA Cup,206_索马里,Somalia,143_布隆迪,Burundi,0.0,0.0,,,,,负
171803.0,651.0,2007/11/16 21:00,6975.0,6976.0,1-0,0-0,非洲预选,WCPAF,187_吉布提,Djibouti,206_索马里,Somalia,0.0,0.0,,,,,负
