赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502105.0,1864.0,2018/11/16 03:45,645.0,756.0,,,欧国联,UEFA  NL,5_比利时,Belgium,20_冰岛,Iceland,0.0,0.0,,,,,
1502104.0,1864.0,2018/10/16 02:45,756.0,648.0,,,欧国联,UEFA  NL,20_冰岛,Iceland,8_瑞士,Switzerland,0.0,0.0,,,,,
1502102.0,1864.0,2018/09/12 02:45,756.0,645.0,,,欧国联,UEFA  NL,20_冰岛,Iceland,5_比利时,Belgium,0.0,0.0,,,,,
1502101.0,1864.0,2018/09/09 23:59,648.0,756.0,,,欧国联,UEFA  NL,8_瑞士,Switzerland,20_冰岛,Iceland,0.0,0.0,,,,,
1482845.0,75.0,2018/06/27 02:00,756.0,768.0,1-2,0-0,世界杯,World Cup,20_冰岛,Iceland,15_克罗地亚,Croatia,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1482844.0,75.0,2018/06/22 23:00,789.0,756.0,2-0,0-0,世界杯,World Cup,51_尼日利亚,Nigeria,20_冰岛,Iceland,0.0,0.0,,平手|0,输,小,负
1482841.0,75.0,2018/06/16 21:00,766.0,756.0,1-1,1-1,世界杯,World Cup,4_阿根廷,Argentina,20_冰岛,Iceland,0.0,0.0,,一球/球半|1/1.5,赢,小,平
1543747.0,1366.0,2018/06/08 04:00,756.0,810.0,2-2,2-0,国际友谊,INT FRL,20_冰岛,Iceland,50_加纳,Ghana,0.0,0.0,,平手/半球|0/0.5,输,大,平
1543748.0,1366.0,2018/06/03 04:00,756.0,640.0,2-3,1-1,国际友谊,INT FRL,20_冰岛,Iceland,58_挪威,Norway,0.0,0.0,,半球|0.5,输,大,负
1521509.0,1366.0,2018/03/28 08:10,756.0,774.0,1-3,1-1,国际友谊,INT FRL,20_冰岛,Iceland,11_秘鲁,Peru,0.0,0.0,,平手|0,输,大,负
1521053.0,1366.0,2018/03/24 10:30,819.0,756.0,3-0,1-0,国际友谊,INT FRL,17_墨西哥,Mexico,20_冰岛,Iceland,0.0,0.0,,平手/半球|0/0.5,输,大,负
