赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1484049.0,1366.0,2017/12/15 06:00,8059.0,8033.0,4-3,0-2,国际友谊,INT FRL,220_弱鸡,Tuvalu,206_汤加,Tonga,0.0,0.0,,,,,负
1483500.0,1366.0,2017/12/12 09:00,6124.0,8033.0,4-0,3-0,国际友谊,INT FRL,168_斐济,Fiji,206_汤加,Tonga,0.0,1.0,,,,,负
1483038.0,1366.0,2017/12/09 06:00,8033.0,6662.0,2-4,1-1,国际友谊,INT FRL,206_汤加,Tonga,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,负
1482086.0,1366.0,2017/12/06 16:00,6661.0,8033.0,5-0,2-0,国际友谊,INT FRL,156_瓦努阿图,Vanuatu,206_汤加,Tonga,0.0,0.0,,,,,负
1481981.0,1366.0,2017/12/02 09:00,8033.0,2865.0,0-8,0-3,国际友谊,INT FRL,206_汤加,Tonga,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,负
1183453.0,649.0,2015/09/04 08:00,8033.0,8032.0,0-3,0-2,大洋预选,WCPO,206_汤加,Tonga,194_萨摩亚,Samoa,0.0,0.0,,,,,负
1183451.0,649.0,2015/09/02 10:30,8033.0,8035.0,1-2,0-0,大洋预选,WCPO,206_汤加,Tonga,194_美属萨摩亚,American Samoa,0.0,0.0,,,,,负
1183448.0,649.0,2015/08/31 08:00,8033.0,8034.0,0-3,0-1,大洋预选,WCPO,206_汤加,Tonga,194_库克,Cook Islands,0.0,0.0,,,,,负
1176752.0,1366.0,2015/08/19 15:00,6124.0,8033.0,5-0,3-0,国际友谊,INT FRL,168_斐济,Fiji,206_汤加,Tonga,0.0,0.0,,,,,负
653680.0,649.0,2011/11/27 09:00,8033.0,8034.0,2-1,1-1,大洋预选,WCPO,206_汤加,Tonga,194_库克,Cook Islands,0.0,0.0,,,,,胜
653678.0,649.0,2011/11/25 11:30,8032.0,8033.0,1-1,1-0,大洋预选,WCPO,194_萨摩亚,Samoa,206_汤加,Tonga,0.0,0.0,,,,,平
653675.0,649.0,2011/11/23 09:00,8035.0,8033.0,2-1,1-0,大洋预选,WCPO,194_美属萨摩亚,American Samoa,206_汤加,Tonga,0.0,0.0,,,,,负
203944.0,649.0,2007/09/04 07:30,8033.0,6661.0,1-4,0-3,大洋预选,WCPO,206_汤加,Tonga,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,负
203942.0,649.0,2007/09/02 07:30,8033.0,8035.0,4-0,1-0,大洋预选,WCPO,206_汤加,Tonga,194_美属萨摩亚,American Samoa,0.0,0.0,,,,,胜
203941.0,649.0,2007/08/30 15:30,8032.0,8033.0,2-1,1-0,大洋预选,WCPO,194_萨摩亚,Samoa,206_汤加,Tonga,0.0,0.0,,,,,负
203938.0,649.0,2007/08/28 10:00,2865.0,8033.0,4-0,2-0,大洋预选,WCPO,151_所罗门群岛,Solomon Islands,206_汤加,Tonga,0.0,0.0,,,,,负
