赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502100.0,1864.0,2018/11/20 03:45,650.0,646.0,,,欧国联,UEFA  NL,1_德国,Germany,21_荷兰,Netherlands,0.0,0.0,,,,,
1502099.0,1864.0,2018/11/17 03:45,646.0,649.0,,,欧国联,UEFA  NL,21_荷兰,Netherlands,9_法国,France,0.0,0.0,,,,,
1502097.0,1864.0,2018/10/14 02:45,646.0,650.0,,,欧国联,UEFA  NL,21_荷兰,Netherlands,1_德国,Germany,0.0,0.0,,,,,
1502096.0,1864.0,2018/09/10 02:45,649.0,646.0,,,欧国联,UEFA  NL,9_法国,France,21_荷兰,Netherlands,0.0,0.0,,,,,
1543786.0,1366.0,2018/06/05 02:45,771.0,646.0,1-1,0-0,国际友谊,INT FRL,14_意大利,Italy,21_荷兰,Netherlands,1.0,0.0,,半球|0.5,赢,小,平
1543288.0,1366.0,2018/06/01 02:45,752.0,646.0,1-1,1-0,国际友谊,INT FRL,28_斯洛伐克,Slovakia,21_荷兰,Netherlands,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
1521506.0,1366.0,2018/03/27 02:30,646.0,765.0,3-0,3-0,国际友谊,INT FRL,21_荷兰,Netherlands,3_葡萄牙,Portugal,0.0,1.0,,受让平手/半球|-0/-0.5,赢,大,胜
1518990.0,1366.0,2018/03/24 03:45,646.0,744.0,0-1,0-0,国际友谊,INT FRL,21_荷兰,Netherlands,16_英格兰,England,0.0,0.0,,平手|0,输,小,负
1477406.0,1366.0,2017/11/15 03:00,635.0,646.0,0-3,0-0,国际友谊,INT FRL,40_罗马尼亚,Romania,21_荷兰,Netherlands,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1476837.0,1366.0,2017/11/10 03:45,641.0,646.0,0-1,0-1,国际友谊,INT FRL,32_苏格兰,Scotland,21_荷兰,Netherlands,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1198409.0,650.0,2017/10/11 02:45,646.0,644.0,2-0,2-0,欧洲预选,WCPEU,21_荷兰,Netherlands,18_瑞典,Sweden,0.0,0.0,,半球|0.5,赢,小,胜
1198405.0,650.0,2017/10/08 02:45,750.0,646.0,1-3,0-1,欧洲预选,WCPEU,93_白俄罗斯,Belarus,21_荷兰,Netherlands,0.0,0.0,,受让球半|-1.5,赢,大,胜
1198402.0,650.0,2017/09/03 23:59,646.0,769.0,3-1,1-0,欧洲预选,WCPEU,21_荷兰,Netherlands,42_保加利亚,Bulgaria,0.0,0.0,,球半|1.5,赢,大,胜
1198398.0,650.0,2017/09/01 02:45,649.0,646.0,4-0,1-0,欧洲预选,WCPEU,9_法国,France,21_荷兰,Netherlands,0.0,1.0,,半球/一球|0.5/1,输,大,负
1198395.0,650.0,2017/06/10 02:45,646.0,749.0,5-0,2-0,欧洲预选,WCPEU,21_荷兰,Netherlands,84_卢森堡,Luxembourg,0.0,0.0,,三球/三球半|3/3.5,赢,大,胜
1391050.0,1366.0,2017/06/05 01:30,646.0,809.0,5-0,3-0,国际友谊,INT FRL,21_荷兰,Netherlands,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,半球|0.5,赢,大,胜
1389495.0,1366.0,2017/06/01 01:30,813.0,646.0,1-2,0-1,国际友谊,INT FRL,39_摩洛哥,Morocco,21_荷兰,Netherlands,0.0,1.0,,平手|0,赢,大,胜
1366892.0,1366.0,2017/03/29 02:45,646.0,771.0,1-2,1-2,国际友谊,INT FRL,21_荷兰,Netherlands,14_意大利,Italy,0.0,0.0,,平手|0,输,大,负
1198394.0,650.0,2017/03/26 03:45,769.0,646.0,2-0,2-0,欧洲预选,WCPEU,42_保加利亚,Bulgaria,21_荷兰,Netherlands,0.0,0.0,,受让一球|-1,输,小,负
1198389.0,650.0,2016/11/14 01:00,749.0,646.0,1-3,1-1,欧洲预选,WCPEU,84_卢森堡,Luxembourg,21_荷兰,Netherlands,0.0,0.0,,受让两球|-2,走,大,胜
1327395.0,1366.0,2016/11/10 03:45,646.0,645.0,1-1,1-0,国际友谊,INT FRL,21_荷兰,Netherlands,5_比利时,Belgium,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1198387.0,650.0,2016/10/11 02:45,646.0,649.0,0-1,0-1,欧洲预选,WCPEU,21_荷兰,Netherlands,9_法国,France,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1198384.0,650.0,2016/10/08 02:45,646.0,750.0,4-1,2-0,欧洲预选,WCPEU,21_荷兰,Netherlands,93_白俄罗斯,Belarus,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1198380.0,650.0,2016/09/07 02:45,644.0,646.0,1-1,1-0,欧洲预选,WCPEU,18_瑞典,Sweden,21_荷兰,Netherlands,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
1305630.0,1366.0,2016/09/02 02:45,646.0,757.0,1-2,1-1,国际友谊,INT FRL,21_荷兰,Netherlands,47_希腊,Greece,0.0,0.0,,半球/一球|0.5/1,输,大,负
1244073.0,1366.0,2016/06/05 02:30,647.0,646.0,0-2,0-1,国际友谊,INT FRL,29_奥地利,Austria,21_荷兰,Netherlands,0.0,0.0,,平手|0,赢,小,胜
1243643.0,1366.0,2016/06/02 02:45,637.0,646.0,1-2,0-1,国际友谊,INT FRL,7_波兰,Poland,21_荷兰,Netherlands,0.0,0.0,,平手|0,赢,大,胜
1243436.0,1366.0,2016/05/28 02:45,630.0,646.0,1-1,1-0,国际友谊,INT FRL,32_爱尔兰,Ireland,21_荷兰,Netherlands,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
1229373.0,1366.0,2016/03/30 03:00,744.0,646.0,1-2,1-0,国际友谊,INT FRL,16_英格兰,England,21_荷兰,Netherlands,0.0,0.0,,半球|0.5,赢,大,胜
1228257.0,1366.0,2016/03/26 03:45,646.0,649.0,2-3,0-2,国际友谊,INT FRL,21_荷兰,Netherlands,9_法国,France,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1196765.0,1366.0,2015/11/14 03:45,7384.0,646.0,2-3,1-1,国际友谊,INT FRL,19_威尔士,Wales,21_荷兰,Netherlands,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
974900.0,67.0,2015/10/14 02:45,646.0,747.0,2-3,0-2,欧洲杯,EURO  Cup,21_荷兰,Netherlands,48_捷克,Czech,0.0,1.0,,一球/球半|1/1.5,输,大,负
974905.0,67.0,2015/10/10 23:59,763.0,646.0,1-2,0-1,欧洲杯,EURO  Cup,135_哈萨克斯坦,Kazakhstan,21_荷兰,Netherlands,0.0,0.0,,受让球半|-1.5,输,大,胜
974908.0,67.0,2015/09/06 23:59,762.0,646.0,3-0,2-0,欧洲杯,EURO  Cup,41_土耳其,Turkey,21_荷兰,Netherlands,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
974909.0,67.0,2015/09/04 02:45,646.0,756.0,0-1,0-0,欧洲杯,EURO  Cup,21_荷兰,Netherlands,20_冰岛,Iceland,1.0,0.0,,球半|1.5,输,小,负
974912.0,67.0,2015/06/13 02:45,631.0,646.0,0-2,0-0,欧洲杯,EURO  Cup,131_拉脱维亚,Latvia,21_荷兰,Netherlands,0.0,0.0,,受让球半/两球|-1.5/-2,赢,小,胜
1128823.0,1366.0,2015/06/06 02:30,646.0,797.0,3-4,1-1,国际友谊,INT FRL,21_荷兰,Netherlands,25_美国,USA,0.0,0.0,,半球/一球|0.5/1,输,大,负
1109700.0,1366.0,2015/04/01 02:45,646.0,772.0,2-0,2-0,国际友谊,INT FRL,21_荷兰,Netherlands,6_西班牙,Spain,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
974915.0,67.0,2015/03/29 03:45,646.0,762.0,1-1,0-1,欧洲杯,EURO  Cup,21_荷兰,Netherlands,41_土耳其,Turkey,0.0,0.0,,一球/球半|1/1.5,输,小,平
974920.0,67.0,2014/11/17 01:00,646.0,631.0,6-0,3-0,欧洲杯,EURO  Cup,21_荷兰,Netherlands,131_拉脱维亚,Latvia,0.0,0.0,,两球/两球半|2/2.5,赢,大,胜
