赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1483046.0,75.0,2018/07/01 02:00,767.0,765.0,,,世界杯,World Cup,22_乌拉圭,Uruguay,3_葡萄牙,Portugal,0.0,0.0,,,,,
1483061.0,75.0,2018/06/25 22:00,746.0,767.0,0-3,0-2,世界杯,World Cup,62_俄罗斯,Russia,22_乌拉圭,Uruguay,1.0,0.0,,平手|0,赢,大,胜
1482826.0,75.0,2018/06/20 23:00,767.0,891.0,1-0,1-0,世界杯,World Cup,22_乌拉圭,Uruguay,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,球半|1.5,输,小,胜
1482824.0,75.0,2018/06/15 20:00,735.0,767.0,0-1,0-0,世界杯,World Cup,30_埃及,Egypt,22_乌拉圭,Uruguay,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1543783.0,1366.0,2018/06/08 07:10,767.0,875.0,3-0,1-0,国际友谊,INT FRL,22_乌拉圭,Uruguay,77_乌兹别克,Uzbekistan,0.0,1.0,,两球/两球半|2/2.5,赢,走,胜
1524408.0,1726.0,2018/03/26 19:35,7384.0,767.0,0-1,0-0,中国杯,China Cup,19_威尔士,Wales,22_乌拉圭,Uruguay,0.0,0.0,,受让半球|-0.5,赢,小,胜
1518984.0,1726.0,2018/03/23 19:35,767.0,747.0,2-0,2-0,中国杯,China Cup,22_乌拉圭,Uruguay,48_捷克,Czech,0.0,0.0,,半球|0.5,赢,小,胜
1477408.0,1366.0,2017/11/15 03:45,647.0,767.0,2-1,1-1,国际友谊,INT FRL,29_奥地利,Austria,22_乌拉圭,Uruguay,0.0,0.0,,平手|0,输,大,负
1476826.0,1366.0,2017/11/11 03:45,637.0,767.0,0-0,0-0,国际友谊,INT FRL,7_波兰,Poland,22_乌拉圭,Uruguay,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1197772.0,652.0,2017/10/11 07:30,767.0,773.0,4-2,2-1,南美预选,WCPSA,22_乌拉圭,Uruguay,49_玻利维亚,Bolivia,0.0,0.0,,两球/两球半|2/2.5,输,大,胜
1197767.0,652.0,2017/10/06 05:00,777.0,767.0,0-0,0-0,南美预选,WCPSA,52_委内瑞拉,Venezuela,22_乌拉圭,Uruguay,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
1197763.0,652.0,2017/09/06 08:00,776.0,767.0,1-2,0-0,南美预选,WCPSA,31_巴拉圭,Paraguay,22_乌拉圭,Uruguay,0.0,0.0,,平手|0,赢,大,胜
1197757.0,652.0,2017/09/01 07:00,767.0,766.0,0-0,0-0,南美预选,WCPSA,22_乌拉圭,Uruguay,4_阿根廷,Argentina,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1390581.0,1366.0,2017/06/08 02:45,771.0,767.0,3-0,1-0,国际友谊,INT FRL,14_意大利,Italy,22_乌拉圭,Uruguay,0.0,0.0,,平手/半球|0/0.5,输,大,负
1391051.0,1366.0,2017/06/05 01:00,630.0,767.0,3-1,1-1,国际友谊,INT FRL,32_爱尔兰,Ireland,22_乌拉圭,Uruguay,0.0,0.0,,平手|0,输,大,负
1197752.0,652.0,2017/03/29 10:15,774.0,767.0,2-1,1-1,南美预选,WCPSA,11_秘鲁,Peru,22_乌拉圭,Uruguay,0.0,1.0,,受让平手/半球|-0/-0.5,输,大,负
1197748.0,652.0,2017/03/24 07:00,767.0,778.0,1-4,1-1,南美预选,WCPSA,22_乌拉圭,Uruguay,2_巴西,Brazil,0.0,0.0,,平手|0,输,大,负
1197742.0,652.0,2016/11/16 07:30,780.0,767.0,3-1,1-1,南美预选,WCPSA,10_智利,Chile,22_乌拉圭,Uruguay,0.0,0.0,,平手/半球|0/0.5,输,大,负
1197737.0,652.0,2016/11/11 07:00,767.0,779.0,2-1,2-1,南美预选,WCPSA,22_乌拉圭,Uruguay,68_厄瓜多尔,Ecuador,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1197732.0,652.0,2016/10/12 04:30,775.0,767.0,2-2,1-1,南美预选,WCPSA,13_哥伦比亚,Colombia,22_乌拉圭,Uruguay,0.0,0.0,,平手/半球|0/0.5,赢,大,平
1197727.0,652.0,2016/10/07 07:00,767.0,777.0,3-0,1-0,南美预选,WCPSA,22_乌拉圭,Uruguay,52_委内瑞拉,Venezuela,0.0,1.0,,球半|1.5,赢,大,胜
1197722.0,652.0,2016/09/07 07:00,767.0,776.0,4-0,3-0,南美预选,WCPSA,22_乌拉圭,Uruguay,31_巴拉圭,Paraguay,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1197718.0,652.0,2016/09/02 07:30,766.0,767.0,1-0,1-0,南美预选,WCPSA,4_阿根廷,Argentina,22_乌拉圭,Uruguay,1.0,0.0,,半球/一球|0.5/1,输,小,负
1223666.0,224.0,2016/06/14 10:20,767.0,799.0,3-0,1-0,美洲杯,AMEC,22_乌拉圭,Uruguay,55_牙买加,Jamaica,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1223664.0,224.0,2016/06/10 07:30,767.0,777.0,0-1,0-1,美洲杯,AMEC,22_乌拉圭,Uruguay,52_委内瑞拉,Venezuela,0.0,0.0,,半球/一球|0.5/1,输,小,负
1223661.0,224.0,2016/06/06 08:00,767.0,819.0,1-3,0-1,美洲杯,AMEC,22_乌拉圭,Uruguay,17_墨西哥,Mexico,1.0,1.0,,平手/半球|0/0.5,输,大,负
1243474.0,1366.0,2016/05/28 07:00,767.0,912.0,3-1,2-1,国际友谊,INT FRL,22_乌拉圭,Uruguay,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1197713.0,652.0,2016/03/30 07:00,767.0,774.0,1-0,0-0,南美预选,WCPSA,22_乌拉圭,Uruguay,11_秘鲁,Peru,0.0,0.0,,一球/球半|1/1.5,输,小,胜
1197708.0,652.0,2016/03/26 08:45,778.0,767.0,2-2,2-1,南美预选,WCPSA,2_巴西,Brazil,22_乌拉圭,Uruguay,0.0,0.0,,半球/一球|0.5/1,赢,大,平
1190058.0,652.0,2015/11/18 07:00,767.0,780.0,3-0,1-0,南美预选,WCPSA,22_乌拉圭,Uruguay,10_智利,Chile,0.0,1.0,,平手|0,赢,大,胜
1190050.0,652.0,2015/11/13 05:00,779.0,767.0,2-1,1-0,南美预选,WCPSA,68_厄瓜多尔,Ecuador,22_乌拉圭,Uruguay,0.0,0.0,,平手/半球|0/0.5,输,大,负
1190045.0,652.0,2015/10/14 07:00,767.0,775.0,3-0,1-0,南美预选,WCPSA,22_乌拉圭,Uruguay,13_哥伦比亚,Colombia,0.0,1.0,,平手/半球|0/0.5,赢,大,胜
1190039.0,652.0,2015/10/09 04:00,773.0,767.0,0-2,0-1,南美预选,WCPSA,49_玻利维亚,Bolivia,22_乌拉圭,Uruguay,1.0,0.0,,平手|0,赢,小,胜
1182533.0,1366.0,2015/09/09 10:00,914.0,767.0,1-0,1-0,国际友谊,INT FRL,27_哥斯达黎加,Costa Rica,22_乌拉圭,Uruguay,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1180836.0,1366.0,2015/09/05 09:35,798.0,767.0,0-1,0-0,国际友谊,INT FRL,53_巴拿马,Panama,22_乌拉圭,Uruguay,0.0,0.0,,受让半球|-0.5,赢,小,胜
1133171.0,224.0,2015/06/25 07:30,780.0,767.0,1-0,0-0,美洲杯,AMEC,10_智利,Chile,22_乌拉圭,Uruguay,0.0,2.0,,半球|0.5,输,小,负
