赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393634.0,93.0,2018/11/13 23:00,823.0,4636.0,,,非洲杯,CAF NC,23_突尼斯,Tunisia,132_斯威士兰,Swaziland,0.0,0.0,,,,,
1393631.0,93.0,2018/10/16 23:00,735.0,823.0,,,非洲杯,CAF NC,30_埃及,Egypt,23_突尼斯,Tunisia,0.0,0.0,,,,,
1393630.0,93.0,2018/09/11 23:00,5302.0,823.0,,,非洲杯,CAF NC,106_尼日尔,Niger,23_突尼斯,Tunisia,0.0,0.0,,,,,
1393626.0,93.0,2018/09/07 23:00,4636.0,823.0,,,非洲杯,CAF NC,132_斯威士兰,Swaziland,23_突尼斯,Tunisia,0.0,0.0,,,,,
1393627.0,93.0,2018/09/03 23:00,823.0,5302.0,,,非洲杯,CAF NC,23_突尼斯,Tunisia,106_尼日尔,Niger,0.0,0.0,,,,,
1482864.0,75.0,2018/06/29 02:00,798.0,823.0,,,世界杯,World Cup,53_巴拿马,Panama,23_突尼斯,Tunisia,0.0,0.0,,,,,
1482861.0,75.0,2018/06/23 20:00,645.0,823.0,5-2,3-1,世界杯,World Cup,5_比利时,Belgium,23_突尼斯,Tunisia,0.0,0.0,,球半|1.5,输,大,负
1482860.0,75.0,2018/06/19 02:00,823.0,744.0,1-2,1-1,世界杯,World Cup,23_突尼斯,Tunisia,16_英格兰,England,0.0,0.0,,受让球半|-1.5,赢,大,负
1543781.0,1366.0,2018/06/10 02:45,823.0,772.0,0-1,0-0,国际友谊,INT FRL,23_突尼斯,Tunisia,6_西班牙,Spain,0.0,0.0,,受让球半|-1.5,赢,小,负
1543782.0,1366.0,2018/06/02 02:15,823.0,762.0,2-2,0-0,国际友谊,INT FRL,23_突尼斯,Tunisia,41_土耳其,Turkey,0.0,1.0,,受让平手/半球|-0/-0.5,赢,大,平
1543286.0,1366.0,2018/05/29 02:45,765.0,823.0,2-2,2-1,国际友谊,INT FRL,3_葡萄牙,Portugal,23_突尼斯,Tunisia,0.0,0.0,,一球/球半|1/1.5,赢,大,平
1521494.0,1366.0,2018/03/28 02:00,823.0,914.0,1-0,1-0,国际友谊,INT FRL,23_突尼斯,Tunisia,27_哥斯达黎加,Costa Rica,0.0,0.0,,平手|0,赢,小,胜
1520456.0,1366.0,2018/03/24 02:15,823.0,783.0,1-0,0-0,国际友谊,INT FRL,23_突尼斯,Tunisia,34_伊朗,Iran,0.0,1.0,,平手|0,赢,小,胜
1490580.0,1366.0,2018/01/07 22:15,15319.0,823.0,1-0,0-0,国际友谊,INT FRL,220_弱鸡,Al Duhail,23_突尼斯,Tunisia,0.0,0.0,,受让一球|-1,输,小,负
1327100.0,651.0,2017/11/12 01:30,823.0,734.0,0-0,0-0,非洲预选,WCPAF,23_突尼斯,Tunisia,89_利比亚,Libya,0.0,0.0,,球半/两球|1.5/2,输,小,平
1327097.0,651.0,2017/10/08 01:00,812.0,823.0,1-4,1-1,非洲预选,WCPAF,66_几内亚,Guinea,23_突尼斯,Tunisia,1.0,0.0,,受让半球|-0.5,赢,大,胜
1456914.0,651.0,2017/09/06 01:30,811.0,823.0,2-2,1-0,非洲预选,WCPAF,43_刚果民主共和国,Democratic Rep Congo,23_突尼斯,Tunisia,0.0,0.0,,半球|0.5,赢,大,平
1327094.0,651.0,2017/09/02 04:00,823.0,811.0,2-1,1-1,非洲预选,WCPAF,23_突尼斯,Tunisia,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,半球|0.5,赢,大,胜
1392577.0,93.0,2017/06/12 06:00,823.0,735.0,1-0,0-0,非洲杯,CAF NC,23_突尼斯,Tunisia,30_埃及,Egypt,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1372189.0,1366.0,2017/03/29 02:00,813.0,823.0,1-0,1-0,国际友谊,INT FRL,39_摩洛哥,Morocco,23_突尼斯,Tunisia,0.0,0.0,,半球|0.5,输,小,负
1371892.0,1366.0,2017/03/25 02:00,823.0,793.0,0-1,0-1,国际友谊,INT FRL,23_突尼斯,Tunisia,45_喀麦隆,Cameroon,0.0,0.0,,平手|0,输,小,负
1347055.0,93.0,2017/01/28 23:59,791.0,823.0,2-0,0-0,非洲杯,CAF NC,44_布基纳法索,Burkina Faso,23_突尼斯,Tunisia,0.0,0.0,,受让平手/半球|-0/-0.5,输,走,负
1337471.0,93.0,2017/01/24 03:00,14862.0,823.0,2-4,1-4,非洲杯,CAF NC,106_津巴布韦,Zimbabwe,23_突尼斯,Tunisia,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1337474.0,93.0,2017/01/19 23:59,18406.0,823.0,1-2,0-0,非洲杯,CAF NC,57_阿尔及利亚,Algeria,23_突尼斯,Tunisia,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1337475.0,93.0,2017/01/16 03:00,823.0,815.0,0-2,0-2,非洲杯,CAF NC,23_突尼斯,Tunisia,24_塞内加尔,Senegal,0.0,0.0,,受让平手/半球|-0/-0.5,输,走,负
1339025.0,1366.0,2017/01/08 23:59,735.0,823.0,1-0,0-0,国际友谊,INT FRL,30_埃及,Egypt,23_突尼斯,Tunisia,0.0,0.0,,半球|0.5,输,小,负
1338292.0,1366.0,2017/01/04 21:35,823.0,802.0,2-0,1-0,国际友谊,INT FRL,23_突尼斯,Tunisia,73_乌干达,Uganda,0.0,0.0,,一球|1,赢,小,胜
1337611.0,1366.0,2016/12/31 03:30,5035.0,823.0,3-1,3-1,国际友谊,INT FRL,220_弱鸡,Basque,23_突尼斯,Tunisia,0.0,0.0,,半球/一球|0.5/1,输,大,负
1337499.0,1366.0,2016/12/29 01:45,3727.0,823.0,3-3,1-2,国际友谊,INT FRL,220_弱鸡,Catalunya,23_突尼斯,Tunisia,0.0,0.0,,半球/一球|0.5/1,赢,大,平
