赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393539.0,93.0,2018/11/13 23:00,815.0,5295.0,,,非洲杯,CAF NC,24_塞内加尔,Senegal,109_马达加斯加,Madagascar,0.0,0.0,,,,,
1393536.0,93.0,2018/10/16 23:00,5286.0,815.0,,,非洲杯,CAF NC,141_赤道几内亚,Equatorial Guinea,24_塞内加尔,Senegal,0.0,0.0,,,,,
1393534.0,93.0,2018/09/11 23:00,792.0,815.0,,,非洲杯,CAF NC,124_苏丹,Sudan,24_塞内加尔,Senegal,0.0,0.0,,,,,
1393531.0,93.0,2018/09/07 23:00,5295.0,815.0,,,非洲杯,CAF NC,109_马达加斯加,Madagascar,24_塞内加尔,Senegal,0.0,0.0,,,,,
1393532.0,93.0,2018/09/03 23:00,815.0,792.0,,,非洲杯,CAF NC,24_塞内加尔,Senegal,124_苏丹,Sudan,0.0,0.0,,,,,
1482870.0,75.0,2018/06/28 22:00,815.0,775.0,,,世界杯,World Cup,24_塞内加尔,Senegal,13_哥伦比亚,Colombia,0.0,0.0,,,,,
1482867.0,75.0,2018/06/24 23:00,903.0,815.0,2-2,1-1,世界杯,World Cup,56_日本,Japan,24_塞内加尔,Senegal,0.0,0.0,,平手|0,走,大,平
1482865.0,75.0,2018/06/19 23:00,637.0,815.0,1-2,0-1,世界杯,World Cup,7_波兰,Poland,24_塞内加尔,Senegal,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1543815.0,1366.0,2018/06/11 21:30,898.0,815.0,0-2,0-0,国际友谊,INT FRL,59_韩国,Korea Republic,24_塞内加尔,Senegal,0.0,0.0,,受让半球|-0.5,赢,走,胜
1543758.0,1366.0,2018/06/08 23:59,768.0,815.0,2-1,0-0,国际友谊,INT FRL,15_克罗地亚,Croatia,24_塞内加尔,Senegal,0.0,0.0,,半球/一球|0.5/1,输,大,负
1543764.0,1366.0,2018/06/01 02:00,749.0,815.0,0-0,0-0,国际友谊,INT FRL,84_卢森堡,Luxembourg,24_塞内加尔,Senegal,0.0,0.0,,受让球半|-1.5,输,小,平
1523156.0,1366.0,2018/03/28 02:00,815.0,782.0,0-0,0-0,国际友谊,INT FRL,24_塞内加尔,Senegal,38_波黑,Bosnia-Herzegovina,0.0,0.0,,平手|0,走,小,平
1520454.0,1366.0,2018/03/24 00:30,815.0,875.0,1-1,0-1,国际友谊,INT FRL,24_塞内加尔,Senegal,77_乌兹别克,Uzbekistan,0.0,0.0,,半球|0.5,输,走,平
1327130.0,651.0,2017/11/15 03:30,815.0,803.0,2-1,0-0,非洲预选,WCPAF,24_塞内加尔,Senegal,78_南非,South Africa,0.0,0.0,,一球|1,走,大,胜
1477798.0,651.0,2017/11/11 01:00,803.0,815.0,0-2,0-2,非洲预选,WCPAF,78_南非,South Africa,24_塞内加尔,Senegal,0.0,0.0,,平手|0,赢,走,胜
1445283.0,1052.0,2017/11/05 23:59,812.0,815.0,5-0,3-0,非国锦标,CAF SC,66_几内亚,Guinea,24_塞内加尔,Senegal,0.0,0.0,,,,,负
1327127.0,651.0,2017/10/08 01:30,790.0,815.0,0-2,0-0,非洲预选,WCPAF,63_佛得角,Cape Verde,24_塞内加尔,Senegal,0.0,0.0,,受让半球|-0.5,赢,走,胜
1464548.0,1023.0,2017/09/20 02:00,815.0,809.0,0-0,0-0,西非杯,WAFU,24_塞内加尔,Senegal,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,,,,平
1463073.0,1023.0,2017/09/18 02:00,815.0,808.0,4-0,2-0,西非杯,WAFU,24_塞内加尔,Senegal,81_贝宁,Benin,0.0,0.0,,,,,胜
1462970.0,1023.0,2017/09/15 23:00,815.0,5302.0,1-2,0-1,西非杯,WAFU,24_塞内加尔,Senegal,106_尼日尔,Niger,0.0,0.0,,,,,负
1460473.0,1023.0,2017/09/10 02:00,815.0,814.0,0-0,0-0,西非杯,WAFU,24_塞内加尔,Senegal,133_利比里亚,Liberia,0.0,0.0,,,,,平
1327125.0,651.0,2017/09/06 02:00,791.0,815.0,2-2,1-1,非洲预选,WCPAF,44_布基纳法索,Burkina Faso,24_塞内加尔,Senegal,1.0,0.0,,平手|0,走,大,平
1327124.0,651.0,2017/09/03 04:00,815.0,791.0,0-0,0-0,非洲预选,WCPAF,24_塞内加尔,Senegal,44_布基纳法索,Burkina Faso,1.0,0.0,,半球/一球|0.5/1,输,小,平
1445280.0,1052.0,2017/08/16 01:30,815.0,812.0,3-1,1-0,非国锦标,CAF SC,24_塞内加尔,Senegal,66_几内亚,Guinea,0.0,0.0,,,,,胜
1380949.0,1052.0,2017/07/23 01:00,815.0,5290.0,3-1,1-1,非国锦标,CAF SC,24_塞内加尔,Senegal,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,胜
1380944.0,1052.0,2017/07/16 00:30,5290.0,815.0,1-1,0-0,非国锦标,CAF SC,98_塞拉利昂,Sierra Leone,24_塞内加尔,Senegal,0.0,0.0,,,,,平
1392574.0,93.0,2017/06/11 05:00,815.0,5286.0,3-0,1-0,非洲杯,CAF NC,24_塞内加尔,Senegal,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,球半|1.5,赢,大,胜
1391049.0,1366.0,2017/06/06 05:00,815.0,802.0,0-0,0-0,国际友谊,INT FRL,24_塞内加尔,Senegal,73_乌干达,Uganda,0.0,0.0,,,,,平
1387131.0,41.0,2017/05/12 01:00,815.0,5281.0,2-0,0-0,球会友谊,INT CF,24_塞内加尔,Senegal,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,胜
1372187.0,1366.0,2017/03/28 02:05,809.0,815.0,1-1,0-0,国际友谊,INT FRL,61_科特迪瓦,Cote D Ivoire,24_塞内加尔,Senegal,0.0,0.0,,平手|0,走,走,平
1371893.0,1366.0,2017/03/24 04:00,789.0,815.0,1-1,0-0,国际友谊,INT FRL,51_尼日利亚,Nigeria,24_塞内加尔,Senegal,0.0,0.0,,受让平手/半球|-0/-0.5,输,走,平
1347054.0,93.0,2017/01/29 03:00,815.0,793.0,0-0,0-0,非洲杯,CAF NC,24_塞内加尔,Senegal,45_喀麦隆,Cameroon,0.0,0.0,"90,0-0;;1,0-0;4-5;2",平手/半球|0/0.5,输,小,平
1337472.0,93.0,2017/01/24 03:00,815.0,18406.0,2-2,1-1,非洲杯,CAF NC,24_塞内加尔,Senegal,57_阿尔及利亚,Algeria,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,平
1337473.0,93.0,2017/01/20 03:00,815.0,14862.0,2-0,2-0,非洲杯,CAF NC,24_塞内加尔,Senegal,106_津巴布韦,Zimbabwe,0.0,0.0,,一球|1,赢,小,胜
1337475.0,93.0,2017/01/16 03:00,823.0,815.0,0-2,0-2,非洲杯,CAF NC,23_突尼斯,Tunisia,24_塞内加尔,Senegal,0.0,0.0,,受让平手/半球|-0/-0.5,赢,走,胜
1339026.0,1366.0,2017/01/11 22:30,806.0,815.0,0-2,0-1,国际友谊,INT FRL,96_刚果,Congo,24_塞内加尔,Senegal,0.0,0.0,,,,,胜
1339030.0,1366.0,2017/01/08 22:00,734.0,815.0,1-2,0-1,国际友谊,INT FRL,89_利比亚,Libya,24_塞内加尔,Senegal,0.0,0.0,,,,,胜
1333766.0,41.0,2016/12/03 23:30,817.0,815.0,0-1,0-0,球会友谊,INT CF,71_马里,Mali,24_塞内加尔,Senegal,0.0,0.0,,,,,胜
1333185.0,1023.0,2016/12/01 23:00,815.0,6680.0,5-0,3-0,西非杯,WAFU,24_塞内加尔,Senegal,83_几内亚比绍,Guinea Bissau,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1332780.0,1023.0,2016/11/30 01:30,808.0,815.0,0-0,0-0,西非杯,WAFU,81_贝宁,Benin,24_塞内加尔,Senegal,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
1332516.0,1366.0,2016/11/27 23:00,815.0,791.0,2-1,1-1,国际友谊,INT FRL,24_塞内加尔,Senegal,44_布基纳法索,Burkina Faso,0.0,0.0,,半球|0.5,赢,大,胜
1326813.0,651.0,2016/11/12 21:00,803.0,815.0,取消,,非洲预选,WCPAF,78_南非,South Africa,24_塞内加尔,Senegal,0.0,0.0,,,,,
1318808.0,651.0,2016/10/09 04:00,815.0,790.0,2-0,1-0,非洲预选,WCPAF,24_塞内加尔,Senegal,63_佛得角,Cape Verde,0.0,0.0,,一球|1,赢,小,胜
1129707.0,93.0,2016/09/04 01:30,815.0,4494.0,2-0,1-0,非洲杯,CAF NC,24_塞内加尔,Senegal,111_纳米比亚,Namibia,0.0,0.0,,球半|1.5,赢,小,胜
1129704.0,93.0,2016/06/04 21:00,5294.0,815.0,0-2,0-2,非洲杯,CAF NC,143_布隆迪,Burundi,24_塞内加尔,Senegal,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1243466.0,1366.0,2016/05/28 21:30,922.0,815.0,0-2,0-2,国际友谊,INT FRL,116_卢旺达,Rwanda,24_塞内加尔,Senegal,0.0,0.0,,受让平手/半球|-0/-0.5,赢,走,胜
1129703.0,93.0,2016/03/29 22:00,5302.0,815.0,1-2,0-2,非洲杯,CAF NC,106_尼日尔,Niger,24_塞内加尔,Senegal,0.0,0.0,,受让一球|-1,走,大,胜
1129701.0,93.0,2016/03/27 03:00,815.0,5302.0,2-0,1-0,非洲杯,CAF NC,24_塞内加尔,Senegal,106_尼日尔,Niger,0.0,0.0,,球半|1.5,赢,小,胜
1215271.0,1366.0,2016/02/11 09:35,819.0,815.0,2-0,0-0,国际友谊,INT FRL,17_墨西哥,Mexico,24_塞内加尔,Senegal,0.0,0.0,,一球/球半|1/1.5,输,小,负
1196504.0,651.0,2015/11/18 03:00,815.0,5295.0,3-0,1-0,非洲预选,WCPAF,24_塞内加尔,Senegal,109_马达加斯加,Madagascar,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1196532.0,651.0,2015/11/13 19:30,5295.0,815.0,2-2,1-0,非洲预选,WCPAF,109_马达加斯加,Madagascar,24_塞内加尔,Senegal,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,平
1194101.0,1052.0,2015/10/24 01:00,815.0,812.0,3-1,1-1,非国锦标,CAF SC,24_塞内加尔,Senegal,66_几内亚,Guinea,0.0,0.0,,,,,胜
1194100.0,1052.0,2015/10/18 01:00,812.0,815.0,2-0,2-0,非国锦标,CAF SC,66_几内亚,Guinea,24_塞内加尔,Senegal,0.0,0.0,,,,,负
1192314.0,1366.0,2015/10/14 03:25,18406.0,815.0,1-0,0-0,国际友谊,INT FRL,57_阿尔及利亚,Algeria,24_塞内加尔,Senegal,0.0,0.0,,平手/半球|0/0.5,输,小,负
1185180.0,1366.0,2015/09/09 01:10,803.0,815.0,1-0,0-0,国际友谊,INT FRL,78_南非,South Africa,24_塞内加尔,Senegal,0.0,0.0,,平手/半球|0/0.5,输,小,负
1129699.0,93.0,2015/09/05 21:30,4494.0,815.0,0-2,0-1,非洲杯,CAF NC,111_纳米比亚,Namibia,24_塞内加尔,Senegal,0.0,0.0,,受让半球/一球|-0.5/-1,赢,走,胜
1130028.0,1052.0,2015/07/05 00:30,5039.0,815.0,0-1,0-1,非国锦标,CAF SC,163_冈比亚,Gambia,24_塞内加尔,Senegal,0.0,0.0,,,,,胜
1130024.0,1052.0,2015/06/21 01:00,815.0,5039.0,3-1,2-1,非国锦标,CAF SC,24_塞内加尔,Senegal,163_冈比亚,Gambia,0.0,0.0,,,,,胜
1129697.0,93.0,2015/06/14 03:00,815.0,5294.0,3-1,1-0,非洲杯,CAF NC,24_塞内加尔,Senegal,143_布隆迪,Burundi,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1110673.0,1366.0,2015/03/29 03:45,810.0,815.0,1-2,0-0,国际友谊,INT FRL,50_加纳,Ghana,24_塞内加尔,Senegal,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1077114.0,93.0,2015/01/28 02:00,18406.0,815.0,2-0,1-0,非洲杯,CAF NC,57_阿尔及利亚,Algeria,24_塞内加尔,Senegal,0.0,0.0,,平手|0,输,走,负
1077111.0,93.0,2015/01/24 03:00,815.0,803.0,1-1,0-0,非洲杯,CAF NC,24_塞内加尔,Senegal,78_南非,South Africa,0.0,0.0,,平手/半球|0/0.5,输,走,平
1077109.0,93.0,2015/01/19 23:59,810.0,815.0,1-2,1-0,非洲杯,CAF NC,50_加纳,Ghana,24_塞内加尔,Senegal,0.0,0.0,,半球|0.5,赢,大,胜
1080247.0,1366.0,2015/01/13 23:45,815.0,812.0,5-2,2-0,国际友谊,INT FRL,24_塞内加尔,Senegal,66_几内亚,Guinea,0.0,0.0,,,,,胜
1079343.0,1366.0,2015/01/09 23:30,815.0,788.0,1-0,0-0,国际友谊,INT FRL,24_塞内加尔,Senegal,93_加蓬,Gabon,0.0,0.0,,,,,胜
1053848.0,93.0,2014/11/20 03:00,815.0,920.0,3-0,2-0,非洲杯,CAF NC,24_塞内加尔,Senegal,149_博茨瓦纳,Botswana,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1053846.0,93.0,2014/11/16 01:00,735.0,815.0,0-1,0-1,非洲杯,CAF NC,30_埃及,Egypt,24_塞内加尔,Senegal,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1053843.0,93.0,2014/10/16 03:15,823.0,815.0,1-0,0-0,非洲杯,CAF NC,23_突尼斯,Tunisia,24_塞内加尔,Senegal,0.0,0.0,,平手/半球|0/0.5,输,小,负
1053841.0,93.0,2014/10/11 04:00,815.0,823.0,0-0,0-0,非洲杯,CAF NC,24_塞内加尔,Senegal,23_突尼斯,Tunisia,0.0,0.0,,半球|0.5,输,小,平
1053839.0,93.0,2014/09/11 01:00,920.0,815.0,0-2,0-1,非洲杯,CAF NC,149_博茨瓦纳,Botswana,24_塞内加尔,Senegal,0.0,0.0,,受让半球|-0.5,赢,小,胜
1053837.0,93.0,2014/09/06 04:00,815.0,735.0,2-0,2-0,非洲杯,CAF NC,24_塞内加尔,Senegal,30_埃及,Egypt,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
984536.0,1366.0,2014/06/01 05:00,775.0,815.0,2-2,2-0,国际友谊,INT FRL,13_哥伦比亚,Colombia,24_塞内加尔,Senegal,0.0,1.0,,一球/球半|1/1.5,赢,大,平
984635.0,1366.0,2014/05/25 23:00,5764.0,815.0,1-3,1-1,国际友谊,INT FRL,178_科索沃,Kosovo,24_塞内加尔,Senegal,0.0,0.0,,,,,胜
983902.0,41.0,2014/05/22 02:00,791.0,815.0,1-1,0-0,球会友谊,INT CF,44_布基纳法索,Burkina Faso,24_塞内加尔,Senegal,0.0,0.0,,,,,平
963597.0,1366.0,2014/03/06 02:00,815.0,817.0,1-1,0-0,国际友谊,INT FRL,24_塞内加尔,Senegal,71_马里,Mali,0.0,0.0,,平手/半球|0/0.5,输,小,平
