赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1543813.0,1366.0,2018/06/10 03:00,649.0,797.0,1-1,0-1,国际友谊,INT FRL,9_法国,France,25_美国,USA,0.0,0.0,,两球|2,赢,小,平
1547036.0,1366.0,2018/06/03 03:05,630.0,797.0,2-1,0-1,国际友谊,INT FRL,32_爱尔兰,Ireland,25_美国,USA,0.0,0.0,,半球|0.5,输,大,负
1543285.0,1366.0,2018/05/29 06:55,797.0,773.0,3-0,1-0,国际友谊,INT FRL,25_美国,USA,49_玻利维亚,Bolivia,0.0,0.0,,一球|1,赢,大,胜
1521508.0,1366.0,2018/03/28 07:40,797.0,776.0,1-0,1-0,国际友谊,INT FRL,25_美国,USA,31_巴拉圭,Paraguay,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1495552.0,1366.0,2018/01/29 10:40,797.0,782.0,0-0,0-0,国际友谊,INT FRL,25_美国,USA,38_波黑,Bosnia-Herzegovina,0.0,0.0,,半球/一球|0.5/1,输,小,平
1477410.0,1366.0,2017/11/15 04:45,765.0,797.0,1-1,1-1,国际友谊,INT FRL,3_葡萄牙,Portugal,25_美国,USA,0.0,0.0,,一球|1,赢,小,平
1327142.0,653.0,2017/10/11 08:00,912.0,797.0,2-1,2-0,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,25_美国,USA,0.0,0.0,,受让球半|-1.5,输,大,负
1327145.0,653.0,2017/10/07 07:35,797.0,798.0,4-0,3-0,北美预选,WCPCA,25_美国,USA,53_巴拿马,Panama,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1327148.0,653.0,2017/09/06 05:35,794.0,797.0,1-1,1-0,北美预选,WCPCA,67_洪都拉斯,Honduras,25_美国,USA,1.0,0.0,,受让平手/半球|-0/-0.5,输,走,平
1327151.0,653.0,2017/09/02 06:55,797.0,914.0,0-2,0-1,北美预选,WCPCA,25_美国,USA,27_哥斯达黎加,Costa Rica,0.0,0.0,,半球|0.5,输,小,负
1425305.0,1366.0,2017/07/28 10:00,797.0,913.0,0-1,0-0,国际友谊,INT FRL,25_美国,USA,36_澳大利亚,Australia,0.0,0.0,,,,,负
1426650.0,232.0,2017/07/27 09:50,797.0,799.0,2-1,1-0,美金杯,CGC,25_美国,USA,55_牙买加,Jamaica,0.0,0.0,,一球|1,走,大,胜
1423970.0,232.0,2017/07/23 10:15,914.0,797.0,0-2,0-0,美金杯,CGC,27_哥斯达黎加,Costa Rica,25_美国,USA,0.0,0.0,,受让半球|-0.5,赢,小,胜
1420192.0,232.0,2017/07/20 09:15,797.0,796.0,2-0,2-0,美金杯,CGC,25_美国,USA,90_萨尔瓦多,El Salvador,0.0,0.0,,球半|1.5,赢,小,胜
1406487.0,232.0,2017/07/16 07:05,797.0,5091.0,3-0,1-0,美金杯,CGC,25_美国,USA,115_尼加拉瓜,Nicaragua,0.0,1.0,,两球|2,赢,走,胜
1406485.0,232.0,2017/07/13 09:00,797.0,16239.0,3-2,0-0,美金杯,CGC,25_美国,USA,220_弱鸡,Martinique,0.0,0.0,,球半/两球|1.5/2,输,大,胜
1406483.0,232.0,2017/07/09 04:45,797.0,798.0,1-1,0-0,美金杯,CGC,25_美国,USA,53_巴拿马,Panama,0.0,0.0,,半球/一球|0.5/1,输,小,平
1403544.0,1366.0,2017/07/02 04:45,797.0,810.0,2-1,1-0,国际友谊,INT FRL,25_美国,USA,50_加纳,Ghana,0.0,0.0,,半球|0.5,赢,大,胜
1327153.0,653.0,2017/06/12 08:30,819.0,797.0,1-1,1-1,北美预选,WCPCA,17_墨西哥,Mexico,25_美国,USA,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1327156.0,653.0,2017/06/09 08:00,797.0,912.0,2-0,0-0,北美预选,WCPCA,25_美国,USA,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,两球半|2.5,输,小,胜
1389656.0,1366.0,2017/06/04 10:10,797.0,777.0,1-1,0-1,国际友谊,INT FRL,25_美国,USA,52_委内瑞拉,Venezuela,0.0,0.0,,半球/一球|0.5/1,输,小,平
1327158.0,653.0,2017/03/29 10:05,798.0,797.0,1-1,1-1,北美预选,WCPCA,53_巴拿马,Panama,25_美国,USA,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
1327161.0,653.0,2017/03/25 10:50,797.0,794.0,6-0,3-0,北美预选,WCPCA,25_美国,USA,67_洪都拉斯,Honduras,0.0,0.0,,一球|1,赢,大,胜
1349538.0,1366.0,2017/02/04 08:30,797.0,799.0,1-0,0-0,国际友谊,INT FRL,25_美国,USA,55_牙买加,Jamaica,0.0,0.0,,一球/球半|1/1.5,输,小,胜
1345688.0,1366.0,2017/01/30 05:30,797.0,642.0,0-0,0-0,国际友谊,INT FRL,25_美国,USA,37_塞尔维亚,Serbia,0.0,0.0,,一球|1,输,小,平
1327164.0,653.0,2016/11/16 10:05,914.0,797.0,4-0,1-0,北美预选,WCPCA,27_哥斯达黎加,Costa Rica,25_美国,USA,0.0,0.0,,半球|0.5,输,大,负
1327169.0,653.0,2016/11/12 09:00,797.0,819.0,1-2,0-1,北美预选,WCPCA,25_美国,USA,17_墨西哥,Mexico,0.0,1.0,,平手|0,输,大,负
1319203.0,1366.0,2016/10/12 08:00,797.0,2363.0,1-1,1-0,国际友谊,INT FRL,25_美国,USA,120_新西兰,New Zealand,0.0,0.0,,球半|1.5,输,小,平
1318802.0,1366.0,2016/10/08 04:00,1991.0,797.0,0-2,0-0,国际友谊,INT FRL,181_古巴,cuba,25_美国,USA,0.0,0.0,,受让两球/两球半|-2/-2.5,输,小,胜
1196394.0,653.0,2016/09/07 08:15,797.0,912.0,4-0,1-0,北美预选,WCPCA,25_美国,USA,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1196392.0,653.0,2016/09/03 03:30,1494.0,797.0,0-6,0-3,北美预选,WCPCA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,25_美国,USA,0.0,0.0,,受让三球/三球半|-3/-3.5,赢,大,胜
1252739.0,224.0,2016/06/26 08:00,797.0,775.0,0-1,0-1,美洲杯,AMEC,25_美国,USA,13_哥伦比亚,Colombia,1.0,1.0,,受让平手/半球|-0/-0.5,输,小,负
1248764.0,224.0,2016/06/22 09:00,797.0,766.0,0-4,0-2,美洲杯,AMEC,25_美国,USA,4_阿根廷,Argentina,0.0,0.0,,受让一球|-1,输,大,负
1246966.0,224.0,2016/06/17 09:30,797.0,779.0,2-1,1-0,美洲杯,AMEC,25_美国,USA,68_厄瓜多尔,Ecuador,1.0,1.0,,平手/半球|0/0.5,赢,大,胜
1223654.0,224.0,2016/06/12 07:00,797.0,776.0,1-0,1-0,美洲杯,AMEC,25_美国,USA,31_巴拉圭,Paraguay,1.0,0.0,,半球|0.5,赢,小,胜
1223651.0,224.0,2016/06/08 08:00,797.0,914.0,4-0,3-0,美洲杯,AMEC,25_美国,USA,27_哥斯达黎加,Costa Rica,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1223649.0,224.0,2016/06/04 09:35,797.0,775.0,0-2,0-2,美洲杯,AMEC,25_美国,USA,13_哥伦比亚,Colombia,0.0,0.0,,平手|0,输,小,负
1243468.0,1366.0,2016/05/29 08:00,797.0,773.0,4-0,2-0,国际友谊,INT FRL,25_美国,USA,49_玻利维亚,Bolivia,0.0,0.0,,一球|1,赢,大,胜
1242858.0,1366.0,2016/05/26 08:10,797.0,779.0,1-0,0-0,国际友谊,INT FRL,25_美国,USA,68_厄瓜多尔,Ecuador,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1242856.0,1366.0,2016/05/22 23:59,7492.0,797.0,1-3,1-2,国际友谊,INT FRL,166_波多黎各,Puerto Rico,25_美国,USA,0.0,0.0,,受让球半/两球|-1.5/-2,赢,大,胜
1196389.0,653.0,2016/03/30 07:25,797.0,801.0,4-0,2-0,北美预选,WCPCA,25_美国,USA,128_危地马拉,Guatemala,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1196388.0,653.0,2016/03/26 10:05,801.0,797.0,2-0,2-0,北美预选,WCPCA,128_危地马拉,Guatemala,25_美国,USA,0.0,0.0,,受让一球|-1,输,小,负
1211813.0,1366.0,2016/02/06 11:45,797.0,795.0,1-0,0-0,国际友谊,INT FRL,25_美国,USA,95_加拿大,Canada,0.0,0.0,,球半|1.5,输,小,胜
1208167.0,1366.0,2016/02/01 05:00,797.0,756.0,3-2,1-1,国际友谊,INT FRL,25_美国,USA,20_冰岛,Iceland,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1196386.0,653.0,2015/11/18 07:40,912.0,797.0,0-0,0-0,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,25_美国,USA,0.0,0.0,,受让半球|-0.5,输,小,平
1196360.0,653.0,2015/11/14 08:10,797.0,1494.0,6-1,3-1,北美预选,WCPCA,25_美国,USA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,三球/三球半|3/3.5,赢,大,胜
1192321.0,1366.0,2015/10/14 07:05,797.0,914.0,0-1,0-0,国际友谊,INT FRL,25_美国,USA,27_哥斯达黎加,Costa Rica,0.0,0.0,,半球|0.5,输,小,负
1192440.0,1366.0,2015/10/11 09:40,797.0,819.0,1-1,1-1,国际友谊,INT FRL,25_美国,USA,17_墨西哥,Mexico,0.0,0.0,"90,1-1;;1,2-3;;2",平手|0,走,小,平
1182535.0,1366.0,2015/09/09 08:40,797.0,778.0,1-4,0-1,国际友谊,INT FRL,25_美国,USA,2_巴西,Brazil,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1180837.0,1366.0,2015/09/05 07:30,797.0,774.0,2-1,0-1,国际友谊,INT FRL,25_美国,USA,11_秘鲁,Peru,0.0,0.0,,半球|0.5,赢,大,胜
1155583.0,232.0,2015/07/26 04:00,797.0,798.0,1-1,0-0,美金杯,CGC,25_美国,USA,53_巴拿马,Panama,0.0,0.0,"90,1-1;;1,1-1;2-3;2",半球/一球|0.5/1,输,小,平
1152446.0,232.0,2015/07/23 06:00,797.0,799.0,1-2,0-2,美金杯,CGC,25_美国,USA,55_牙买加,Jamaica,0.0,0.0,,一球|1,输,大,负
1149814.0,232.0,2015/07/19 05:00,797.0,1991.0,6-0,4-0,美金杯,CGC,25_美国,USA,181_古巴,cuba,0.0,0.0,,两球半/三球|2.5/3,赢,大,胜
