赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502136.0,1864.0,2018/11/19 01:00,759.0,647.0,,,欧国联,UEFA  NL,25_北爱尔兰,Northern Ireland,29_奥地利,Austria,0.0,0.0,,,,,
1502134.0,1864.0,2018/10/16 02:45,782.0,759.0,,,欧国联,UEFA  NL,38_波黑,Bosnia-Herzegovina,25_北爱尔兰,Northern Ireland,0.0,0.0,,,,,
1502133.0,1864.0,2018/10/13 02:45,647.0,759.0,,,欧国联,UEFA  NL,29_奥地利,Austria,25_北爱尔兰,Northern Ireland,0.0,0.0,,,,,
1502131.0,1864.0,2018/09/08 21:00,759.0,782.0,,,欧国联,UEFA  NL,25_北爱尔兰,Northern Ireland,38_波黑,Bosnia-Herzegovina,0.0,0.0,,,,,
1543753.0,1366.0,2018/06/04 01:00,914.0,759.0,3-0,1-0,国际友谊,INT FRL,27_哥斯达黎加,Costa Rica,25_北爱尔兰,Northern Ireland,0.0,0.0,,半球|0.5,输,大,负
1543282.0,1366.0,2018/05/30 09:00,798.0,759.0,0-0,0-0,国际友谊,INT FRL,53_巴拿马,Panama,25_北爱尔兰,Northern Ireland,0.0,0.0,,半球|0.5,赢,小,平
1518996.0,1366.0,2018/03/24 22:00,759.0,898.0,2-1,1-1,国际友谊,INT FRL,25_北爱尔兰,Northern Ireland,59_韩国,Korea Republic,0.0,0.0,,平手|0,赢,大,胜
1472474.0,650.0,2017/11/13 01:00,648.0,759.0,0-0,0-0,欧洲预选,WCPEU,8_瑞士,Switzerland,25_北爱尔兰,Northern Ireland,0.0,0.0,,一球|1,赢,小,平
1472352.0,650.0,2017/11/10 03:45,759.0,648.0,0-1,0-0,欧洲预选,WCPEU,25_北爱尔兰,Northern Ireland,8_瑞士,Switzerland,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1198467.0,650.0,2017/10/09 02:45,640.0,759.0,1-0,0-0,欧洲预选,WCPEU,58_挪威,Norway,25_北爱尔兰,Northern Ireland,0.0,0.0,,平手|0,输,小,负
1198466.0,650.0,2017/10/06 02:45,759.0,650.0,1-3,0-2,欧洲预选,WCPEU,25_北爱尔兰,Northern Ireland,1_德国,Germany,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
1198462.0,650.0,2017/09/05 02:45,759.0,747.0,2-0,2-0,欧洲预选,WCPEU,25_北爱尔兰,Northern Ireland,48_捷克,Czech,0.0,0.0,,平手|0,赢,走,胜
1198460.0,650.0,2017/09/02 02:45,907.0,759.0,0-3,0-0,欧洲预选,WCPEU,204_圣马力诺,San Marino,25_北爱尔兰,Northern Ireland,0.0,0.0,,受让两球半|-2.5,赢,小,胜
1198455.0,650.0,2017/06/10 23:59,758.0,759.0,0-1,0-0,欧洲预选,WCPEU,118_阿塞拜疆,Azerbaijan,25_北爱尔兰,Northern Ireland,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1389651.0,1366.0,2017/06/03 02:45,759.0,2363.0,1-0,1-0,国际友谊,INT FRL,25_北爱尔兰,Northern Ireland,120_新西兰,New Zealand,0.0,0.0,,一球|1,走,小,胜
1198454.0,650.0,2017/03/27 02:45,759.0,640.0,2-0,2-0,欧洲预选,WCPEU,25_北爱尔兰,Northern Ireland,58_挪威,Norway,0.0,0.0,,半球|0.5,赢,走,胜
1328248.0,1366.0,2016/11/16 04:00,759.0,768.0,0-3,0-2,国际友谊,INT FRL,25_北爱尔兰,Northern Ireland,15_克罗地亚,Croatia,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1198449.0,650.0,2016/11/12 03:45,759.0,758.0,4-0,2-0,欧洲预选,WCPEU,25_北爱尔兰,Northern Ireland,118_阿塞拜疆,Azerbaijan,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1198447.0,650.0,2016/10/12 02:45,650.0,759.0,2-0,2-0,欧洲预选,WCPEU,1_德国,Germany,25_北爱尔兰,Northern Ireland,0.0,0.0,,两球/两球半|2/2.5,赢,小,负
1198444.0,650.0,2016/10/09 02:45,759.0,907.0,4-0,1-0,欧洲预选,WCPEU,25_北爱尔兰,Northern Ireland,204_圣马力诺,San Marino,0.0,1.0,,三球半|3.5,赢,小,胜
1198442.0,650.0,2016/09/05 02:45,747.0,759.0,0-0,0-0,欧洲预选,WCPEU,48_捷克,Czech,25_北爱尔兰,Northern Ireland,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1252621.0,67.0,2016/06/25 23:59,7384.0,759.0,1-0,0-0,欧洲杯,EURO  Cup,19_威尔士,Wales,25_北爱尔兰,Northern Ireland,0.0,0.0,,半球|0.5,输,小,负
1201930.0,67.0,2016/06/21 23:59,759.0,650.0,0-1,0-1,欧洲杯,EURO  Cup,25_北爱尔兰,Northern Ireland,1_德国,Germany,0.0,0.0,,受让球半/两球|-1.5/-2,赢,小,负
1201933.0,67.0,2016/06/16 23:59,634.0,759.0,0-2,0-0,欧洲杯,EURO  Cup,35_乌克兰,Ukraine,25_北爱尔兰,Northern Ireland,0.0,0.0,,半球|0.5,赢,走,胜
1201870.0,67.0,2016/06/12 23:59,637.0,759.0,1-0,0-0,欧洲杯,EURO  Cup,7_波兰,Poland,25_北爱尔兰,Northern Ireland,0.0,0.0,,半球|0.5,输,小,负
1244118.0,1366.0,2016/06/05 02:45,752.0,759.0,0-0,0-0,国际友谊,INT FRL,28_斯洛伐克,Slovakia,25_北爱尔兰,Northern Ireland,0.0,0.0,,半球|0.5,赢,小,平
1243437.0,1366.0,2016/05/28 02:45,759.0,750.0,3-0,2-0,国际友谊,INT FRL,25_北爱尔兰,Northern Ireland,93_白俄罗斯,Belarus,0.0,0.0,,半球|0.5,赢,大,胜
1229346.0,1366.0,2016/03/29 02:45,759.0,632.0,1-0,1-0,国际友谊,INT FRL,25_北爱尔兰,Northern Ireland,64_斯洛文尼亚,Slovenia,0.0,0.0,,平手|0,赢,小,胜
1229367.0,1366.0,2016/03/25 03:45,7384.0,759.0,1-1,0-0,国际友谊,INT FRL,19_威尔士,Wales,25_北爱尔兰,Northern Ireland,0.0,0.0,,半球|0.5,赢,小,平
1196760.0,1366.0,2015/11/14 03:45,759.0,631.0,1-0,0-0,国际友谊,INT FRL,25_北爱尔兰,Northern Ireland,131_拉脱维亚,Latvia,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
975062.0,67.0,2015/10/11 23:59,736.0,759.0,1-1,0-1,欧洲杯,EURO  Cup,68_芬兰,Finland,25_北爱尔兰,Northern Ireland,0.0,0.0,,平手/半球|0/0.5,赢,小,平
975066.0,67.0,2015/10/09 02:45,759.0,757.0,3-1,1-0,欧洲杯,EURO  Cup,25_北爱尔兰,Northern Ireland,47_希腊,Greece,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
975069.0,67.0,2015/09/08 02:45,759.0,745.0,1-1,0-0,欧洲杯,EURO  Cup,25_北爱尔兰,Northern Ireland,54_匈牙利,Hungary,1.0,0.0,,平手/半球|0/0.5,输,走,平
975073.0,67.0,2015/09/05 02:45,754.0,759.0,1-3,1-1,欧洲杯,EURO  Cup,97_法罗群岛,Faroe Islands,25_北爱尔兰,Northern Ireland,1.0,0.0,,受让一球|-1,赢,大,胜
975075.0,67.0,2015/06/14 02:45,759.0,635.0,0-0,0-0,欧洲杯,EURO  Cup,25_北爱尔兰,Northern Ireland,40_罗马尼亚,Romania,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1128941.0,1366.0,2015/05/31 23:59,759.0,904.0,1-1,0-0,国际友谊,INT FRL,25_北爱尔兰,Northern Ireland,103_卡塔尔,Qatar,0.0,0.0,,半球/一球|0.5/1,输,小,平
975079.0,67.0,2015/03/29 23:59,759.0,736.0,2-1,2-0,欧洲杯,EURO  Cup,25_北爱尔兰,Northern Ireland,68_芬兰,Finland,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1108246.0,1366.0,2015/03/26 03:45,641.0,759.0,1-0,0-0,国际友谊,INT FRL,32_苏格兰,Scotland,25_北爱尔兰,Northern Ireland,0.0,0.0,,半球|0.5,输,小,负
975081.0,67.0,2014/11/15 03:45,635.0,759.0,2-0,0-0,欧洲杯,EURO  Cup,40_罗马尼亚,Romania,25_北爱尔兰,Northern Ireland,0.0,0.0,,一球|1,输,小,负
975084.0,67.0,2014/10/15 02:45,757.0,759.0,0-2,0-1,欧洲杯,EURO  Cup,47_希腊,Greece,25_北爱尔兰,Northern Ireland,0.0,0.0,,一球|1,赢,小,胜
975087.0,67.0,2014/10/12 02:45,759.0,754.0,2-0,2-0,欧洲杯,EURO  Cup,25_北爱尔兰,Northern Ireland,97_法罗群岛,Faroe Islands,0.0,0.0,,球半|1.5,赢,小,胜
975091.0,67.0,2014/09/07 23:59,745.0,759.0,1-2,0-0,欧洲杯,EURO  Cup,54_匈牙利,Hungary,25_北爱尔兰,Northern Ireland,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
984744.0,1366.0,2014/06/05 08:00,780.0,759.0,2-0,0-0,国际友谊,INT FRL,10_智利,Chile,25_北爱尔兰,Northern Ireland,0.0,0.0,,球半|1.5,输,小,负
983790.0,1366.0,2014/05/31 07:30,767.0,759.0,1-0,0-0,国际友谊,INT FRL,22_乌拉圭,Uruguay,25_北爱尔兰,Northern Ireland,0.0,0.0,,球半|1.5,赢,小,负
959550.0,1366.0,2014/03/06 02:00,753.0,759.0,0-0,0-0,国际友谊,INT FRL,92_塞浦路斯,Cyprus,25_北爱尔兰,Northern Ireland,0.0,1.0,,受让平手/半球|-0/-0.5,输,小,平
936516.0,41.0,2013/11/16 03:00,762.0,759.0,1-0,1-0,球会友谊,INT CF,41_土耳其,Turkey,25_北爱尔兰,Northern Ireland,0.0,0.0,,一球/球半|1/1.5,赢,小,负
663971.0,650.0,2013/10/16 01:00,760.0,759.0,1-1,1-0,欧洲预选,WCPEU,99_以色列,Israel,25_北爱尔兰,Northern Ireland,0.0,0.0,,一球|1,赢,小,平
663976.0,650.0,2013/10/11 23:59,758.0,759.0,2-0,0-0,欧洲预选,WCPEU,118_阿塞拜疆,Azerbaijan,25_北爱尔兰,Northern Ireland,0.0,1.0,,平手/半球|0/0.5,输,走,负
663978.0,650.0,2013/09/11 02:15,749.0,759.0,3-2,1-1,欧洲预选,WCPEU,84_卢森堡,Luxembourg,25_北爱尔兰,Northern Ireland,0.0,0.0,,受让半球|-0.5,输,大,负
663980.0,650.0,2013/09/07 02:45,759.0,765.0,2-4,1-1,欧洲预选,WCPEU,25_北爱尔兰,Northern Ireland,3_葡萄牙,Portugal,2.0,1.0,,受让球半|-1.5,输,大,负
663988.0,650.0,2013/08/15 02:45,759.0,746.0,1-0,1-0,欧洲预选,WCPEU,25_北爱尔兰,Northern Ireland,62_俄罗斯,Russia,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,胜
663985.0,650.0,2013/03/27 03:45,759.0,760.0,0-2,0-0,欧洲预选,WCPEU,25_北爱尔兰,Northern Ireland,99_以色列,Israel,0.0,0.0,,,,小,负
816007.0,41.0,2013/02/07 02:30,755.0,759.0,0-0,0-0,球会友谊,INT CF,185_马耳他,Malta,25_北爱尔兰,Northern Ireland,0.0,0.0,,,,小,平
663989.0,650.0,2012/11/15 03:45,759.0,758.0,1-1,0-1,欧洲预选,WCPEU,25_北爱尔兰,Northern Ireland,118_阿塞拜疆,Azerbaijan,0.0,0.0,,,,小,平
663990.0,650.0,2012/10/17 03:45,765.0,759.0,1-1,0-1,欧洲预选,WCPEU,3_葡萄牙,Portugal,25_北爱尔兰,Northern Ireland,0.0,0.0,,,,小,平
663995.0,650.0,2012/09/12 02:45,759.0,749.0,1-1,1-0,欧洲预选,WCPEU,25_北爱尔兰,Northern Ireland,84_卢森堡,Luxembourg,0.0,0.0,,,,小,平
663998.0,650.0,2012/09/07 23:00,746.0,759.0,2-0,1-0,欧洲预选,WCPEU,62_俄罗斯,Russia,25_北爱尔兰,Northern Ireland,0.0,0.0,,,,小,负
755585.0,41.0,2012/08/16 02:45,759.0,736.0,3-3,2-2,球会友谊,INT CF,25_北爱尔兰,Northern Ireland,68_芬兰,Finland,0.0,0.0,,,,大,平
706905.0,41.0,2012/06/03 02:00,646.0,759.0,6-0,4-0,球会友谊,INT CF,21_荷兰,Netherlands,25_北爱尔兰,Northern Ireland,0.0,0.0,,,,大,负
674044.0,41.0,2012/03/01 03:45,759.0,640.0,0-3,0-1,球会友谊,INT CF,25_北爱尔兰,Northern Ireland,58_挪威,Norway,0.0,0.0,,,,大,负
429459.0,67.0,2011/10/12 02:45,771.0,759.0,3-0,1-0,欧洲杯,EURO  Cup,14_意大利,Italy,25_北爱尔兰,Northern Ireland,0.0,0.0,,,,大,负
429458.0,67.0,2011/10/08 02:45,759.0,636.0,1-2,1-0,欧洲杯,EURO  Cup,25_北爱尔兰,Northern Ireland,88_爱沙尼亚,Estonia,0.0,0.0,,,,大,负
429456.0,67.0,2011/09/07 02:30,636.0,759.0,4-1,2-1,欧洲杯,EURO  Cup,88_爱沙尼亚,Estonia,25_北爱尔兰,Northern Ireland,0.0,0.0,,,,大,负
429451.0,67.0,2011/09/03 02:45,759.0,642.0,0-1,0-0,欧洲杯,EURO  Cup,25_北爱尔兰,Northern Ireland,37_塞尔维亚,Serbia,0.0,0.0,,,,小,负
429450.0,67.0,2011/08/11 02:45,759.0,754.0,4-0,1-0,欧洲杯,EURO  Cup,25_北爱尔兰,Northern Ireland,97_法罗群岛,Faroe Islands,0.0,0.0,,,,大,胜
557037.0,1230.0,2011/05/28 02:45,7384.0,759.0,2-0,1-0,不列颠杯,CNCup,19_威尔士,Wales,25_北爱尔兰,Northern Ireland,0.0,0.0,,,,小,负
