赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1482852.0,75.0,2018/06/28 02:00,648.0,914.0,,,世界杯,World Cup,8_瑞士,Switzerland,27_哥斯达黎加,Costa Rica,0.0,0.0,,,,,
1482849.0,75.0,2018/06/22 20:00,778.0,914.0,2-0,0-0,世界杯,World Cup,2_巴西,Brazil,27_哥斯达黎加,Costa Rica,0.0,0.0,,球半/两球|1.5/2,输,小,负
1482847.0,75.0,2018/06/17 20:00,914.0,642.0,0-1,0-0,世界杯,World Cup,27_哥斯达黎加,Costa Rica,37_塞尔维亚,Serbia,0.0,0.0,,受让半球|-0.5,输,小,负
1543816.0,1366.0,2018/06/12 02:45,645.0,914.0,4-1,2-1,国际友谊,INT FRL,5_比利时,Belgium,27_哥斯达黎加,Costa Rica,0.0,0.0,,两球|2,输,大,负
1543787.0,1366.0,2018/06/08 03:00,744.0,914.0,2-0,1-0,国际友谊,INT FRL,16_英格兰,England,27_哥斯达黎加,Costa Rica,0.0,0.0,,球半/两球|1.5/2,输,小,负
1543753.0,1366.0,2018/06/04 01:00,914.0,759.0,3-0,1-0,国际友谊,INT FRL,27_哥斯达黎加,Costa Rica,25_北爱尔兰,Northern Ireland,0.0,0.0,,半球|0.5,赢,大,胜
1521494.0,1366.0,2018/03/28 02:00,823.0,914.0,1-0,1-0,国际友谊,INT FRL,23_突尼斯,Tunisia,27_哥斯达黎加,Costa Rica,0.0,0.0,,平手|0,输,小,负
1518991.0,1366.0,2018/03/24 03:45,641.0,914.0,0-1,0-1,国际友谊,INT FRL,32_苏格兰,Scotland,27_哥斯达黎加,Costa Rica,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1477407.0,1366.0,2017/11/15 03:15,745.0,914.0,1-0,1-0,国际友谊,INT FRL,54_匈牙利,Hungary,27_哥斯达黎加,Costa Rica,0.0,0.0,,平手|0,输,小,负
1477178.0,1366.0,2017/11/12 04:30,772.0,914.0,5-0,2-0,国际友谊,INT FRL,6_西班牙,Spain,27_哥斯达黎加,Costa Rica,0.0,0.0,,两球|2,输,大,负
1327141.0,653.0,2017/10/11 08:00,798.0,914.0,2-1,0-1,北美预选,WCPCA,53_巴拿马,Panama,27_哥斯达黎加,Costa Rica,0.0,0.0,,半球|0.5,输,大,负
1327144.0,653.0,2017/10/08 06:00,914.0,794.0,1-1,0-0,北美预选,WCPCA,27_哥斯达黎加,Costa Rica,67_洪都拉斯,Honduras,0.0,0.0,,半球/一球|0.5/1,输,走,平
1327147.0,653.0,2017/09/06 10:05,914.0,819.0,1-1,0-1,北美预选,WCPCA,27_哥斯达黎加,Costa Rica,17_墨西哥,Mexico,0.0,0.0,,平手/半球|0/0.5,输,走,平
1327151.0,653.0,2017/09/02 06:55,797.0,914.0,0-2,0-1,北美预选,WCPCA,25_美国,USA,27_哥斯达黎加,Costa Rica,0.0,0.0,,半球|0.5,赢,小,胜
1423970.0,232.0,2017/07/23 10:15,914.0,797.0,0-2,0-0,美金杯,CGC,27_哥斯达黎加,Costa Rica,25_美国,USA,0.0,0.0,,受让半球|-0.5,输,小,负
1420191.0,232.0,2017/07/20 06:15,914.0,798.0,1-0,0-0,美金杯,CGC,27_哥斯达黎加,Costa Rica,53_巴拿马,Panama,0.0,0.0,,半球|0.5,赢,小,胜
1406481.0,232.0,2017/07/15 07:35,914.0,20412.0,3-0,1-0,美金杯,CGC,27_哥斯达黎加,Costa Rica,220_弱鸡,French Guiana,0.0,1.0,,两球/两球半|2/2.5,赢,小,胜
1406478.0,232.0,2017/07/12 07:40,914.0,795.0,1-1,1-1,美金杯,CGC,27_哥斯达黎加,Costa Rica,95_加拿大,Canada,0.0,0.0,,半球/一球|0.5/1,输,小,平
1403564.0,232.0,2017/07/08 09:35,794.0,914.0,0-1,0-1,美金杯,CGC,67_洪都拉斯,Honduras,27_哥斯达黎加,Costa Rica,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1327154.0,653.0,2017/06/14 10:00,914.0,912.0,2-1,2-1,北美预选,WCPCA,27_哥斯达黎加,Costa Rica,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,两球|2,输,小,胜
1327157.0,653.0,2017/06/09 10:00,914.0,798.0,0-0,0-0,北美预选,WCPCA,27_哥斯达黎加,Costa Rica,53_巴拿马,Panama,1.0,0.0,,半球/一球|0.5/1,输,小,平
1327160.0,653.0,2017/03/29 05:00,794.0,914.0,1-1,1-0,北美预选,WCPCA,67_洪都拉斯,Honduras,27_哥斯达黎加,Costa Rica,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
1327162.0,653.0,2017/03/25 09:50,819.0,914.0,2-0,2-0,北美预选,WCPCA,17_墨西哥,Mexico,27_哥斯达黎加,Costa Rica,0.0,0.0,,半球/一球|0.5/1,输,小,负
1339708.0,424.0,2017/01/23 05:05,798.0,914.0,1-0,0-0,中美杯,UNCAFNC,53_巴拿马,Panama,27_哥斯达黎加,Costa Rica,0.0,0.0,,平手|0,输,小,负
1339704.0,424.0,2017/01/21 07:30,794.0,914.0,1-1,1-0,中美杯,UNCAFNC,67_洪都拉斯,Honduras,27_哥斯达黎加,Costa Rica,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
1339701.0,424.0,2017/01/18 07:35,914.0,5091.0,0-0,0-0,中美杯,UNCAFNC,27_哥斯达黎加,Costa Rica,115_尼加拉瓜,Nicaragua,0.0,0.0,,两球|2,输,小,平
1339697.0,424.0,2017/01/16 02:00,5092.0,914.0,0-3,0-1,中美杯,UNCAFNC,171_伯利兹,Belize,27_哥斯达黎加,Costa Rica,0.0,0.0,,受让两球/两球半|-2/-2.5,赢,小,胜
1338962.0,424.0,2017/01/14 07:30,914.0,796.0,0-0,0-0,中美杯,UNCAFNC,27_哥斯达黎加,Costa Rica,90_萨尔瓦多,El Salvador,0.0,0.0,,半球/一球|0.5/1,输,小,平
1327164.0,653.0,2016/11/16 10:05,914.0,797.0,4-0,1-0,北美预选,WCPCA,27_哥斯达黎加,Costa Rica,25_美国,USA,0.0,0.0,,半球|0.5,赢,大,胜
