赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502124.0,1864.0,2018/11/20 03:45,747.0,752.0,,,欧国联,UEFA  NL,48_捷克,Czech,28_斯洛伐克,Slovakia,0.0,0.0,,,,,
1502123.0,1864.0,2018/11/17 03:45,752.0,634.0,,,欧国联,UEFA  NL,28_斯洛伐克,Slovakia,35_乌克兰,Ukraine,0.0,0.0,,,,,
1502121.0,1864.0,2018/10/13 21:00,752.0,747.0,,,欧国联,UEFA  NL,28_斯洛伐克,Slovakia,48_捷克,Czech,0.0,0.0,,,,,
1502120.0,1864.0,2018/09/09 21:00,634.0,752.0,,,欧国联,UEFA  NL,35_乌克兰,Ukraine,28_斯洛伐克,Slovakia,0.0,0.0,,,,,
1543779.0,1366.0,2018/06/05 02:00,752.0,813.0,1-2,0-0,国际友谊,INT FRL,28_斯洛伐克,Slovakia,39_摩洛哥,Morocco,0.0,0.0,,平手|0,输,大,负
1543288.0,1366.0,2018/06/01 02:45,752.0,646.0,1-1,1-0,国际友谊,INT FRL,28_斯洛伐克,Slovakia,21_荷兰,Netherlands,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1523877.0,1366.0,2018/03/25 20:30,886.0,752.0,2-3,1-2,国际友谊,INT FRL,129_泰国,Thailand,28_斯洛伐克,Slovakia,0.0,0.0,,受让一球|-1,走,大,胜
1519556.0,1366.0,2018/03/22 17:30,752.0,887.0,2-1,2-0,国际友谊,INT FRL,28_斯洛伐克,Slovakia,78_阿联酋,United Arab Emirates,0.0,0.0,,球半|1.5,输,大,胜
1477404.0,1366.0,2017/11/15 01:00,752.0,640.0,1-0,0-0,国际友谊,INT FRL,28_斯洛伐克,Slovakia,58_挪威,Norway,0.0,0.0,,半球|0.5,赢,小,胜
1476824.0,1366.0,2017/11/11 02:00,634.0,752.0,2-1,1-1,国际友谊,INT FRL,35_乌克兰,Ukraine,28_斯洛伐克,Slovakia,0.0,0.0,,平手/半球|0/0.5,输,大,负
1198559.0,650.0,2017/10/08 23:59,752.0,755.0,3-0,1-0,欧洲预选,WCPEU,28_斯洛伐克,Slovakia,185_马耳他,Malta,0.0,0.0,,两球半/三球|2.5/3,赢,小,胜
1198554.0,650.0,2017/10/06 02:45,641.0,752.0,1-0,0-0,欧洲预选,WCPEU,32_苏格兰,Scotland,28_斯洛伐克,Slovakia,0.0,1.0,,平手/半球|0/0.5,输,小,负
1198551.0,650.0,2017/09/05 02:45,744.0,752.0,2-1,1-1,欧洲预选,WCPEU,16_英格兰,England,28_斯洛伐克,Slovakia,0.0,0.0,,一球|1,走,大,负
1198549.0,650.0,2017/09/02 02:45,752.0,632.0,1-0,0-0,欧洲预选,WCPEU,28_斯洛伐克,Slovakia,64_斯洛文尼亚,Slovenia,0.0,0.0,,半球|0.5,赢,小,胜
1198547.0,650.0,2017/06/11 02:45,905.0,752.0,1-2,0-1,欧洲预选,WCPEU,147_立陶宛,Lithuania,28_斯洛伐克,Slovakia,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
