赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502136.0,1864.0,2018/11/19 01:00,759.0,647.0,,,欧国联,UEFA  NL,25_北爱尔兰,Northern Ireland,29_奥地利,Austria,0.0,0.0,,,,,
1502135.0,1864.0,2018/11/16 03:45,647.0,782.0,,,欧国联,UEFA  NL,29_奥地利,Austria,38_波黑,Bosnia-Herzegovina,0.0,0.0,,,,,
1502133.0,1864.0,2018/10/13 02:45,647.0,759.0,,,欧国联,UEFA  NL,29_奥地利,Austria,25_北爱尔兰,Northern Ireland,0.0,0.0,,,,,
1502132.0,1864.0,2018/09/12 02:45,782.0,647.0,,,欧国联,UEFA  NL,38_波黑,Bosnia-Herzegovina,29_奥地利,Austria,0.0,0.0,,,,,
1543814.0,1366.0,2018/06/10 22:00,647.0,778.0,0-3,0-1,国际友谊,INT FRL,29_奥地利,Austria,2_巴西,Brazil,0.0,0.0,,受让一球|-1,输,大,负
1543741.0,1366.0,2018/06/03 01:40,647.0,650.0,2-1,0-1,国际友谊,INT FRL,29_奥地利,Austria,1_德国,Germany,0.0,0.0,,受让一球|-1,赢,大,胜
1543738.0,1366.0,2018/05/31 02:45,647.0,746.0,1-0,1-0,国际友谊,INT FRL,29_奥地利,Austria,62_俄罗斯,Russia,0.0,0.0,,平手|0,赢,小,胜
1521498.0,1366.0,2018/03/28 02:30,749.0,647.0,0-4,0-2,国际友谊,INT FRL,84_卢森堡,Luxembourg,29_奥地利,Austria,0.0,0.0,,受让一球/球半|-1/-1.5,赢,大,胜
1519562.0,1366.0,2018/03/24 03:45,647.0,632.0,3-0,2-0,国际友谊,INT FRL,29_奥地利,Austria,64_斯洛文尼亚,Slovenia,0.0,0.0,,半球|0.5,赢,大,胜
1477408.0,1366.0,2017/11/15 03:45,647.0,767.0,2-1,1-1,国际友谊,INT FRL,29_奥地利,Austria,22_乌拉圭,Uruguay,0.0,0.0,,平手|0,赢,大,胜
1198497.0,650.0,2017/10/10 02:45,751.0,647.0,0-1,0-0,欧洲预选,WCPEU,166_摩尔多瓦,Moldova,29_奥地利,Austria,1.0,0.0,,受让一球/球半|-1/-1.5,输,小,胜
1198496.0,650.0,2017/10/07 02:45,647.0,642.0,3-2,1-1,欧洲预选,WCPEU,29_奥地利,Austria,37_塞尔维亚,Serbia,0.0,0.0,,平手|0,赢,大,胜
1198492.0,650.0,2017/09/06 02:45,647.0,901.0,1-1,1-1,欧洲预选,WCPEU,29_奥地利,Austria,104_格鲁吉亚,Georgia,0.0,0.0,,一球/球半|1/1.5,输,小,平
1198490.0,650.0,2017/09/03 02:45,7384.0,647.0,1-0,0-0,欧洲预选,WCPEU,19_威尔士,Wales,29_奥地利,Austria,0.0,0.0,,平手/半球|0/0.5,输,小,负
