赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1482851.0,75.0,2018/06/28 02:00,642.0,778.0,,,世界杯,World Cup,37_塞尔维亚,Serbia,2_巴西,Brazil,0.0,0.0,,,,,
1482849.0,75.0,2018/06/22 20:00,778.0,914.0,2-0,0-0,世界杯,World Cup,2_巴西,Brazil,27_哥斯达黎加,Costa Rica,0.0,0.0,,球半/两球|1.5/2,赢,小,胜
1482848.0,75.0,2018/06/18 02:00,778.0,648.0,1-1,1-0,世界杯,World Cup,2_巴西,Brazil,8_瑞士,Switzerland,0.0,0.0,,一球/球半|1/1.5,输,小,平
1543814.0,1366.0,2018/06/10 22:00,647.0,778.0,0-3,0-1,国际友谊,INT FRL,29_奥地利,Austria,2_巴西,Brazil,0.0,0.0,,受让一球|-1,赢,大,胜
1543743.0,1366.0,2018/06/03 22:00,778.0,768.0,2-0,0-0,国际友谊,INT FRL,2_巴西,Brazil,15_克罗地亚,Croatia,0.0,0.0,,一球/球半|1/1.5,赢,小,胜
1521501.0,1366.0,2018/03/28 02:45,650.0,778.0,0-1,0-1,国际友谊,INT FRL,1_德国,Germany,2_巴西,Brazil,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1520453.0,1366.0,2018/03/23 23:59,746.0,778.0,0-3,0-0,国际友谊,INT FRL,62_俄罗斯,Russia,2_巴西,Brazil,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1477412.0,1366.0,2017/11/15 04:00,744.0,778.0,0-0,0-0,国际友谊,INT FRL,16_英格兰,England,2_巴西,Brazil,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
1476823.0,1366.0,2017/11/10 20:00,903.0,778.0,1-3,0-3,国际友谊,INT FRL,56_日本,Japan,2_巴西,Brazil,0.0,0.0,,受让一球/球半|-1/-1.5,赢,大,胜
1197773.0,652.0,2017/10/11 07:30,778.0,780.0,3-0,0-0,南美预选,WCPSA,2_巴西,Brazil,10_智利,Chile,0.0,0.0,,半球|0.5,赢,大,胜
1197768.0,652.0,2017/10/06 04:00,773.0,778.0,0-0,0-0,南美预选,WCPSA,49_玻利维亚,Bolivia,2_巴西,Brazil,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
1197762.0,652.0,2017/09/06 04:30,775.0,778.0,1-1,0-1,南美预选,WCPSA,13_哥伦比亚,Colombia,2_巴西,Brazil,0.0,0.0,,平手|0,走,小,平
1197758.0,652.0,2017/09/01 08:45,778.0,779.0,2-0,0-0,南美预选,WCPSA,2_巴西,Brazil,68_厄瓜多尔,Ecuador,0.0,0.0,,球半|1.5,赢,小,胜
1430307.0,1366.0,2017/07/28 07:15,778.0,903.0,1-1,0-0,国际友谊,INT FRL,2_巴西,Brazil,56_日本,Japan,0.0,0.0,,,,,平
1390547.0,1366.0,2017/06/13 18:05,913.0,778.0,0-4,0-1,国际友谊,INT FRL,36_澳大利亚,Australia,2_巴西,Brazil,0.0,0.0,,受让一球/球半|-1/-1.5,赢,大,胜
1390548.0,1366.0,2017/06/09 18:05,778.0,766.0,0-1,0-1,国际友谊,INT FRL,2_巴西,Brazil,4_阿根廷,Argentina,0.0,0.0,,平手|0,输,小,负
1197753.0,652.0,2017/03/29 08:45,778.0,776.0,3-0,1-0,南美预选,WCPSA,2_巴西,Brazil,31_巴拉圭,Paraguay,0.0,0.0,,球半/两球|1.5/2,赢,走,胜
1197748.0,652.0,2017/03/24 07:00,767.0,778.0,1-4,1-1,南美预选,WCPSA,22_乌拉圭,Uruguay,2_巴西,Brazil,0.0,0.0,,平手|0,赢,大,胜
1343026.0,1366.0,2017/01/26 07:45,778.0,775.0,1-0,0-0,国际友谊,INT FRL,2_巴西,Brazil,13_哥伦比亚,Colombia,0.0,0.0,,半球|0.5,赢,小,胜
1197743.0,652.0,2016/11/16 10:15,774.0,778.0,0-2,0-0,南美预选,WCPSA,11_秘鲁,Peru,2_巴西,Brazil,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1197738.0,652.0,2016/11/11 07:45,778.0,766.0,3-0,2-0,南美预选,WCPSA,2_巴西,Brazil,4_阿根廷,Argentina,0.0,0.0,,半球|0.5,赢,大,胜
1197733.0,652.0,2016/10/12 08:30,777.0,778.0,0-2,0-1,南美预选,WCPSA,52_委内瑞拉,Venezuela,2_巴西,Brazil,0.0,0.0,,受让球半|-1.5,赢,小,胜
1197728.0,652.0,2016/10/07 08:45,778.0,773.0,5-0,4-0,南美预选,WCPSA,2_巴西,Brazil,49_玻利维亚,Bolivia,0.0,0.0,,两球半|2.5,赢,大,胜
1197723.0,652.0,2016/09/07 08:45,778.0,775.0,2-1,1-1,南美预选,WCPSA,2_巴西,Brazil,13_哥伦比亚,Colombia,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1197717.0,652.0,2016/09/02 05:00,779.0,778.0,0-3,0-0,南美预选,WCPSA,68_厄瓜多尔,Ecuador,2_巴西,Brazil,1.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1223660.0,224.0,2016/06/13 08:55,778.0,774.0,0-1,0-0,美洲杯,AMEC,2_巴西,Brazil,11_秘鲁,Peru,0.0,0.0,,一球|1,输,小,负
1223658.0,224.0,2016/06/09 07:30,778.0,909.0,7-1,3-0,美洲杯,AMEC,2_巴西,Brazil,87_海地,Haiti,0.0,0.0,,两球/两球半|2/2.5,赢,大,胜
1223655.0,224.0,2016/06/05 10:00,778.0,779.0,0-0,0-0,美洲杯,AMEC,2_巴西,Brazil,68_厄瓜多尔,Ecuador,0.0,0.0,,一球|1,输,小,平
1243458.0,1366.0,2016/05/30 09:30,778.0,798.0,2-0,1-0,国际友谊,INT FRL,2_巴西,Brazil,53_巴拿马,Panama,0.0,0.0,,两球|2,走,小,胜
1197712.0,652.0,2016/03/30 08:45,776.0,778.0,2-2,1-0,南美预选,WCPSA,31_巴拉圭,Paraguay,2_巴西,Brazil,0.0,0.0,,受让半球|-0.5,输,大,平
1197708.0,652.0,2016/03/26 08:45,778.0,767.0,2-2,2-1,南美预选,WCPSA,2_巴西,Brazil,22_乌拉圭,Uruguay,0.0,0.0,,半球/一球|0.5/1,输,大,平
1190056.0,652.0,2015/11/18 08:00,778.0,774.0,3-0,1-0,南美预选,WCPSA,2_巴西,Brazil,11_秘鲁,Peru,0.0,0.0,,球半|1.5,赢,大,胜
1190052.0,652.0,2015/11/14 08:00,766.0,778.0,1-1,1-0,南美预选,WCPSA,4_阿根廷,Argentina,2_巴西,Brazil,0.0,1.0,,半球|0.5,赢,小,平
1190047.0,652.0,2015/10/14 09:00,778.0,777.0,3-1,2-0,南美预选,WCPSA,2_巴西,Brazil,52_委内瑞拉,Venezuela,0.0,0.0,,球半|1.5,赢,大,胜
1190042.0,652.0,2015/10/09 07:35,780.0,778.0,2-0,0-0,南美预选,WCPSA,10_智利,Chile,2_巴西,Brazil,0.0,0.0,,平手|0,输,小,负
1182535.0,1366.0,2015/09/09 08:40,797.0,778.0,1-4,0-1,国际友谊,INT FRL,25_美国,USA,2_巴西,Brazil,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1182534.0,1366.0,2015/09/06 04:00,914.0,778.0,0-1,0-1,国际友谊,INT FRL,27_哥斯达黎加,Costa Rica,2_巴西,Brazil,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,胜
1133232.0,224.0,2015/06/28 05:30,778.0,776.0,1-1,1-0,美洲杯,AMEC,2_巴西,Brazil,31_巴拉圭,Paraguay,0.0,0.0,"90,1-1;;;3-4;2",半球|0.5,输,小,平
1109161.0,224.0,2015/06/22 05:30,778.0,777.0,2-1,1-0,美洲杯,AMEC,2_巴西,Brazil,52_委内瑞拉,Venezuela,0.0,0.0,,一球|1,走,大,胜
1109164.0,224.0,2015/06/18 08:00,778.0,775.0,0-1,0-1,美洲杯,AMEC,2_巴西,Brazil,13_哥伦比亚,Colombia,1.0,1.0,,半球|0.5,输,小,负
1109165.0,224.0,2015/06/15 05:30,778.0,774.0,2-1,1-1,美洲杯,AMEC,2_巴西,Brazil,11_秘鲁,Peru,0.0,0.0,,球半/两球|1.5/2,输,小,胜
1129522.0,1366.0,2015/06/11 09:00,778.0,794.0,1-0,1-0,国际友谊,INT FRL,2_巴西,Brazil,67_洪都拉斯,Honduras,0.0,0.0,,两球|2,输,小,胜
1128826.0,1366.0,2015/06/08 04:00,778.0,819.0,2-0,2-0,国际友谊,INT FRL,2_巴西,Brazil,17_墨西哥,Mexico,0.0,0.0,,一球/球半|1/1.5,赢,小,胜
1109698.0,1366.0,2015/03/29 22:00,778.0,780.0,1-0,0-0,国际友谊,INT FRL,2_巴西,Brazil,10_智利,Chile,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1108245.0,1366.0,2015/03/27 04:00,649.0,778.0,1-3,1-1,国际友谊,INT FRL,9_法国,France,2_巴西,Brazil,0.0,0.0,,平手|0,赢,大,胜
1069715.0,1366.0,2014/11/19 02:00,647.0,778.0,1-2,0-0,国际友谊,INT FRL,29_奥地利,Austria,2_巴西,Brazil,0.0,0.0,,受让一球|-1,走,大,胜
1068348.0,1366.0,2014/11/13 02:30,762.0,778.0,0-4,0-3,国际友谊,INT FRL,41_土耳其,Turkey,2_巴西,Brazil,0.0,0.0,,受让半球|-0.5,赢,大,胜
1064536.0,1366.0,2014/10/14 18:45,903.0,778.0,0-4,0-1,国际友谊,INT FRL,56_日本,Japan,2_巴西,Brazil,0.0,0.0,,受让一球/球半|-1/-1.5,赢,大,胜
1063922.0,1366.0,2014/10/11 20:10,778.0,766.0,2-0,1-0,国际友谊,INT FRL,2_巴西,Brazil,4_阿根廷,Argentina,0.0,0.0,,平手|0,赢,小,胜
1053245.0,1366.0,2014/09/10 09:00,778.0,779.0,1-0,1-0,国际友谊,INT FRL,2_巴西,Brazil,68_厄瓜多尔,Ecuador,0.0,0.0,,一球/球半|1/1.5,输,小,胜
1051069.0,1366.0,2014/09/06 09:00,778.0,775.0,1-0,0-0,国际友谊,INT FRL,2_巴西,Brazil,13_哥伦比亚,Colombia,0.0,1.0,,平手/半球|0/0.5,赢,小,胜
1001686.0,75.0,2014/07/13 04:00,778.0,646.0,0-3,0-2,世界杯,World Cup,2_巴西,Brazil,21_荷兰,Netherlands,0.0,0.0,,平手/半球|0/0.5,输,走,负
998488.0,75.0,2014/07/09 04:00,778.0,650.0,1-7,0-5,世界杯,World Cup,2_巴西,Brazil,1_德国,Germany,0.0,0.0,,平手/半球|0/0.5,输,大,负
992149.0,75.0,2014/07/05 04:00,778.0,775.0,2-1,1-0,世界杯,World Cup,2_巴西,Brazil,13_哥伦比亚,Colombia,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
988435.0,75.0,2014/06/29 00:00,778.0,780.0,1-1,1-1,世界杯,World Cup,2_巴西,Brazil,10_智利,Chile,0.0,0.0,"90,1-1;;1,1-1;3-2;1",半球/一球|0.5/1,输,小,平
940531.0,75.0,2014/06/24 04:00,778.0,793.0,4-1,2-1,世界杯,World Cup,2_巴西,Brazil,45_喀麦隆,Cameroon,0.0,0.0,,两球|2,赢,大,胜
940529.0,75.0,2014/06/18 03:00,778.0,819.0,0-0,0-0,世界杯,World Cup,2_巴西,Brazil,17_墨西哥,Mexico,0.0,0.0,,球半/两球|1.5/2,输,小,平
940527.0,75.0,2014/06/13 04:00,778.0,768.0,3-1,1-1,世界杯,World Cup,2_巴西,Brazil,15_克罗地亚,Croatia,0.0,0.0,,球半|1.5,赢,大,胜
984729.0,1366.0,2014/06/07 03:10,778.0,642.0,1-0,0-0,国际友谊,INT FRL,2_巴西,Brazil,37_塞尔维亚,Serbia,0.0,0.0,,球半|1.5,输,小,胜
984644.0,1366.0,2014/06/04 03:00,778.0,798.0,4-0,2-0,国际友谊,INT FRL,2_巴西,Brazil,53_巴拿马,Panama,0.0,0.0,,两球半|2.5,赢,大,胜
