赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393633.0,93.0,2018/11/13 23:00,5302.0,735.0,,,非洲杯,CAF NC,106_尼日尔,Niger,30_埃及,Egypt,0.0,0.0,,,,,
1393631.0,93.0,2018/10/16 23:00,735.0,823.0,,,非洲杯,CAF NC,30_埃及,Egypt,23_突尼斯,Tunisia,0.0,0.0,,,,,
1393629.0,93.0,2018/09/11 23:00,4636.0,735.0,,,非洲杯,CAF NC,132_斯威士兰,Swaziland,30_埃及,Egypt,0.0,0.0,,,,,
1393625.0,93.0,2018/09/07 23:00,735.0,5302.0,,,非洲杯,CAF NC,30_埃及,Egypt,106_尼日尔,Niger,0.0,0.0,,,,,
1393628.0,93.0,2018/09/03 23:00,735.0,4636.0,,,非洲杯,CAF NC,30_埃及,Egypt,132_斯威士兰,Swaziland,0.0,0.0,,,,,
1482827.0,75.0,2018/06/25 22:00,891.0,735.0,2-1,1-1,世界杯,World Cup,65_沙特阿拉伯,Saudi Arabia,30_埃及,Egypt,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1482825.0,75.0,2018/06/20 02:00,746.0,735.0,3-1,0-0,世界杯,World Cup,62_俄罗斯,Russia,30_埃及,Egypt,0.0,0.0,,半球/一球|0.5/1,输,大,负
1482824.0,75.0,2018/06/15 20:00,735.0,767.0,0-1,0-0,世界杯,World Cup,30_埃及,Egypt,22_乌拉圭,Uruguay,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1543745.0,1366.0,2018/06/07 02:45,645.0,735.0,3-0,2-0,国际友谊,INT FRL,5_比利时,Belgium,30_埃及,Egypt,0.0,0.0,,一球/球半|1/1.5,输,大,负
1547288.0,1366.0,2018/06/02 03:20,735.0,775.0,0-0,0-0,国际友谊,INT FRL,30_埃及,Egypt,13_哥伦比亚,Colombia,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
