赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1543817.0,1366.0,2018/06/12 21:05,776.0,903.0,2-4,1-0,国际友谊,INT FRL,31_巴拉圭,Paraguay,56_日本,Japan,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1521508.0,1366.0,2018/03/28 07:40,797.0,776.0,1-0,1-0,国际友谊,INT FRL,25_美国,USA,31_巴拉圭,Paraguay,0.0,0.0,,平手/半球|0/0.5,输,小,负
1197769.0,652.0,2017/10/11 07:30,776.0,777.0,0-1,0-0,南美预选,WCPSA,31_巴拉圭,Paraguay,52_委内瑞拉,Venezuela,1.0,1.0,,球半|1.5,输,小,负
1197765.0,652.0,2017/10/06 07:30,775.0,776.0,1-2,0-0,南美预选,WCPSA,13_哥伦比亚,Colombia,31_巴拉圭,Paraguay,0.0,0.0,,一球|1,赢,大,胜
1197763.0,652.0,2017/09/06 08:00,776.0,767.0,1-2,0-0,南美预选,WCPSA,31_巴拉圭,Paraguay,22_乌拉圭,Uruguay,0.0,0.0,,平手|0,输,大,负
1197754.0,652.0,2017/09/01 06:30,780.0,776.0,0-3,0-1,南美预选,WCPSA,10_智利,Chile,31_巴拉圭,Paraguay,0.0,0.0,,一球|1,赢,大,胜
1407339.0,1366.0,2017/07/02 08:30,819.0,776.0,2-1,2-1,国际友谊,INT FRL,17_墨西哥,Mexico,31_巴拉圭,Paraguay,0.0,0.0,,平手/半球|0/0.5,输,大,负
1391070.0,1366.0,2017/06/09 05:00,774.0,776.0,1-0,0-0,国际友谊,INT FRL,11_秘鲁,Peru,31_巴拉圭,Paraguay,0.0,1.0,,半球|0.5,输,小,负
1389650.0,1366.0,2017/06/03 03:00,649.0,776.0,5-0,2-0,国际友谊,INT FRL,9_法国,France,31_巴拉圭,Paraguay,0.0,0.0,,球半|1.5,输,大,负
1197753.0,652.0,2017/03/29 08:45,778.0,776.0,3-0,1-0,南美预选,WCPSA,2_巴西,Brazil,31_巴拉圭,Paraguay,0.0,0.0,,球半/两球|1.5/2,输,走,负
1197747.0,652.0,2017/03/24 07:00,776.0,779.0,2-1,1-0,南美预选,WCPSA,31_巴拉圭,Paraguay,68_厄瓜多尔,Ecuador,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1197740.0,652.0,2016/11/16 04:00,773.0,776.0,1-0,0-0,南美预选,WCPSA,49_玻利维亚,Bolivia,31_巴拉圭,Paraguay,1.0,0.0,,平手|0,输,小,负
1197734.0,652.0,2016/11/11 07:30,776.0,774.0,1-4,1-0,南美预选,WCPSA,31_巴拉圭,Paraguay,11_秘鲁,Peru,0.0,0.0,,半球/一球|0.5/1,输,大,负
1197730.0,652.0,2016/10/12 07:30,766.0,776.0,0-1,0-1,南美预选,WCPSA,4_阿根廷,Argentina,31_巴拉圭,Paraguay,0.0,0.0,,球半|1.5,赢,小,胜
1197726.0,652.0,2016/10/07 07:30,776.0,775.0,0-1,0-0,南美预选,WCPSA,31_巴拉圭,Paraguay,13_哥伦比亚,Colombia,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1197722.0,652.0,2016/09/07 07:00,767.0,776.0,4-0,3-0,南美预选,WCPSA,22_乌拉圭,Uruguay,31_巴拉圭,Paraguay,0.0,0.0,,半球/一球|0.5/1,输,大,负
1197714.0,652.0,2016/09/02 08:00,776.0,780.0,2-1,2-1,南美预选,WCPSA,31_巴拉圭,Paraguay,10_智利,Chile,0.0,1.0,,平手|0,赢,大,胜
1223654.0,224.0,2016/06/12 07:00,797.0,776.0,1-0,1-0,美洲杯,AMEC,25_美国,USA,31_巴拉圭,Paraguay,1.0,0.0,,半球|0.5,输,小,负
1223652.0,224.0,2016/06/08 10:30,775.0,776.0,2-1,2-0,美洲杯,AMEC,13_哥伦比亚,Colombia,31_巴拉圭,Paraguay,0.0,1.0,,半球|0.5,输,大,负
1223650.0,224.0,2016/06/05 05:00,914.0,776.0,0-0,0-0,美洲杯,AMEC,27_哥斯达黎加,Costa Rica,31_巴拉圭,Paraguay,1.0,0.0,,平手|0,走,小,平
1243470.0,1366.0,2016/05/29 05:30,819.0,776.0,1-0,1-0,国际友谊,INT FRL,17_墨西哥,Mexico,31_巴拉圭,Paraguay,0.0,0.0,,平手/半球|0/0.5,输,小,负
1197712.0,652.0,2016/03/30 08:45,776.0,778.0,2-2,1-0,南美预选,WCPSA,31_巴拉圭,Paraguay,2_巴西,Brazil,0.0,0.0,,受让半球|-0.5,赢,大,平
1197706.0,652.0,2016/03/25 05:00,779.0,776.0,2-2,1-1,南美预选,WCPSA,68_厄瓜多尔,Ecuador,31_巴拉圭,Paraguay,0.0,0.0,,一球|1,赢,大,平
1190057.0,652.0,2015/11/18 07:00,776.0,773.0,2-1,0-0,南美预选,WCPSA,31_巴拉圭,Paraguay,49_玻利维亚,Bolivia,1.0,0.0,,一球/球半|1/1.5,输,大,胜
1190053.0,652.0,2015/11/14 10:15,774.0,776.0,1-0,1-0,南美预选,WCPSA,11_秘鲁,Peru,31_巴拉圭,Paraguay,0.0,0.0,,平手/半球|0/0.5,输,小,负
1190046.0,652.0,2015/10/14 08:00,776.0,766.0,0-0,0-0,南美预选,WCPSA,31_巴拉圭,Paraguay,4_阿根廷,Argentina,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1190041.0,652.0,2015/10/09 05:00,777.0,776.0,0-1,0-0,南美预选,WCPSA,52_委内瑞拉,Venezuela,31_巴拉圭,Paraguay,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1182537.0,1366.0,2015/09/06 05:00,780.0,776.0,3-2,1-0,国际友谊,INT FRL,10_智利,Chile,31_巴拉圭,Paraguay,0.0,0.0,,一球|1,走,大,负
1141609.0,224.0,2015/07/04 07:30,776.0,774.0,0-2,0-0,美洲杯,AMEC,31_巴拉圭,Paraguay,11_秘鲁,Peru,0.0,0.0,,平手|0,输,小,负
1137769.0,224.0,2015/07/01 07:30,766.0,776.0,6-1,2-1,美洲杯,AMEC,4_阿根廷,Argentina,31_巴拉圭,Paraguay,0.0,0.0,,一球|1,输,大,负
1133232.0,224.0,2015/06/28 05:30,778.0,776.0,1-1,1-0,美洲杯,AMEC,2_巴西,Brazil,31_巴拉圭,Paraguay,0.0,0.0,"90,1-1;;;3-4;2",半球|0.5,赢,小,平
1109156.0,224.0,2015/06/21 03:00,767.0,776.0,1-1,1-1,美洲杯,AMEC,22_乌拉圭,Uruguay,31_巴拉圭,Paraguay,0.0,0.0,,半球|0.5,赢,小,平
1109158.0,224.0,2015/06/17 05:00,776.0,799.0,1-0,1-0,美洲杯,AMEC,31_巴拉圭,Paraguay,55_牙买加,Jamaica,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1109159.0,224.0,2015/06/14 05:30,766.0,776.0,2-2,2-0,美洲杯,AMEC,4_阿根廷,Argentina,31_巴拉圭,Paraguay,0.0,0.0,,球半|1.5,赢,大,平
