赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502142.0,1864.0,2018/11/20 03:45,638.0,630.0,,,欧国联,UEFA  NL,12_丹麦,Denmark,32_爱尔兰,Ireland,0.0,0.0,,,,,
1502140.0,1864.0,2018/10/17 02:45,630.0,7384.0,,,欧国联,UEFA  NL,32_爱尔兰,Ireland,19_威尔士,Wales,0.0,0.0,,,,,
1502139.0,1864.0,2018/10/14 02:45,630.0,638.0,,,欧国联,UEFA  NL,32_爱尔兰,Ireland,12_丹麦,Denmark,0.0,0.0,,,,,
1502137.0,1864.0,2018/09/07 02:45,7384.0,630.0,,,欧国联,UEFA  NL,19_威尔士,Wales,32_爱尔兰,Ireland,0.0,0.0,,,,,
1547036.0,1366.0,2018/06/03 03:05,630.0,797.0,2-1,0-1,国际友谊,INT FRL,32_爱尔兰,Ireland,25_美国,USA,0.0,0.0,,半球|0.5,赢,大,胜
1543284.0,1366.0,2018/05/29 03:00,649.0,630.0,2-0,2-0,国际友谊,INT FRL,9_法国,France,32_爱尔兰,Ireland,0.0,0.0,,球半|1.5,输,小,负
1519561.0,1366.0,2018/03/24 01:30,762.0,630.0,1-0,0-0,国际友谊,INT FRL,41_土耳其,Turkey,32_爱尔兰,Ireland,0.0,0.0,,平手/半球|0/0.5,输,小,负
1472472.0,650.0,2017/11/15 03:45,630.0,638.0,1-5,1-2,欧洲预选,WCPEU,32_爱尔兰,Ireland,12_丹麦,Denmark,0.0,0.0,,平手|0,输,大,负
1472350.0,650.0,2017/11/12 03:45,638.0,630.0,0-0,0-0,欧洲预选,WCPEU,12_丹麦,Denmark,32_爱尔兰,Ireland,0.0,0.0,,半球|0.5,赢,小,平
1198499.0,650.0,2017/10/10 02:45,7384.0,630.0,0-1,0-0,欧洲预选,WCPEU,19_威尔士,Wales,32_爱尔兰,Ireland,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1198495.0,650.0,2017/10/07 02:45,630.0,751.0,2-0,2-0,欧洲预选,WCPEU,32_爱尔兰,Ireland,166_摩尔多瓦,Moldova,0.0,1.0,,两球/两球半|2/2.5,输,小,胜
1198493.0,650.0,2017/09/06 02:45,630.0,642.0,0-1,0-0,欧洲预选,WCPEU,32_爱尔兰,Ireland,37_塞尔维亚,Serbia,0.0,1.0,,平手/半球|0/0.5,输,小,负
1198488.0,650.0,2017/09/02 23:59,901.0,630.0,1-1,1-1,欧洲预选,WCPEU,104_格鲁吉亚,Georgia,32_爱尔兰,Ireland,0.0,0.0,,受让半球/一球|-0.5/-1,输,走,平
1198485.0,650.0,2017/06/11 23:59,630.0,647.0,1-1,0-1,欧洲预选,WCPEU,32_爱尔兰,Ireland,29_奥地利,Austria,0.0,0.0,,平手/半球|0/0.5,输,走,平
1391051.0,1366.0,2017/06/05 01:00,630.0,767.0,3-1,1-1,国际友谊,INT FRL,32_爱尔兰,Ireland,22_乌拉圭,Uruguay,0.0,0.0,,平手|0,赢,大,胜
1389647.0,1366.0,2017/06/02 08:30,819.0,630.0,3-1,2-0,国际友谊,INT FRL,17_墨西哥,Mexico,32_爱尔兰,Ireland,0.0,0.0,,半球/一球|0.5/1,输,大,负
1372106.0,1366.0,2017/03/29 02:45,630.0,756.0,0-1,0-1,国际友谊,INT FRL,32_爱尔兰,Ireland,20_冰岛,Iceland,0.0,0.0,,平手/半球|0/0.5,输,小,负
1198483.0,650.0,2017/03/25 03:45,630.0,7384.0,0-0,0-0,欧洲预选,WCPEU,32_爱尔兰,Ireland,19_威尔士,Wales,0.0,1.0,,平手/半球|0/0.5,输,小,平
1198479.0,650.0,2016/11/13 01:00,647.0,630.0,0-1,0-0,欧洲预选,WCPEU,29_奥地利,Austria,32_爱尔兰,Ireland,0.0,0.0,,半球|0.5,赢,小,胜
1198478.0,650.0,2016/10/10 02:45,751.0,630.0,1-3,1-1,欧洲预选,WCPEU,166_摩尔多瓦,Moldova,32_爱尔兰,Ireland,0.0,0.0,,受让一球|-1,赢,大,胜
1198474.0,650.0,2016/10/07 02:45,630.0,901.0,1-0,0-0,欧洲预选,WCPEU,32_爱尔兰,Ireland,104_格鲁吉亚,Georgia,0.0,0.0,,一球|1,走,小,胜
1198472.0,650.0,2016/09/06 02:45,642.0,630.0,2-2,0-1,欧洲预选,WCPEU,37_塞尔维亚,Serbia,32_爱尔兰,Ireland,0.0,0.0,,平手/半球|0/0.5,赢,大,平
1305622.0,1366.0,2016/09/01 02:45,630.0,902.0,4-0,3-0,国际友谊,INT FRL,32_爱尔兰,Ireland,101_阿曼,Oman,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1252620.0,67.0,2016/06/26 21:00,649.0,630.0,2-1,0-1,欧洲杯,EURO  Cup,9_法国,France,32_爱尔兰,Ireland,0.0,1.0,,一球|1,走,大,负
1201943.0,67.0,2016/06/23 03:00,771.0,630.0,0-1,0-0,欧洲杯,EURO  Cup,14_意大利,Italy,32_爱尔兰,Ireland,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1201944.0,67.0,2016/06/18 21:00,645.0,630.0,3-0,0-0,欧洲杯,EURO  Cup,5_比利时,Belgium,32_爱尔兰,Ireland,0.0,0.0,,半球/一球|0.5/1,输,大,负
1201874.0,67.0,2016/06/13 23:59,644.0,630.0,1-1,0-0,欧洲杯,EURO  Cup,18_瑞典,Sweden,32_爱尔兰,Ireland,0.0,0.0,,平手|0,走,走,平
1243477.0,1366.0,2016/06/01 02:45,630.0,750.0,1-2,0-1,国际友谊,INT FRL,32_爱尔兰,Ireland,93_白俄罗斯,Belarus,0.0,0.0,,一球|1,输,大,负
1243436.0,1366.0,2016/05/28 02:45,630.0,646.0,1-1,1-0,国际友谊,INT FRL,32_爱尔兰,Ireland,21_荷兰,Netherlands,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1229341.0,1366.0,2016/03/30 02:45,630.0,752.0,2-2,2-2,国际友谊,INT FRL,32_爱尔兰,Ireland,28_斯洛伐克,Slovakia,0.0,0.0,,平手/半球|0/0.5,输,大,平
1229342.0,1366.0,2016/03/26 03:45,630.0,648.0,1-0,1-0,国际友谊,INT FRL,32_爱尔兰,Ireland,8_瑞士,Switzerland,0.0,0.0,,平手|0,赢,小,胜
1194896.0,67.0,2015/11/17 03:45,630.0,782.0,2-0,1-0,欧洲杯,EURO  Cup,32_爱尔兰,Ireland,38_波黑,Bosnia-Herzegovina,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1194900.0,67.0,2015/11/14 03:45,782.0,630.0,1-1,0-0,欧洲杯,EURO  Cup,38_波黑,Bosnia-Herzegovina,32_爱尔兰,Ireland,0.0,0.0,,半球|0.5,赢,小,平
975004.0,67.0,2015/10/12 02:45,637.0,630.0,2-1,2-1,欧洲杯,EURO  Cup,7_波兰,Poland,32_爱尔兰,Ireland,0.0,1.0,,半球|0.5,输,大,负
975006.0,67.0,2015/10/09 02:45,630.0,650.0,1-0,0-0,欧洲杯,EURO  Cup,32_爱尔兰,Ireland,1_德国,Germany,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,胜
