赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502148.0,1864.0,2018/11/21 03:45,641.0,760.0,,,欧国联,UEFA  NL,32_苏格兰,Scotland,99_以色列,Israel,0.0,0.0,,,,,
1502147.0,1864.0,2018/11/18 03:45,761.0,641.0,,,欧国联,UEFA  NL,60_阿尔巴尼亚,Albania,32_苏格兰,Scotland,0.0,0.0,,,,,
1502145.0,1864.0,2018/10/12 02:45,760.0,641.0,,,欧国联,UEFA  NL,99_以色列,Israel,32_苏格兰,Scotland,0.0,0.0,,,,,
1502144.0,1864.0,2018/09/11 02:45,641.0,761.0,,,欧国联,UEFA  NL,32_苏格兰,Scotland,60_阿尔巴尼亚,Albania,0.0,0.0,,,,,
1543770.0,1366.0,2018/06/03 08:00,819.0,641.0,1-0,1-0,国际友谊,INT FRL,17_墨西哥,Mexico,32_苏格兰,Scotland,0.0,0.0,,球半|1.5,赢,小,负
1543736.0,1366.0,2018/05/30 09:05,774.0,641.0,2-0,1-0,国际友谊,INT FRL,11_秘鲁,Peru,32_苏格兰,Scotland,0.0,0.0,,球半|1.5,输,小,负
1521496.0,1366.0,2018/03/28 02:00,745.0,641.0,0-1,0-0,国际友谊,INT FRL,54_匈牙利,Hungary,32_苏格兰,Scotland,0.0,0.0,,平手|0,赢,小,胜
1518991.0,1366.0,2018/03/24 03:45,641.0,914.0,0-1,0-1,国际友谊,INT FRL,32_苏格兰,Scotland,27_哥斯达黎加,Costa Rica,0.0,0.0,,平手/半球|0/0.5,输,小,负
1476837.0,1366.0,2017/11/10 03:45,641.0,646.0,0-1,0-1,国际友谊,INT FRL,32_苏格兰,Scotland,21_荷兰,Netherlands,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1198557.0,650.0,2017/10/08 23:59,632.0,641.0,2-2,0-1,欧洲预选,WCPEU,64_斯洛文尼亚,Slovenia,32_苏格兰,Scotland,1.0,0.0,,平手|0,走,大,平
1198554.0,650.0,2017/10/06 02:45,641.0,752.0,1-0,0-0,欧洲预选,WCPEU,32_苏格兰,Scotland,28_斯洛伐克,Slovakia,0.0,1.0,,平手/半球|0/0.5,赢,小,胜
1198553.0,650.0,2017/09/05 02:45,641.0,755.0,2-0,1-0,欧洲预选,WCPEU,32_苏格兰,Scotland,185_马耳他,Malta,0.0,0.0,,两球半/三球|2.5/3,输,小,胜
