赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542730.0,95.0,2019/01/16 20:00,874.0,783.0,,,亚洲杯,AFC,82_伊拉克,Iraq,34_伊朗,Iran,0.0,0.0,,,,,
1542728.0,95.0,2019/01/12 20:00,783.0,883.0,,,亚洲杯,AFC,34_伊朗,Iran,112_越南,Vietnam,0.0,0.0,,,,,
1542726.0,95.0,2019/01/07 22:00,877.0,783.0,,,亚洲杯,AFC,138_也门,Yemen,34_伊朗,Iran,0.0,0.0,,,,,
1482833.0,75.0,2018/06/26 02:00,783.0,765.0,1-1,0-1,世界杯,World Cup,34_伊朗,Iran,3_葡萄牙,Portugal,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,平
1482832.0,75.0,2018/06/21 02:00,783.0,772.0,0-1,0-0,世界杯,World Cup,34_伊朗,Iran,6_西班牙,Spain,0.0,0.0,,受让球半/两球|-1.5/-2,赢,小,负
1482829.0,75.0,2018/06/15 23:00,813.0,783.0,0-1,0-0,世界杯,World Cup,39_摩洛哥,Morocco,34_伊朗,Iran,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1549112.0,1366.0,2018/06/08 23:00,783.0,905.0,1-0,0-0,国际友谊,INT FRL,34_伊朗,Iran,147_立陶宛,Lithuania,0.0,0.0,,一球|1,走,小,胜
1545939.0,1366.0,2018/05/29 02:15,762.0,783.0,2-1,1-0,国际友谊,INT FRL,41_土耳其,Turkey,34_伊朗,Iran,1.0,0.0,,半球|0.5,输,大,负
1540992.0,1366.0,2018/05/20 00:30,783.0,875.0,1-0,1-0,国际友谊,INT FRL,34_伊朗,Iran,77_乌兹别克,Uzbekistan,0.0,0.0,,一球/球半|1/1.5,输,小,胜
1521490.0,1366.0,2018/03/27 23:59,18406.0,783.0,1-2,0-2,国际友谊,INT FRL,57_阿尔及利亚,Algeria,34_伊朗,Iran,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1520456.0,1366.0,2018/03/24 02:15,823.0,783.0,1-0,0-0,国际友谊,INT FRL,23_突尼斯,Tunisia,34_伊朗,Iran,0.0,1.0,,平手|0,输,小,负
1521026.0,1366.0,2018/03/17 20:00,783.0,5290.0,4-0,3-0,国际友谊,INT FRL,34_伊朗,Iran,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,胜
1477182.0,1366.0,2017/11/13 22:00,777.0,783.0,0-1,0-0,国际友谊,INT FRL,52_委内瑞拉,Venezuela,34_伊朗,Iran,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1476834.0,1366.0,2017/11/10 02:30,783.0,798.0,2-1,2-1,国际友谊,INT FRL,34_伊朗,Iran,53_巴拿马,Panama,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1468705.0,1366.0,2017/10/10 23:59,746.0,783.0,1-1,0-0,国际友谊,INT FRL,62_俄罗斯,Russia,34_伊朗,Iran,0.0,0.0,,半球|0.5,赢,小,平
1466903.0,1366.0,2017/10/05 22:45,783.0,816.0,2-0,0-0,国际友谊,INT FRL,34_伊朗,Iran,127_多哥,Togo,0.0,0.0,,一球/球半|1/1.5,赢,小,胜
