赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502123.0,1864.0,2018/11/17 03:45,752.0,634.0,,,欧国联,UEFA  NL,28_斯洛伐克,Slovakia,35_乌克兰,Ukraine,0.0,0.0,,,,,
1502122.0,1864.0,2018/10/17 02:45,634.0,747.0,,,欧国联,UEFA  NL,35_乌克兰,Ukraine,48_捷克,Czech,0.0,0.0,,,,,
1502120.0,1864.0,2018/09/09 21:00,634.0,752.0,,,欧国联,UEFA  NL,35_乌克兰,Ukraine,28_斯洛伐克,Slovakia,0.0,0.0,,,,,
1502119.0,1864.0,2018/09/07 02:45,747.0,634.0,,,欧国联,UEFA  NL,48_捷克,Czech,35_乌克兰,Ukraine,0.0,0.0,,,,,
1547464.0,1366.0,2018/06/13 23:59,634.0,761.0,推迟,,国际友谊,INT FRL,35_乌克兰,Ukraine,60_阿尔巴尼亚,Albania,0.0,0.0,,,,,
1543810.0,1366.0,2018/06/03 22:00,761.0,634.0,1-4,0-3,国际友谊,INT FRL,60_阿尔巴尼亚,Albania,35_乌克兰,Ukraine,0.0,0.0,,受让半球|-0.5,赢,大,胜
1543768.0,1366.0,2018/06/01 02:00,813.0,634.0,0-0,0-0,国际友谊,INT FRL,39_摩洛哥,Morocco,35_乌克兰,Ukraine,0.0,0.0,,平手|0,走,小,平
1521486.0,1366.0,2018/03/27 20:20,903.0,634.0,1-2,1-1,国际友谊,INT FRL,56_日本,Japan,35_乌克兰,Ukraine,0.0,0.0,,平手|0,赢,大,胜
1521956.0,1366.0,2018/03/24 03:00,634.0,891.0,1-1,1-1,国际友谊,INT FRL,35_乌克兰,Ukraine,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,半球/一球|0.5/1,输,小,平
1476824.0,1366.0,2017/11/11 02:00,634.0,752.0,2-1,1-1,国际友谊,INT FRL,35_乌克兰,Ukraine,28_斯洛伐克,Slovakia,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1198629.0,650.0,2017/10/10 02:45,634.0,768.0,0-2,0-0,欧洲预选,WCPEU,35_乌克兰,Ukraine,15_克罗地亚,Croatia,0.0,0.0,,平手|0,输,小,负
1311357.0,650.0,2017/10/07 02:45,5764.0,634.0,0-2,0-0,欧洲预选,WCPEU,178_科索沃,Kosovo,35_乌克兰,Ukraine,0.0,0.0,,受让两球/两球半|-2/-2.5,输,小,胜
1198625.0,650.0,2017/09/06 02:45,756.0,634.0,2-0,0-0,欧洲预选,WCPEU,20_冰岛,Iceland,35_乌克兰,Ukraine,0.0,0.0,,平手/半球|0/0.5,输,小,负
1198623.0,650.0,2017/09/03 02:45,634.0,762.0,2-0,2-0,欧洲预选,WCPEU,35_乌克兰,Ukraine,41_土耳其,Turkey,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1198620.0,650.0,2017/06/11 23:59,736.0,634.0,1-2,0-0,欧洲预选,WCPEU,68_芬兰,Finland,35_乌克兰,Ukraine,0.0,0.0,,受让半球|-0.5,赢,大,胜
1391061.0,1366.0,2017/06/07 01:00,634.0,755.0,0-1,0-1,国际友谊,INT FRL,35_乌克兰,Ukraine,185_马耳他,Malta,0.0,0.0,,两球半|2.5,输,小,负
1198619.0,650.0,2017/03/25 03:45,768.0,634.0,1-0,1-0,欧洲预选,WCPEU,15_克罗地亚,Croatia,35_乌克兰,Ukraine,0.0,0.0,,一球|1,走,小,负
1328255.0,1366.0,2016/11/16 03:00,634.0,642.0,2-0,1-0,国际友谊,INT FRL,35_乌克兰,Ukraine,37_塞尔维亚,Serbia,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1198617.0,650.0,2016/11/13 03:45,634.0,736.0,1-0,1-0,欧洲预选,WCPEU,35_乌克兰,Ukraine,68_芬兰,Finland,0.0,0.0,,一球/球半|1/1.5,输,小,胜
1311363.0,650.0,2016/10/09 23:59,634.0,5764.0,3-0,1-0,欧洲预选,WCPEU,35_乌克兰,Ukraine,178_科索沃,Kosovo,0.0,0.0,,球半|1.5,赢,大,胜
1198613.0,650.0,2016/10/07 02:45,762.0,634.0,2-2,1-2,欧洲预选,WCPEU,41_土耳其,Turkey,35_乌克兰,Ukraine,0.0,0.0,,半球|0.5,赢,大,平
1198611.0,650.0,2016/09/06 02:45,634.0,756.0,1-1,1-1,欧洲预选,WCPEU,35_乌克兰,Ukraine,20_冰岛,Iceland,0.0,0.0,,半球|0.5,输,小,平
1201931.0,67.0,2016/06/21 23:59,634.0,637.0,0-1,0-0,欧洲杯,EURO  Cup,35_乌克兰,Ukraine,7_波兰,Poland,0.0,0.0,,平手|0,输,小,负
