赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542718.0,95.0,2019/01/15 22:00,913.0,899.0,,,亚洲杯,AFC,36_澳大利亚,Australia,76_叙利亚,Syrian,0.0,0.0,,,,,
1542717.0,95.0,2019/01/12 01:00,879.0,913.0,,,亚洲杯,AFC,75_巴勒斯坦,Palestine,36_澳大利亚,Australia,0.0,0.0,,,,,
1542714.0,95.0,2019/01/06 22:00,913.0,881.0,,,亚洲杯,AFC,36_澳大利亚,Australia,113_约旦,Jordan,0.0,0.0,,,,,
1482839.0,75.0,2018/06/26 22:00,913.0,774.0,0-2,0-1,世界杯,World Cup,36_澳大利亚,Australia,11_秘鲁,Peru,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1482838.0,75.0,2018/06/21 20:00,638.0,913.0,1-1,1-1,世界杯,World Cup,12_丹麦,Denmark,36_澳大利亚,Australia,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1482835.0,75.0,2018/06/16 18:00,649.0,913.0,2-1,0-0,世界杯,World Cup,9_法国,France,36_澳大利亚,Australia,0.0,0.0,,球半/两球|1.5/2,赢,大,负
1543785.0,1366.0,2018/06/09 23:30,745.0,913.0,1-2,0-0,国际友谊,INT FRL,54_匈牙利,Hungary,36_澳大利亚,Australia,0.0,0.0,,平手|0,赢,大,胜
1543742.0,1366.0,2018/06/01 19:00,913.0,747.0,4-0,1-0,国际友谊,INT FRL,36_澳大利亚,Australia,48_捷克,Czech,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1521502.0,1366.0,2018/03/28 03:00,775.0,913.0,0-0,0-0,国际友谊,INT FRL,13_哥伦比亚,Colombia,36_澳大利亚,Australia,0.0,0.0,,一球|1,赢,小,平
1518986.0,1366.0,2018/03/24 01:00,640.0,913.0,4-1,1-1,国际友谊,INT FRL,58_挪威,Norway,36_澳大利亚,Australia,0.0,0.0,,平手/半球|0/0.5,输,大,负
1470788.0,892.0,2017/11/15 17:00,913.0,794.0,3-1,0-0,世界杯附,WCP-PO,36_澳大利亚,Australia,67_洪都拉斯,Honduras,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1470498.0,892.0,2017/11/11 06:00,794.0,913.0,0-0,0-0,世界杯附,WCP-PO,67_洪都拉斯,Honduras,36_澳大利亚,Australia,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1457567.0,648.0,2017/10/10 17:00,913.0,899.0,1-1,1-1,亚洲预选,FIFA WCQL,36_澳大利亚,Australia,76_叙利亚,Syrian,0.0,1.0,"90,1-1;2-2;1,2-1;;1",球半|1.5,输,小,平
1457566.0,648.0,2017/10/05 20:30,899.0,913.0,1-1,0-1,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,36_澳大利亚,Australia,0.0,0.0,,受让半球|-0.5,输,小,平
