赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502135.0,1864.0,2018/11/16 03:45,647.0,782.0,,,欧国联,UEFA  NL,29_奥地利,Austria,38_波黑,Bosnia-Herzegovina,0.0,0.0,,,,,
1502134.0,1864.0,2018/10/16 02:45,782.0,759.0,,,欧国联,UEFA  NL,38_波黑,Bosnia-Herzegovina,25_北爱尔兰,Northern Ireland,0.0,0.0,,,,,
1502132.0,1864.0,2018/09/12 02:45,782.0,647.0,,,欧国联,UEFA  NL,38_波黑,Bosnia-Herzegovina,29_奥地利,Austria,0.0,0.0,,,,,
1502131.0,1864.0,2018/09/08 21:00,759.0,782.0,,,欧国联,UEFA  NL,25_北爱尔兰,Northern Ireland,38_波黑,Bosnia-Herzegovina,0.0,0.0,,,,,
1543772.0,1366.0,2018/06/01 19:00,898.0,782.0,1-3,1-2,国际友谊,INT FRL,59_韩国,Korea Republic,38_波黑,Bosnia-Herzegovina,0.0,0.0,,半球|0.5,赢,大,胜
1543283.0,1366.0,2018/05/28 23:59,782.0,5282.0,0-0,0-0,国际友谊,INT FRL,38_波黑,Bosnia-Herzegovina,46_黑山,Montenegro,0.0,0.0,,半球/一球|0.5/1,输,小,平
1523156.0,1366.0,2018/03/28 02:00,815.0,782.0,0-0,0-0,国际友谊,INT FRL,24_塞内加尔,Senegal,38_波黑,Bosnia-Herzegovina,0.0,0.0,,平手|0,走,小,平
1520458.0,1366.0,2018/03/24 01:00,769.0,782.0,0-1,0-1,国际友谊,INT FRL,42_保加利亚,Bulgaria,38_波黑,Bosnia-Herzegovina,1.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1495979.0,1366.0,2018/02/01 10:00,819.0,782.0,1-0,0-0,国际友谊,INT FRL,17_墨西哥,Mexico,38_波黑,Bosnia-Herzegovina,0.0,1.0,,一球|1,走,小,负
1495552.0,1366.0,2018/01/29 10:40,797.0,782.0,0-0,0-0,国际友谊,INT FRL,25_美国,USA,38_波黑,Bosnia-Herzegovina,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1198608.0,650.0,2017/10/11 02:45,636.0,782.0,1-2,0-0,欧洲预选,WCPEU,88_爱沙尼亚,Estonia,38_波黑,Bosnia-Herzegovina,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,胜
1198606.0,650.0,2017/10/07 23:59,782.0,645.0,3-4,2-1,欧洲预选,WCPEU,38_波黑,Bosnia-Herzegovina,5_比利时,Belgium,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1311353.0,650.0,2017/09/04 02:45,5877.0,782.0,0-4,0-1,欧洲预选,WCPEU,220_弱鸡,Gibraltar,38_波黑,Bosnia-Herzegovina,0.0,0.0,,受让四球半/五球|-4.5/-5,输,小,胜
