赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502112.0,1864.0,2018/11/21 03:45,765.0,637.0,,,欧国联,UEFA  NL,3_葡萄牙,Portugal,7_波兰,Poland,0.0,0.0,,,,,
1502111.0,1864.0,2018/11/18 03:45,771.0,765.0,,,欧国联,UEFA  NL,14_意大利,Italy,3_葡萄牙,Portugal,0.0,0.0,,,,,
1502109.0,1864.0,2018/10/12 02:45,637.0,765.0,,,欧国联,UEFA  NL,7_波兰,Poland,3_葡萄牙,Portugal,0.0,0.0,,,,,
1502108.0,1864.0,2018/09/11 02:45,765.0,771.0,,,欧国联,UEFA  NL,3_葡萄牙,Portugal,14_意大利,Italy,0.0,0.0,,,,,
1483046.0,75.0,2018/07/01 02:00,767.0,765.0,,,世界杯,World Cup,22_乌拉圭,Uruguay,3_葡萄牙,Portugal,0.0,0.0,,,,,
1482833.0,75.0,2018/06/26 02:00,783.0,765.0,1-1,0-1,世界杯,World Cup,34_伊朗,Iran,3_葡萄牙,Portugal,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,平
1482831.0,75.0,2018/06/20 20:00,765.0,813.0,1-0,1-0,世界杯,World Cup,3_葡萄牙,Portugal,39_摩洛哥,Morocco,0.0,0.0,,一球|1,走,小,胜
1482830.0,75.0,2018/06/16 02:00,765.0,772.0,3-3,2-1,世界杯,World Cup,3_葡萄牙,Portugal,6_西班牙,Spain,0.0,0.0,,受让半球|-0.5,赢,大,平
1543774.0,1366.0,2018/06/08 03:15,765.0,18406.0,3-0,2-0,国际友谊,INT FRL,3_葡萄牙,Portugal,57_阿尔及利亚,Algeria,0.0,0.0,,一球|1,赢,大,胜
1543746.0,1366.0,2018/06/03 02:45,645.0,765.0,0-0,0-0,国际友谊,INT FRL,5_比利时,Belgium,3_葡萄牙,Portugal,0.0,0.0,,半球|0.5,赢,小,平
1543286.0,1366.0,2018/05/29 02:45,765.0,823.0,2-2,2-1,国际友谊,INT FRL,3_葡萄牙,Portugal,23_突尼斯,Tunisia,0.0,0.0,,一球/球半|1/1.5,输,大,平
1521506.0,1366.0,2018/03/27 02:30,646.0,765.0,3-0,3-0,国际友谊,INT FRL,21_荷兰,Netherlands,3_葡萄牙,Portugal,0.0,1.0,,受让平手/半球|-0/-0.5,输,大,负
1519563.0,1366.0,2018/03/24 03:45,765.0,735.0,2-1,0-0,国际友谊,INT FRL,3_葡萄牙,Portugal,30_埃及,Egypt,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1477410.0,1366.0,2017/11/15 04:45,765.0,797.0,1-1,1-1,国际友谊,INT FRL,3_葡萄牙,Portugal,25_美国,USA,0.0,0.0,,一球|1,输,小,平
1476827.0,1366.0,2017/11/11 04:45,765.0,891.0,3-0,1-0,国际友谊,INT FRL,3_葡萄牙,Portugal,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,球半|1.5,赢,大,胜
1198437.0,650.0,2017/10/11 02:45,765.0,648.0,2-0,1-0,欧洲预选,WCPEU,3_葡萄牙,Portugal,8_瑞士,Switzerland,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1198436.0,650.0,2017/10/08 02:45,894.0,765.0,0-2,0-0,欧洲预选,WCPEU,136_安道尔,Andorra,3_葡萄牙,Portugal,0.0,0.0,,受让三球半/四球|-3.5/-4,输,小,胜
1198432.0,650.0,2017/09/04 02:45,745.0,765.0,0-1,0-0,欧洲预选,WCPEU,54_匈牙利,Hungary,3_葡萄牙,Portugal,1.0,0.0,,受让一球/球半|-1/-1.5,输,小,胜
1198430.0,650.0,2017/09/01 02:45,765.0,754.0,5-1,2-1,欧洲预选,WCPEU,3_葡萄牙,Portugal,97_法罗群岛,Faroe Islands,0.0,0.0,,三球半|3.5,赢,大,胜
1406551.0,88.0,2017/07/02 20:00,765.0,819.0,1-1,0-0,洲际杯,FICC,3_葡萄牙,Portugal,17_墨西哥,Mexico,1.0,1.0,"90,1-1;;1,2-1;;1",平手/半球|0/0.5,输,小,平
1404061.0,88.0,2017/06/29 02:00,765.0,780.0,0-0,0-0,洲际杯,FICC,3_葡萄牙,Portugal,10_智利,Chile,0.0,0.0,"90,0-0;;1,0-0;0-3;2",平手/半球|0/0.5,输,小,平
1361098.0,88.0,2017/06/24 23:00,2363.0,765.0,0-4,0-2,洲际杯,FICC,120_新西兰,New Zealand,3_葡萄牙,Portugal,0.0,0.0,,受让两球半|-2.5,赢,大,胜
1361095.0,88.0,2017/06/21 23:00,746.0,765.0,0-1,0-1,洲际杯,FICC,62_俄罗斯,Russia,3_葡萄牙,Portugal,0.0,0.0,,受让半球|-0.5,赢,小,胜
1361094.0,88.0,2017/06/18 23:00,765.0,819.0,2-2,1-1,洲际杯,FICC,3_葡萄牙,Portugal,17_墨西哥,Mexico,0.0,0.0,,半球|0.5,输,大,平
1198427.0,650.0,2017/06/10 02:45,631.0,765.0,0-3,0-1,欧洲预选,WCPEU,131_拉脱维亚,Latvia,3_葡萄牙,Portugal,0.0,0.0,,受让两球/两球半|-2/-2.5,赢,小,胜
1389653.0,1366.0,2017/06/03 23:00,765.0,753.0,4-0,2-0,国际友谊,INT FRL,3_葡萄牙,Portugal,92_塞浦路斯,Cyprus,0.0,0.0,,两球|2,赢,大,胜
1371587.0,1366.0,2017/03/29 02:45,765.0,644.0,2-3,2-0,国际友谊,INT FRL,3_葡萄牙,Portugal,18_瑞典,Sweden,0.0,0.0,,一球|1,输,大,负
1198424.0,650.0,2017/03/26 03:45,765.0,745.0,3-0,2-0,欧洲预选,WCPEU,3_葡萄牙,Portugal,54_匈牙利,Hungary,0.0,0.0,,球半|1.5,赢,大,胜
1198421.0,650.0,2016/11/14 03:45,765.0,631.0,4-1,1-0,欧洲预选,WCPEU,3_葡萄牙,Portugal,131_拉脱维亚,Latvia,0.0,0.0,,两球半/三球|2.5/3,赢,大,胜
1198417.0,650.0,2016/10/11 02:45,754.0,765.0,0-6,0-3,欧洲预选,WCPEU,97_法罗群岛,Faroe Islands,3_葡萄牙,Portugal,0.0,0.0,,受让两球/两球半|-2/-2.5,赢,大,胜
1198413.0,650.0,2016/10/08 02:45,765.0,894.0,6-0,3-0,欧洲预选,WCPEU,3_葡萄牙,Portugal,136_安道尔,Andorra,0.0,2.0,,四球/四球半|4/4.5,赢,大,胜
1198412.0,650.0,2016/09/07 02:45,648.0,765.0,2-0,2-0,欧洲预选,WCPEU,8_瑞士,Switzerland,3_葡萄牙,Portugal,1.0,0.0,,平手|0,输,小,负
1305631.0,1366.0,2016/09/02 02:45,765.0,5877.0,5-0,1-0,国际友谊,INT FRL,3_葡萄牙,Portugal,220_弱鸡,Gibraltar,0.0,0.0,,5.25球|5.25,输,小,胜
1263015.0,67.0,2016/07/11 03:00,649.0,765.0,0-0,0-0,欧洲杯,EURO  Cup,9_法国,France,3_葡萄牙,Portugal,0.0,0.0,"90,0-0;;1,0-1;;2",半球|0.5,赢,小,平
1259383.0,67.0,2016/07/07 03:00,765.0,7384.0,2-0,0-0,欧洲杯,EURO  Cup,3_葡萄牙,Portugal,19_威尔士,Wales,0.0,0.0,,半球|0.5,赢,走,胜
1256289.0,67.0,2016/07/01 03:00,765.0,637.0,1-1,1-1,欧洲杯,EURO  Cup,3_葡萄牙,Portugal,7_波兰,Poland,0.0,0.0,"90,1-1;;1,1-1;5-3;1",平手/半球|0/0.5,输,走,平
1252616.0,67.0,2016/06/26 03:00,768.0,765.0,0-0,0-0,欧洲杯,EURO  Cup,15_克罗地亚,Croatia,3_葡萄牙,Portugal,0.0,0.0,"90,0-0;;1,0-1;;2",平手|0,走,小,平
1201947.0,67.0,2016/06/22 23:59,745.0,765.0,3-3,1-1,欧洲杯,EURO  Cup,54_匈牙利,Hungary,3_葡萄牙,Portugal,0.0,0.0,,受让一球|-1,输,大,平
1201948.0,67.0,2016/06/19 03:00,765.0,647.0,0-0,0-0,欧洲杯,EURO  Cup,3_葡萄牙,Portugal,29_奥地利,Austria,0.0,0.0,,平手/半球|0/0.5,输,小,平
1202022.0,67.0,2016/06/15 03:00,765.0,756.0,1-1,1-0,欧洲杯,EURO  Cup,3_葡萄牙,Portugal,20_冰岛,Iceland,0.0,0.0,,半球/一球|0.5/1,输,走,平
1244275.0,1366.0,2016/06/09 02:45,765.0,636.0,7-0,3-0,国际友谊,INT FRL,3_葡萄牙,Portugal,88_爱沙尼亚,Estonia,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1244125.0,1366.0,2016/06/03 02:45,744.0,765.0,1-0,0-0,国际友谊,INT FRL,16_英格兰,England,3_葡萄牙,Portugal,0.0,1.0,,半球|0.5,输,小,负
