赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502184.0,1864.0,2018/11/21 03:45,5282.0,635.0,,,欧国联,UEFA  NL,46_黑山,Montenegro,40_罗马尼亚,Romania,0.0,0.0,,,,,
1502182.0,1864.0,2018/11/18 03:45,635.0,905.0,,,欧国联,UEFA  NL,40_罗马尼亚,Romania,147_立陶宛,Lithuania,0.0,0.0,,,,,
1502179.0,1864.0,2018/10/14 21:00,635.0,642.0,,,欧国联,UEFA  NL,40_罗马尼亚,Romania,37_塞尔维亚,Serbia,0.0,0.0,,,,,
1502178.0,1864.0,2018/10/12 02:45,905.0,635.0,,,欧国联,UEFA  NL,147_立陶宛,Lithuania,40_罗马尼亚,Romania,0.0,0.0,,,,,
1502175.0,1864.0,2018/09/11 02:45,642.0,635.0,,,欧国联,UEFA  NL,37_塞尔维亚,Serbia,40_罗马尼亚,Romania,0.0,0.0,,,,,
1502174.0,1864.0,2018/09/08 02:45,635.0,5282.0,,,欧国联,UEFA  NL,40_罗马尼亚,Romania,46_黑山,Montenegro,0.0,0.0,,,,,
1543765.0,1366.0,2018/06/06 01:30,635.0,736.0,2-0,1-0,国际友谊,INT FRL,40_罗马尼亚,Romania,68_芬兰,Finland,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1543809.0,1366.0,2018/05/31 22:00,635.0,780.0,3-2,1-1,国际友谊,INT FRL,40_罗马尼亚,Romania,10_智利,Chile,0.0,1.0,,受让平手/半球|-0/-0.5,赢,大,胜
1521980.0,1366.0,2018/03/28 02:30,635.0,644.0,1-0,0-0,国际友谊,INT FRL,40_罗马尼亚,Romania,18_瑞典,Sweden,0.0,0.0,,平手|0,赢,小,胜
1521475.0,1366.0,2018/03/25 02:00,760.0,635.0,1-2,0-0,国际友谊,INT FRL,99_以色列,Israel,40_罗马尼亚,Romania,0.0,0.0,,平手|0,赢,大,胜
1477406.0,1366.0,2017/11/15 03:00,635.0,646.0,0-3,0-0,国际友谊,INT FRL,40_罗马尼亚,Romania,21_荷兰,Netherlands,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1476835.0,1366.0,2017/11/10 02:15,635.0,762.0,2-0,1-0,国际友谊,INT FRL,40_罗马尼亚,Romania,41_土耳其,Turkey,0.0,0.0,,平手|0,赢,小,胜
1198528.0,650.0,2017/10/08 23:59,638.0,635.0,1-1,0-0,欧洲预选,WCPEU,12_丹麦,Denmark,40_罗马尼亚,Romania,0.0,1.0,,一球/球半|1/1.5,赢,小,平
1198526.0,650.0,2017/10/06 02:45,635.0,763.0,3-1,2-0,欧洲预选,WCPEU,40_罗马尼亚,Romania,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,球半|1.5,赢,大,胜
1198523.0,650.0,2017/09/05 02:45,5282.0,635.0,1-0,0-0,欧洲预选,WCPEU,46_黑山,Montenegro,40_罗马尼亚,Romania,0.0,0.0,,平手|0,输,小,负
